id,sentence_id,head_id,row_loc,verb,verb_compound,feats,pos,lemma,form,status,ekilex_tag,ner_tag,timex_tag,morph_case,tags,sentence
444,160,282,5,külastama,,"in,prop,sg",S,Pariis,Pariisis,,location,LOC,,in,|L|AL|EL|LS|LT|ALT|ELT|LST|,"Vahepeal , maikuus külastasin Pariisis veel Olegi ja Rauli ning adusin , et mul pole nendega enam vähimatki ühist ."
449,161,286,9,minema,,"all,sg",P,mina,mulle,,,,,all,,"Nad olid justkui võõrad mehed , kelle tegemised mulle sugugi korda ei läinud ."
458,166,295,3,juhtuma,,"com,in,sg",S,lennujaam,Lennujaamas,,location,,,in,|L|AL|EL|LS|LT|ALT|ELT|LST|,"B : Lennujaamas juhtus aga nii , et Jürgen jäi liiklusummikusse ega jõudnud õigeks ajaks kohale ."
463,166,296,11,jääma,,"com,ill,sg",S,liiklusummik,liiklusummikusse,,state,,,ill,|S|AS|LS|ST|AST|LST|,"B : Lennujaamas juhtus aga nii , et Jürgen jäi liiklusummikusse ega jõudnud õigeks ajaks kohale ."
466,167,298,2,tulema,vastu,"all,prop,sg",S,Priit,Priidule,,,,,all,,Aga Priidule tuli sõber vastu .
500,179,315,1,imponeerima,,"all,sg",P,mina,Mulle,,,,,all,,"Mulle tohutult imponeerib , kui inimene suudab vaadata maailma silmaklappideta ."
508,180,318,11,väljendama,,"com,ill,pl",S,asi,asjadesse,,,,,ill,,"On väga palju neid , kes väljendavad oma suhtumist mingitesse asjadesse väga resoluutselt - et see on jama , ja kõik !"
517,182,321,5,meeldima,,"all,sg",P,mina,mulle,,,,,all,,"Selle poolest meeldibki Priit mulle väga , et ta on avatud uutele asjadele ."
550,193,340,7,nägema,,"com,el,sg",S,päev,päevast,,,,,el,,"Elan temaga koos ja näen teda päevast päeva ning selle tema headuse kõrval tunnen vahel häbi enda mõtete pärast , mis on olnud kurjad ja õelad ."
560,195,346,3,ütlema,,"all,sg",P,mina,mulle,,,,,all,,Seda on mulle öelnud ka mu lähedased inimesed .
571,199,355,8,kukkuma,alla,"com,el,sg",S,pea,peast,,,,,el,,"Mäletan , et aasta tagasi kukkus heast peast suures toas minu silme ees plafoon laest alla , tuhandeks killuks ."
572,199,355,10,kukkuma,alla,"com,in,sg",S,tuba,toas,,location,,,in,|L|AL|EL|LS|LT|ALT|ELT|LST|,"Mäletan , et aasta tagasi kukkus heast peast suures toas minu silme ees plafoon laest alla , tuhandeks killuks ."
576,199,355,15,kukkuma,alla,"com,el,sg",S,lagi,laest,,,,,el,,"Mäletan , et aasta tagasi kukkus heast peast suures toas minu silme ees plafoon laest alla , tuhandeks killuks ."
580,200,356,3,jooksma,,"adit,com,sg",S,tuba,tuppa,,location,,,adit,|L|AL|EL|LS|LT|ALT|ELT|LST|,"Majapidajanna jooksis tuppa : ah , lõhud jälle ?"
581,202,358,3,meeldima,,"all,sg",P,mina,mulle,,,,,all,,"Sest kui mulle midagi ei meeldi , olen ma teinud nii ."
600,207,369,10,panema,,"adit,com,sg",S,paik,paika,,location,,,adit,|L|AL|EL|LS|LT|ALT|ELT|LST|,"B : Väga väiksed intiimsed asjad panevad n-ö asja paika : hääl , lõhn , olemine , kuidas mees hingab , magab , istub , sööb ."
607,208,375,6,meeldima,,"all,sg",P,mina,mulle,,,,,all,,"Kõik asjad kokku - kui mulle midagi ei meeldi , siis hakkab see aja jooksul häirima , paisub sees ."
627,212,386,15,baseeruma,,"ad,pl",P,mis,millel,,,,,ad,,"P : Tegelikult on asi väga lihtne : kui sisemuses pole kõik asjad , millel suhe baseerub , paigas , siis suhe ei toimi ."
629,212,386,19,baseeruma,,"com,in,sg",S,paik,paigas,,location,,,in,|L|AL|EL|LS|LT|ALT|ELT|LST|,"P : Tegelikult on asi väga lihtne : kui sisemuses pole kõik asjad , millel suhe baseerub , paigas , siis suhe ei toimi ."
643,218,398,1,meeldima,,"all,sg",P,mina,Mulle,,,,,all,,Mulle meeldib vahel karjuda ...
650,220,401,3,möllama,,"com,in,sg",S,algus,Alguses,,,,,in,,P : Alguses ikka möllasime päris kõvasti .
667,228,413,10,kõndima,,"ad,com,sg",S,hetk,hetkel,,time,,TIME,ad,|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,"Mäletan , et New Yorgis ma lihtsalt kõndisin ühel hetkel minema ."
670,229,414,5,saama,kokku,"ad,com,sg",S,mood,moel,,,,,ad,,"Aga siis , naljakal moel , saime me Priiduga tänaval kuidagi uuesti kokku ."
673,229,414,10,saama,kokku,"ad,com,sg",S,tänav,tänaval,,location,,,ad,|L|AL|EL|LS|LT|ALT|ELT|LST|,"Aga siis , naljakal moel , saime me Priiduga tänaval kuidagi uuesti kokku ."
688,236,426,3,võtma,,"com,in,sg",S,lõpp,lõpus,,,,DATE,in,|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,"Läinud aasta lõpus võtsin Priidu kimono , mille talle kinkisin , ning viskasin selle rõdult alla ."
691,236,427,9,kinkima,,"all,sg",P,tema,talle,,,,,all,,"Läinud aasta lõpus võtsin Priidu kimono , mille talle kinkisin , ning viskasin selle rõdult alla ."
693,236,428,15,viskama,alla,"abl,com,sg",S,rõdu,rõdult,,location,,,abl,|L|AL|EL|LS|LT|ALT|ELT|LST|,"Läinud aasta lõpus võtsin Priidu kimono , mille talle kinkisin , ning viskasin selle rõdult alla ."
704,238,435,20,ajama,,"adit,com,sg",S,selg,selga,,,,,adit,,"Mõne hetke pärast juba juurdlesin , et peaks ikka alla minema , aga kuulsin , kuidas Priit jopet juba selga ajas ja järele läks ."
723,245,450,1,käima,peal,"ad,sg",P,mina,Mul,,,,,ad,,"Mul käivad tihti peal tujud , kus ma ei viitsi ühel hetkel enam midagi teha , miski ei huvita ja ..."
729,245,451,12,viitsima,,"ad,com,sg",S,hetk,hetkel,,time,,TIME,ad,|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,"Mul käivad tihti peal tujud , kus ma ei viitsi ühel hetkel enam midagi teha , miski ei huvita ja ..."
754,256,472,3,tooma,,"all,com,sg",S,direktor,direktorile,,,,,all,,Eesti Kontserdi direktorile ja Arsise kellade ansambli juhile Aivar Mäele ( 42 ) tõi austava aasta mehe tiitli tema eestkostel üheksa kuuga valminud Pärnu Kontserdimaja .
757,256,473,20,valmima,,"ad,com,sg",S,eestkoste,eestkostel,,,,,ad,,Eesti Kontserdi direktorile ja Arsise kellade ansambli juhile Aivar Mäele ( 42 ) tõi austava aasta mehe tiitli tema eestkostel üheksa kuuga valminud Pärnu Kontserdimaja .
773,259,481,30,tulema,,"ad,com,sg",S,linn,linnal,,organisation,LOC,,ad,|AL|ALT|,"Aivar Mäe arvab aasta tegu ehk Pärnu Kontserdimaja ehitust kommenteerides , et investeering Pärnusse oli päris suur , Pärnu lihtsalt anus ja ägas säärase kultuurikantsi järele : “ Pärnu linnal tuli mõte teha kontserdihoone kolmkümmend aastat tagasi , nüüd on see unistus täitunud ."
778,260,484,1,külastama,,"com,in,sg",S,detsember,Detsembris,,time,,DATE,in,|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,"Detsembris külastas uut maja juba pool Pärnu linna , see kõneleb ise enda eest . ”"
