wordid,lexeme_id,word,homonym_nr,is_public,pos,government
220185,1301992,proovima,1,True,v,keda/mida*
220439,1302560,pruukima,1,True,v,mida teha
220439,1302561,pruukima,1,True,,mida teha
220516,1302769,prügi silma ajama,1,True,v,kellele
220773,1303436,puhastama,1,True,v,millest
220822,1303563,puhkama,1,True,v,kellest/millest
220840,1303607,puhkema,1,True,,mida tegema
220896,1303751,puhta nahaga pääsema,1,True,v,millest
1172415,2214235,puid alla panema,1,True,v,kellele/millele
1355000,2455014,puid alla viskama,1,True,,kellele/millele
221086,1304204,pulbriks tegema,1,True,v,keda/mida
221355,1304795,punase joonena läbima,1,True,v,mida*
221361,1304804,punase niidina läbima,1,True,v,mida*
221444,1305048,punkti panema,1,True,v,millele
221502,1305190,puntras olema,1,True,v,millega
221631,1305509,purskama,1,True,v,mida tegema
221642,1305541,purtsatama,1,True,,mida tegema
221670,1305621,puru silma ajama,1,True,v,kellele
1271029,2354539,puskut tegema,1,True,v,millega
274985,1430582,puudu jääma,1,True,v,millest
221830,1306044,puuduma,1,True,v,kust
221837,1306070,puudust tundma,1,True,v,kellest/millest
221838,1306071,puudutama,1,True,v,keda/mida*
221838,1306072,puudutama,1,True,v,keda/mida*
221838,1306073,puudutama,1,True,v,mida*
221838,1306074,puudutama,1,True,v,keda/mida*
221838,1306075,puudutama,1,True,v,keda/mida*
221838,1306076,puudutama,1,True,v,keda*
221838,1306078,puudutama,1,True,v,mida*
222095,1306633,puutuma,1,True,v,keda/mida*
222095,1306635,puutuma,1,True,v,kellesse/millesse
222095,1306636,puutuma,1,True,v,kellesse
222095,1306636,puutuma,1,True,v,kuhu
222095,1306637,puutuma,1,True,v,keda/mida*
222095,1306638,puutuma,1,True,v,mida*
222095,1306632,puutuma,1,True,v,mida*
222158,1306778,põdema,1,True,v,mida*
222189,1306855,põgenema,1,True,v,kust
222189,1306855,põgenema,1,True,v,kelle/mille eest
222189,1306856,põgenema,1,True,,mille eest
222287,1307095,põhinema,1,True,v,millele
222287,1307095,põhinema,1,True,v,millel
222508,1307517,põhja vajutama,1,True,v,mida
222517,1307535,põhjendama,1,True,v,mida*
222517,1307535,põhjendama,1,True,v,millega
222697,1307998,põletama,1,True,v,mida/keda
222697,1307999,põletama,1,True,v,mida*
222697,1308000,põletama,1,True,v,mida
222697,1308004,põletama,1,True,v,mida
222697,1308005,põletama,1,True,v,mida
222697,1307996,põletama,1,True,v,mida
222697,1308006,põletama,1,True,v,mida*
222938,1308540,põlvi nõtkutama,1,True,v,kelle ees
222951,1308571,põlvnema,1,True,v,kellest/millest
222951,1308572,põlvnema,1,True,v,kellest
222951,1308573,põlvnema,1,True,v,kust
222951,1308574,põlvnema,1,True,v,millest
223068,1308875,põrgu saatma,1,True,v,keda/mida
223071,1308879,põrgusse saatma,1,True,v,keda/mida
223078,1308887,põrgut tegema,1,True,v,kellele
223092,1308937,põrkama,1,True,v,mille vastu
223092,1308937,põrkama,1,True,v,kuhu
223092,1308938,põrkama,1,True,v,millele
223092,1308939,põrkama,1,True,,kuhu
223092,1308940,põrkama,1,True,,kuhu
223105,1308967,põrkuma,1,True,v,millega
223105,1308969,põrkuma,1,True,,kuhu
223113,1308993,põrmu tallama,1,True,v,keda/mida
223142,1309062,põrutama,1,True,,keda
223200,1309221,põõna panema,1,True,v,millele/kellele
223366,1309617,pähe andma,1,True,v,kellele
223371,1309630,pähe määrima,1,True,v,kellele
223372,1309631,pähe panema,1,True,v,mida
223372,1309631,pähe panema,1,True,v,kellele
1254152,2333494,pähe tampima,1,True,v,kellele
223567,1310044,päkka hoidma,1,True,v,kellele/millele
223569,1310048,päkka peale panema,1,True,v,millele
223571,1310051,päkki silma ajama,1,True,v,millele
223572,1310053,päkki silma panema,1,True,v,millele
223680,1310336,pärima,1,True,v,kellelt
223680,1310336,pärima,1,True,v,mille
223680,2034937,pärima,1,True,v,kellelt
223680,2034937,pärima,1,True,v,kelle/mille kohta
223698,1310378,pärinema,1,True,v,mis ajast
223698,1310378,pärinema,1,True,v,kust
223698,1310379,pärinema,1,True,v,kust
223754,1310520,pärit olema,1,True,v,kust
223754,1310519,pärit olema,1,True,v,kust
223754,1310519,pärit olema,1,True,v,mis ajast
1240642,2314412,pätti tegema,1,True,v,kellele
223896,1310828,pääsema,1,True,v,millest
223896,1310828,pääsema,1,True,v,kelle käest
223896,1310829,pääsema,1,True,v,millest
223896,1310830,pääsema,1,True,v,mida tegema
223896,1310830,pääsema,1,True,v,kuhu
223896,1310831,pääsema,1,True,,kuhu
223896,1310832,pääsema,1,True,v,kust
223896,1310833,pääsema,1,True,,kust
223950,1310964,päästma,1,True,v,kust
223950,1310964,päästma,1,True,v,kelle käest
223950,1310964,päästma,1,True,v,millest
223993,1311063,pöitama,1,True,v,mida
224084,1311305,pöörduma,1,True,v,kuhu
224084,1311310,pöörduma,1,True,v,mille juurde
224084,1311310,pöörduma,1,True,v,mille poole
224084,1311311,pöörduma,1,True,v,kuhu
224084,1311311,pöörduma,1,True,v,kelle/mille poole
224084,1311311,pöörduma,1,True,v,millega
224215,1311687,pühendama,1,True,v,kellele/millele
224215,1311688,pühendama,1,True,v,kellele/millele
224215,1311689,pühendama,1,True,,millesse
224230,1311743,pühkima,1,True,v,mida
224230,1311743,pühkima,1,True,v,millega
224230,1311744,pühkima,1,True,v,mida*
224230,1311746,pühkima,1,True,v,mida
224458,1312310,püsti panema,1,True,v,mida
224458,1312311,püsti panema,1,True,v,mida
224545,1312487,püüdlema,1,True,v,mille poole
224545,1312487,püüdlema,1,True,v,kuhu
224545,1312487,püüdlema,1,True,v,mida*
224548,1312502,püüdma,1,True,v,mida
224548,1312505,püüdma,1,True,v,mida teha
224548,1312506,püüdma,1,True,v,keda/mida*
224548,1312507,püüdma,1,True,v,keda*
224787,1313068,raatsima,1,True,v,mida teha
224846,1313270,radaril olema,1,True,v,kelle/mille
224918,1313420,raevuma,1,True,v,mille peale
225051,1313741,rahastama,1,True,v,mida*
225122,1313925,rahuldama,1,True,v,keda
225127,1313947,rahulduma,1,True,v,millega
225129,1313956,rahule jätma,1,True,v,keda
225129,1313957,rahule jätma,1,True,v,mida
225130,1313959,rahule jääma,1,True,v,millega
1174096,2217531,rahule sundima,1,True,v,keda
274993,1430594,rahul olema,1,True,v,millega/kellega
225168,1314075,rahustama,1,True,v,keda
1376533,2490003,rahu tegema,1,True,v,kellega/millega
225492,1314853,rajama,1,True,v,millele/kellele
225496,1314874,rajanema,1,True,v,millel
225496,1314874,rajanema,1,True,v,millele
225832,1315672,raporteerima,1,True,v,millest
226318,2530625,ravima,1,True,v,keda/mida*
226318,1316920,ravima,1,True,v,mida*
226402,1317089,reageerima,1,True,v,millega
226402,1317089,reageerima,1,True,v,millele
226402,1317089,reageerima,1,True,v,mille peale
226402,1317090,reageerima,1,True,v,millega
1236470,2309135,rebaseks lööma,1,True,v,keda
226693,1317884,reguleerima,1,True,v,mida*
226693,1317885,reguleerima,1,True,v,mida*
226872,1318285,reklaamima,1,True,v,mida*
227011,1318602,relvastuma,1,True,v,millega
227043,1318668,remontima,1,True,v,mida
227186,1319017,resoneerima,1,True,v,kellega/millega
227188,1319021,resoneeruma,1,True,v,kellega/millega
227510,1319826,riidlema,1,True,v,kellega
227510,1319826,riidlema,1,True,v,mille pärast
227510,1319827,riidlema,1,True,,mille pärast
227511,1319834,riidu minema,1,True,v,kellega
227511,1319834,riidu minema,1,True,v,mille pärast
227773,1320529,rikkuma,1,True,v,mida
227773,1320530,rikkuma,1,True,v,keda
227773,1320531,rikkuma,1,True,v,mida*
227796,1320611,rinda pistma,1,True,v,kellega/millega
227842,1320731,ringi jooksma,1,True,v,kus
227854,1320760,ringi käima,1,True,v,kellega/millega
227907,1320861,ringi vaatama,1,True,v,kelle/mille järele
227911,1320872,ringi vedama,1,True,v,keda/mida*
227911,1320873,ringi vedama,1,True,v,mida*
228114,1321411,riputama,1,True,v,kuhu
228139,1321470,riskima,1,True,,mida teha
228203,1321638,risti lööma,1,True,v,keda
228169,1321550,risti,1,True,"adv,prep",mida
228169,1321556,risti,1,True,prep,keda/mida
228472,1322317,rohelist tuld näitama,1,True,v,millele/kellele
228615,1322685,rolli etendama,1,True,v,milles
228619,1322693,rolli mängima,1,True,v,milles
228619,1322693,rolli mängima,1,True,v,kus
228689,1322857,ronima,1,True,v,kuhu
228766,1323076,roomama,1,True,v,kelle ees
229166,1324106,ruttama,1,True,v,kuhu
229261,1324338,rõhku panema,1,True,v,millele
229288,1324389,rõhuma,1,True,v,millele
229291,1324406,rõhutama,1,True,v,et
229291,1324406,rõhutama,1,True,v,mida*
229291,1324407,rõhutama,1,True,v,mida*
229392,1324650,rõõmustama,1,True,v,keda
229392,1324651,rõõmustama,1,True,v,kelle/mille üle
229392,1324651,rõõmustama,1,True,v,mille üle
229402,1324672,rõõnama,1,True,v,keda
229649,1325289,rääkima,1,True,v,kellega
229649,1325289,rääkima,1,True,v,et
229649,1325291,rääkima,1,True,v,kellest/millest
229649,1325294,rääkima,1,True,,millest
229787,1325620,röövima,1,True,v,kellelt
229873,1325829,ründama,1,True,v,keda/mida*
229997,1326150,saabuma,1,True,v,kuhu
230083,1326377,saama,1,True,v,kellelt / kust
230083,1326383,saama,1,True,v,mida teha
230083,1326384,saama,1,True,v,milliseks
230083,1326384,saama,1,True,v,kelleks/milleks
230083,1326384,saama,1,True,v,milleks/kelleks
230083,1326393,saama,1,True,v,mida tegema
230206,1326711,saatma,1,True,v,mida tegema
230265,1326869,sabast kinni saama,1,True,v,kellel/millel
230449,1327321,sahkerdama,1,True,v,kellega
230633,1327733,saladuskatet kergitama,1,True,v,millelt
230636,1327740,saladust tegema,1,True,v,millest
230793,1328126,sallima,1,True,v,keda/mida*
230917,1328443,samastama,1,True,v,kellega/millega
230917,1328443,samastama,1,True,v,keda/mida
230918,1328447,samastuma,1,True,v,kellega/millega
231027,1328708,sammu pidama,1,True,v,kellega/millega
231130,2367442,sanktsioneerima,1,True,v,keda/mida*
231264,1329237,sarnanema,1,True,v,millelt
231264,1329237,sarnanema,1,True,v,kellega/millega
231264,1329237,sarnanema,1,True,v,kellele/millele
231264,1329237,sarnanema,1,True,v,mille poolest
231267,1329245,sarnastama,1,True,v,keda/mida
231267,1329245,sarnastama,1,True,v,kellega/millega
231269,1329249,sarnastuma,1,True,v,kellega/millega
231271,1329255,sarnlema,1,True,v,millele
231271,1329255,sarnlema,1,True,v,millega
231302,1329338,sarvist haarama,1,True,v,millel
231303,1329339,sarvi tegema,1,True,v,kellele
231371,1329506,sattuma,1,True,v,mida tegema
231371,1329506,sattuma,1,True,v,kuhu
231371,1329507,sattuma,1,True,v,mille alla
231422,1329619,saunatama,1,True,v,keda*
211316,1279671,savi olema,1,True,v,kellest/millest
211316,1279671,savi olema,1,True,v,kellel
231704,1330308,seebiks keetma,1,True,v,keda
231853,1330664,seenele saatma,1,True,v,keda/mida
231980,1330988,segama,1,True,v,keda
231980,1330988,segama,1,True,v,millega
231980,1330988,segama,1,True,v,keda/mida*
231980,1330989,segama,1,True,v,millesse
231980,1330993,segama,1,True,v,mida
231980,1330996,segama,1,True,,kellega/millega
231986,1331038,segamini ajama,1,True,v,kellega/millega
231986,1331038,segamini ajama,1,True,v,keda/mida
231986,1331039,segamini ajama,1,True,v,mida*
232049,1331213,segunema,1,True,v,millega
232049,1331214,segunema,1,True,v,millega
232121,1331399,seina äärde panema,1,True,v,keda
232127,1331407,seirama,1,True,v,keda/mida*
232127,1331409,seirama,1,True,v,keda/mida*
232127,1331410,seirama,1,True,v,keda/mida*
232127,1331408,seirama,1,True,v,mida*
232145,1331480,seisma,1,True,v,kelle/mille eest
232145,1331481,seisma,1,True,v,milles
232158,1331522,seisnema,1,True,v,milles
232229,1331720,sekkuma,1,True,v,millesse
232229,1331721,sekkuma,1,True,,millesse
232253,1331782,seksima,1,True,v,kellega
232333,1331964,sekundeerima,1,True,v,keda
232333,1331966,sekundeerima,1,True,v,kellele
232365,1332039,seletama,1,True,v,kellele
232365,1332039,seletama,1,True,v,mida*
232365,1332040,seletama,1,True,v,mida*
232368,1332063,seletuma,1,True,v,millega
232380,1332102,selga prügiseks tegema,1,True,v,kellel
232381,1332104,selga pöörama,1,True,v,kellele/millele
232377,1332095,selga,1,True,postp,kelle/mille
232405,1332208,selgitama,1,True,v,kellele
1376091,2489337,selgust saama,1,True,v,kelle/mille kohta
1376091,2489337,selgust saama,1,True,v,kelle/mille suhtes
1376091,2489337,selgust saama,1,True,v,kelles/milles
1376091,2489337,selgust saama,1,True,v,mille osas
1376091,2489337,selgust saama,1,True,v,millesse
278134,1433896,selgust tooma,1,True,v,millesse
278134,1433896,selgust tooma,1,True,v,mille kohta
232469,1332392,seljasauna andma,1,True,v,kellele
232470,2337055,seljas elama,1,True,v,kelle
232470,2337055,seljas elama,1,True,v,kellel
232470,1332393,seljas elama,1,True,v,kelle
232470,1332393,seljas elama,1,True,v,kellel
232470,1332394,seljas elama,1,True,v,kellel
232470,1332394,seljas elama,1,True,v,kelle
232472,1332400,seljas liugu laskma,1,True,v,kelle
232468,1332390,seljas,1,True,postp,kelle/mille
232474,1332403,seljast,1,True,postp,kelle/mille
232539,1332594,seltsima,1,True,v,kellega
232539,1332595,seltsima,1,True,v,kellega/millega
232692,1332971,seondama,1,True,v,millega
232693,1332972,seonduma,1,True,v,millega/kellega
232699,1332999,seostama,1,True,v,kellega/millega
232699,1332999,seostama,1,True,v,keda/mida
232701,1333006,seostuma,1,True,v,millega
233056,1333840,siduma,1,True,v,mida
233056,1333841,siduma,1,True,v,mida
233056,1333839,siduma,1,True,,mida
233056,1333842,siduma,1,True,v,mida
233056,1333843,siduma,1,True,v,kellega/millega
233056,1333843,siduma,1,True,v,mida
233056,1333844,siduma,1,True,,mida
233056,1333845,siduma,1,True,v,mida
233056,1333846,siduma,1,True,,mida
233056,1333847,siduma,1,True,v,mida
233077,2457002,sidustama,1,True,v,keda/mida
233099,1333957,siga mängima,1,True,,kellele
233258,2247316,siiber olema,1,True,v,kellel
233258,2247316,siiber olema,1,True,v,millest/kellest
233296,1334480,siidkinnastes kohtlema,1,True,v,keda/mida*
233405,1334734,siirma,1,True,v,kellele
233405,1334734,siirma,1,True,v,kuhu
233448,1334871,sikku tegema,1,True,v,kellele
233482,1334954,silditama,1,True,v,keda
233569,1335138,sillas olema,1,True,v,millest
233596,1335239,silmadega sööma,1,True,v,keda/mida*
233597,1335240,silmadega õgima,1,True,v,keda/mida*
233613,1335259,silma heitma,1,True,v,kellele
233661,1335383,silma paistma,1,True,v,millega
233663,1335392,silma peale viskama,1,True,v,millele
233663,1335392,silma peale viskama,1,True,v,millele/kellele
233664,1335393,silma peal hoidma,1,True,v,kellel/millel
233665,1335394,silma peal pidama,1,True,v,kellel/millel
233694,1335463,silmas pidama,1,True,v,keda/mida*
233694,1335464,silmas pidama,1,True,v,keda/mida*
233700,1335475,silma tegema,1,True,v,kellele
233700,1335476,silma tegema,1,True,v,kellele
233704,1335488,silma torkama,1,True,v,millega
1327993,2417004,silma viskama,1,True,v,kellele
233723,1335529,silmi avama,1,True,,kelle
233724,1335531,silmi ette andma,1,True,v,millele/kellele
233724,1335531,silmi ette andma,1,True,v,mis/kes
233725,1335532,silmi ette tegema,1,True,v,mis/kes
233725,1335532,silmi ette tegema,1,True,v,millele/kellele
233740,1335556,silmi peast sööma,1,True,v,kellel
233744,1335566,silmist laskma,1,True,v,keda
233744,1335567,silmist laskma,1,True,v,mida
233747,1335570,silmi tegema,1,True,v,kellele
233797,1335683,silti külge kleepima,1,True,v,kellele/millele
233827,2362987,simuleerima,1,True,v,keda/mida*
233827,1335765,simuleerima,1,True,v,mida
233842,1335804,sina peal olema,1,True,v,kellega
233842,1335805,sina peal olema,1,True,v,millega
234233,1336778,sisendama,1,True,v,kellele
234233,1336778,sisendama,1,True,v,mida
234233,1336779,sisendama,1,True,v,mida
234242,1336800,sisenema,1,True,v,kuhu
234279,1336877,sisestama,1,True,v,kuhu
234343,1337043,sisse hõõruma,1,True,v,mida
234343,1337043,sisse hõõruma,1,True,v,millega
234344,1337044,sisse häkkima,1,True,v,millele
234344,1337044,sisse häkkima,1,True,v,millesse
