verb,verb_compound,kaane,elus_cnt,mitteelus_cnt,root_cnt,isik
tahtma,,all,259,86,1329,vahel
lähenema,,all,132,75,1326,vahel
elama,,el,257,75,1325,vahel
viibima,,ad,18,55,1325,mitte kunagi
sündima,,el,104,32,1306,vahel
käima,,all,350,63,1301,vahel
kutsuma,,all,92,54,1300,vahel
kehtima,,in,21,113,1297,mitte kunagi
soovima,,all,341,62,1293,vahel
sõitma,,el,139,95,1291,vahel
sündima,,ad,118,39,1288,mitte kunagi
sõitma,,ill,19,88,1287,mitte kunagi
teatama,,in,20,73,1287,mitte kunagi
jätkuma,,all,288,67,1284,vahel
kinnitama,,all,305,52,1284,vahel
langema,,in,18,104,1284,mitte kunagi
suhtuma,,adit,36,27,1283,vahel
muutuma,,el,122,48,1282,vahel
viima,,el,130,127,1281,vahel
püsima,,in,41,82,1280,mitte kunagi
võtma,,all,142,72,1280,mitte kunagi
helistama,,all,405,13,1272,alati
väljenduma,,in,24,31,1270,mitte kunagi
tagama,,all,322,62,1265,vahel
tõusma,,ad,114,56,1265,mitte kunagi
reageerima,,all,34,18,1263,mitte kunagi
kinnitama,,in,21,58,1255,mitte kunagi
saabuma,,el,95,74,1255,mitte kunagi
seadma,,all,194,66,1249,vahel
juhtima,,all,63,48,1248,mitte kunagi
jätma,,in,25,74,1248,mitte kunagi
selguma,,el,20,11,1248,mitte kunagi
tuginema,,all,62,21,1236,vahel
hoolima,,el,160,49,1227,mitte kunagi
surema,,in,27,120,1225,mitte kunagi
saavutama,,in,25,46,1224,mitte kunagi
kasvama,,ad,80,101,1220,mitte kunagi
puuduma,,el,177,59,1220,vahel
kulutama,,all,63,38,1217,mitte kunagi
looma,,all,290,55,1214,vahel
väljuma,,el,28,100,1213,mitte kunagi
eelnema,,all,18,15,1201,vahel
sattuma,,in,26,90,1200,mitte kunagi
määrama,,all,335,43,1197,vahel
maksma,,ad,144,60,1196,vahel
kaduma,,ad,202,45,1195,vahel
alustama,,ad,23,63,1192,mitte kunagi
pakkuma,,el,141,52,1190,vahel
tahtma,,ad,57,57,1190,mitte kunagi
tooma,,ill,33,96,1189,mitte kunagi
olema,vaja,in,24,103,1187,mitte kunagi
heitma,,all,182,74,1177,vahel
muutuma,,all,254,53,1175,vahel
kogunema,,all,53,73,1163,vahel
tunnistama,,in,19,41,1162,mitte kunagi
lubama,,in,18,77,1160,mitte kunagi
teadma,,in,44,79,1159,mitte kunagi
panema,,ill,37,68,1158,mitte kunagi
suutma,,el,169,37,1148,vahel
jagama,,all,422,46,1146,vahel
esitama,,el,145,38,1145,vahel
jääma,maha,el,178,27,1144,vahel
maksma,,el,93,35,1144,mitte kunagi
vaatama,,in,33,97,1144,mitte kunagi
kohtama,,in,24,103,1143,mitte kunagi
saama,,ill,37,75,1138,mitte kunagi
valmistama,,all,400,40,1136,vahel
tõusma,,all,114,49,1135,vahel
kõlama,,in,21,79,1132,mitte kunagi
alluma,,all,128,26,1130,vahel
viima,,in,25,87,1123,mitte kunagi
jätma,,el,188,56,1122,vahel
rääkima,,ad,28,49,1122,mitte kunagi
kandma,,in,34,71,1118,mitte kunagi
keelduma,,el,52,25,1118,mitte kunagi
kaotama,,ad,23,43,1112,mitte kunagi
pääsema,,in,32,73,1110,mitte kunagi
panema,,el,136,51,1105,vahel
juhtima,,in,18,70,1104,mitte kunagi
suutma,,ad,32,45,1104,mitte kunagi
lööma,,in,35,86,1101,mitte kunagi
tasuma,,ad,277,37,1101,alati
ilmuma,,all,69,77,1100,vahel
laienema,,all,213,77,1098,vahel
asuma,,all,109,85,1093,vahel
astuma,,in,20,75,1089,mitte kunagi
avaldama,,in,20,59,1084,mitte kunagi
levima,,in,26,110,1077,mitte kunagi
pakkuma,,ad,22,57,1072,mitte kunagi
jääma,puudu,el,32,21,1071,mitte kunagi
korraldama,,all,362,60,1070,vahel
saama,lahti,el,121,18,1061,vahel
ostma,,abl,208,45,1057,alati
vihjama,,all,85,30,1057,vahel
lõppema,,ad,109,61,1056,vahel
toimuma,,el,49,72,1054,mitte kunagi
selguma,,in,20,50,1052,mitte kunagi
looma,,in,40,85,1051,mitte kunagi
nõudma,,in,21,96,1047,mitte kunagi
pärinema,,abl,252,36,1046,vahel
saatma,,el,127,62,1046,mitte kunagi
mõtlema,,el,97,49,1044,vahel
vaatama,,el,91,42,1044,vahel
selguma,,ad,24,26,1040,mitte kunagi
paistma,,in,35,74,1035,mitte kunagi
põhjustama,,in,76,91,1035,mitte kunagi
sisalduma,,in,15,10,1029,mitte kunagi
võistlema,,in,10,39,1029,mitte kunagi
avanema,,ad,209,43,1026,vahel
