verb,verb_compound,kaane,elus_cnt,mitteelus_cnt,root_cnt,isik
koondama,kokku,ill,1,0,3,
koonduma,alla,adit,0,0,3,
koonduma,kokku,all,1,0,3,
koonduma,kokku,el,0,2,3,
koonduma,kokku,in,0,1,3,
koonduma,ümber,in,0,0,3,
koonerdama,,all,2,0,3,
koopereeruma,,ad,0,0,3,
koorima,,adit,1,0,3,
koorima,lahti,ad,0,1,3,
koormama,,abl,0,0,3,
kooruma,lahti,abl,0,0,3,
koosenema,,el,0,0,3,
kooskõlastama,,abl,0,1,3,
kooskõlastama,,ill,0,3,3,
kooskõlastuma,,all,0,0,3,
koostama,kokku,ad,0,0,3,
kopeerima,maha,abl,0,0,3,
kopeeruma,,abl,1,0,3,
kopeeruma,,all,1,0,3,
koperdama,ees,ad,1,0,3,
koperdama,ringi,ad,0,0,3,
koperdama,ringi,in,0,2,3,
kopima,,ill,0,0,3,
koppima,,el,1,0,3,
kopsatama,,ad,0,0,3,
kopsatama,,in,0,0,3,
kopsima,,adit,0,1,3,
kopsima,,all,0,1,3,
koputama,,ill,0,0,3,
kordama,läbi,in,0,0,3,
kordama,välja,ad,0,0,3,
kordama,üle,el,1,0,3,
korjama,juurde,all,1,0,3,
korjama,peale,in,0,1,3,
korjama,tagasi,abl,1,1,3,
korjama,täis,el,0,0,3,
korjama,välja,in,0,0,3,
korjuma,,ill,0,0,3,
korkima,lahti,ad,0,0,3,
korkima,lahti,in,0,2,3,
korraldama,edasi,in,0,0,3,
korraldama,kokku,ad,0,0,3,
korraldama,tagasi,ad,0,0,3,
korraldama,üle,ad,0,0,3,
korrespondeerima,,all,1,0,3,
korrutama,,abl,0,0,3,
kortsuma,,el,0,0,3,
kostma,läbi,adit,0,3,3,
kostma,vastu,in,0,0,3,
kostümeerima,,in,0,1,3,
kosuma,,adit,0,0,3,
kosutama,,adit,0,1,3,
koukima,välja,all,3,0,3,
kraadima,,in,0,1,3,
kraaklema,,in,0,2,3,
kraamima,,abl,0,0,3,
kraapima,kokku,all,2,0,3,
kraapima,maha,in,0,0,3,
kraapima,ära,abl,0,0,3,
krabama,,ill,0,0,3,
krabama,välja,el,0,0,3,
krahmama,,ill,0,0,3,
krapsama,püsti,el,0,1,3,
kreemitama,,ad,0,0,3,
krigistama,,in,0,0,3,
kriimustama,,el,0,0,3,
kriipima,,abl,0,1,3,
kriipima,,el,0,0,3,
kriipsutama,alla,ad,0,0,3,
kriiskama,,all,2,0,3,
kripeldama,,all,1,0,3,
kripeldama,,el,0,0,3,
kritseldama,,adit,0,0,3,
kritseldama,,ill,0,0,3,
kroonima,,ill,0,0,3,
krudisema,,el,0,0,3,
krudisema,,in,1,0,3,
krussima,,in,0,0,3,
kruvima,alla,all,0,0,3,
kruvima,peale,all,2,0,3,
kruvima,ära,abl,0,0,3,
kräshshima,,ad,1,0,3,
kucuma,,all,0,0,3,
kudrutama,,in,0,1,3,
kuduma,,abl,0,1,3,
kugistama,alla,ad,0,0,3,
kugistama,alla,in,1,1,3,
kuhjama,kokku,adit,0,1,3,
kuhjama,kokku,all,0,1,3,
kuhjuma,kokku,in,0,1,3,
kuhtuma,,ad,0,1,3,
kuivatama,ära,ad,0,0,3,
kuivatama,ära,in,2,0,3,
kujundama,ümber,all,0,0,3,
kujunema,heaks,ad,0,0,3,
kujunema,läbi,el,0,0,3,
kujustama,,ad,0,0,3,
kujustama,,all,2,1,3,
kujutama,alla,all,0,0,3,
kujutama,peale,el,0,0,3,
kujutlema,ette,in,0,0,3,
kujuttama,ette,ad,0,0,3,
kukerpallitama,,ad,1,1,3,
kukkuma,alt,ad,0,0,3,
kukkuma,"eest, ära",ad,1,1,3,
kukkuma,ette,in,0,0,3,
kukkuma,puruks,adit,0,0,3,
kukkuma,puruks,all,0,1,3,
kukkuma,sisse,adit,0,1,3,
kukkuma,tagasi,abl,0,0,3,
kukkuma,vahele,ad,0,0,3,
kukkuma,vahele,adit,0,0,3,
kukkuma,vahele,in,0,0,3,
kukkuma,vastu,abl,0,1,3,
kukkuma,üle,el,1,0,3,
kukkuma,ümber,abl,1,0,3,
kukutama,alla,ad,0,2,3,
kukutama,välja,ad,0,0,3,
kuldama,,in,0,1,3,
kulgema,edasi,abl,0,0,3,
kulgema,edasi,all,0,1,3,
kulgema,tagasi,all,0,1,3,
kulgema,tagasi,el,0,0,3,
kulgema,välja,in,0,0,3,
kulistama,alla,el,0,0,3,
kulmineerima,,in,0,1,3,
kuluma,alla,ad,0,0,3,
kuluma,alla,all,0,0,3,
kuluma,lahti,el,0,0,3,
kuluma,maha,in,0,0,3,
kuluma,ringi,in,0,1,3,
kuluma,sisse,ad,1,0,3,
kuluma,sisse,all,2,0,3,
kuluma,tagasi,ad,1,0,3,
kuluma,välja,all,2,0,3,
kuluma,üle,ad,0,0,3,
kulutama,lahti,el,0,0,3,
kulutama,üle,el,0,0,3,
kumama,,ill,0,0,3,
kumama,läbi,abl,0,0,3,
kumama,läbi,adit,0,1,3,
kumisema,kaasa,in,0,0,3,
kummarduma,kohale,in,0,1,3,
kummastama,,el,0,0,3,
kummuma,,in,0,0,3,
kumuleeruma,,el,0,1,3,
kupatama,,in,0,0,3,
kupatama,tagasi,ill,0,0,3,
kuristama,,in,1,0,3,
kuritarvitama,,abl,0,0,3,
kurjustama,,abl,0,1,3,
kurnama,,adit,1,0,3,
kurnama,,ill,0,0,3,
kurnama,ära,in,0,0,3,
kurtma,üle,ad,0,0,3,
kurvastama,,all,0,0,3,
kusema,,ad,1,0,3,
kusema,täis,in,0,0,3,
kussutama,,in,0,1,3,
kustutama,,ill,0,0,3,
kustutama,ära,all,1,0,3,
kutsuma,alla,ad,0,0,3,
kutsuma,ette,ad,0,0,3,
kutsuma,ette,in,0,0,3,
kutsuma,juurde,in,0,0,3,
kutsuma,kokku,abl,0,2,3,
kutsuma,kõrvale,ad,0,0,3,
kutsuma,sisse,abl,0,1,3,
kutsuma,sisse,el,0,0,3,
kutsuma,üle,all,0,0,3,
kutsuma,"üles, vastu",all,0,0,3,
kuulama,edasi,in,0,2,3,
kuulama,pealt,abl,0,1,3,
kuulama,ära,adit,0,0,3,
kuulama,üle,adit,0,0,3,
kuulma,alles,el,1,0,3,
kuulma,otsa,ad,1,0,3,
kuulma,välja,in,0,1,3,
kuulma,ära,ad,0,0,3,
kuuluma,juurde,adit,0,0,3,
kuuluma,järgi,el,1,0,3,
kuuluma,välja,adit,0,0,3,
kuuluma,välja,ill,0,0,3,
kuulutama,"välja, kokku",ad,0,0,3,
kuumenema,üle,el,1,0,3,
kuvama,,ill,0,0,3,
kvalifitseerima,ümber,ad,0,0,3,
kykitama,,ad,1,0,3,
kylastama,,el,0,0,3,
kyssima,,ad,1,0,3,
kädistama,,ad,0,0,3,
kägardama,,ill,0,0,3,
kägarduma,,in,0,0,3,
kägisema,,ad,0,0,3,
kägistama,,adit,0,1,3,
kähvama,,in,0,0,3,
kähvama,vastu,all,1,0,3,
käima,algama,el,0,0,3,
käima,alles,el,0,0,3,
käima,edasi,adit,1,0,3,
käima,ette,el,0,0,3,
käima,kaasas,ill,0,0,3,
käima,koha,el,1,0,3,
käima,kokku,abl,0,0,3,
käima,käsikäes,ad,0,0,3,
käima,lähedal,in,0,2,3,
käima,otsa,all,0,0,3,
käima,peal,in,0,1,3,
käima,ring,ad,0,1,3,
käima,taga,adit,0,0,3,
käima,taha,all,1,0,3,
käima,vahel,ad,0,3,3,
käima,vastas,in,0,1,3,
käima,üles,all,0,0,3,
käima,ümber,el,0,0,3,
käitama,,adit,0,0,3,
käitlema,kokku,ad,0,0,3,
käituma,edasi,all,0,0,3,
käivituma,alles,ad,0,0,3,
känguma,,adit,1,0,3,
känguma,,el,0,0,3,
käperdama,,el,0,0,3,
käppima,,ad,0,0,3,
käppima,,in,0,1,3,
käratama,,abl,0,0,3,
kärgatama,,adit,0,1,3,
käristama,välja,in,0,0,3,
käristama,ära,ad,2,0,3,
kärpima,maha,el,0,0,3,
kärpima,välja,ad,0,0,3,
kärsatama,,in,0,1,3,
kärutama,ringi,in,0,1,3,
kärvama,,el,0,0,3,
kärvama,,ill,0,1,3,
kärvama,ära,ad,1,0,3,
käsitama,,adit,0,1,3,
käsitlema,edasi,in,0,0,3,
käskima,kokku,ad,1,0,3,
kässima,,ad,1,0,3,
käsutama,tagasi,all,0,1,3,
käsutama,välja,ad,0,0,3,
kääksutama,,ad,0,0,3,
käänama,,abl,0,1,3,
käärima,,adit,1,0,3,
kääritama,,in,0,1,3,
kõditama,,adit,1,0,3,
kõditama,,el,2,1,3,
kõhklema,,adit,0,2,3,
kõhklema,,ill,0,1,3,
kõigutama,,abl,0,0,3,
kõksama,,abl,0,1,3,
kõksama,,ad,0,1,3,
kõksima,,ad,0,1,3,
kõksima,,in,0,1,3,
kõlama,edasi,in,2,0,3,
kõlama,kokku,el,1,0,3,
kõlama,lahti,in,0,0,3,
kõlama,välja,el,0,1,3,
kõlama,välja,in,0,0,3,
kõlgutama,,adit,2,0,3,
kõlgutama,,all,0,0,3,
kõlkuma,,adit,0,1,3,
kõmatama,,abl,0,0,3,
kõmatama,,adit,0,1,3,
kõmatama,puruks,ad,0,0,3,
kõmisema,vastu,in,0,1,3,
kõmmutama,mööda,el,0,0,3,
kõmpima,,abl,0,1,3,
kõmpima,tagasi,ill,0,2,3,
kõndima,alla,in,0,1,3,
kõndima,edasi,el,0,0,3,
kõndima,kinni,in,0,1,3,
kõndima,sisse,ill,0,1,3,
kõndima,tagasi,all,0,2,3,
kõndima,tagasi,in,0,0,3,
kõndima,vastu,el,0,0,3,
kõnelema,kokku,ad,0,0,3,
kõnelema,kokku,in,0,0,3,
kõnelema,üle,in,0,0,3,
kõnetama,,abl,0,0,3,
kõngema,,el,0,0,3,
kõrbema,,all,0,0,3,
kõrbema,läbi,ad,1,0,3,
kõrbema,ära,in,0,1,3,
kõrguma,üle,el,0,0,3,
kõrvaldama,,ill,0,0,3,
kõrvetama,läbi,in,0,1,3,
kõrvetama,välja,el,0,0,3,
kõvenema,,ad,0,1,3,
kõverdama,,ad,0,0,3,
kõõluma,,el,0,0,3,
köhatama,,el,0,1,3,
köhima,välja,in,0,2,3,
köigima,,ad,1,0,3,
köitma,,abl,0,0,3,
köitma,peale,el,1,0,3,
küdema,,el,1,0,3,
kühveldama,kokku,ad,0,0,3,
kühveldama,välja,el,0,1,3,
kükkima,,in,0,0,3,
külastama,kokku,el,0,1,3,
külgnema,,abl,0,0,3,
küllastuma,,adit,1,0,3,
külmama,,ad,0,0,3,
külmenema,,in,0,0,3,
külmuma,läbi,ad,0,0,3,
külmutama,,adit,0,2,3,
külmutama,,ill,0,0,3,
külvama,juurde,ad,0,1,3,
külvama,maha,ad,0,0,3,
kümblema,,el,1,0,3,
kündma,,adit,1,0,3,
kündma,,all,1,0,3,
kündma,üles,in,0,1,3,
küpsetama,ära,el,0,0,3,
küsima,järgi,abl,1,0,3,
küsima,tagasi,in,0,0,3,
küsima,vastu,in,0,0,3,
küsima,välja,el,0,0,3,
kütma,ilma,ad,0,0,3,
kütma,üles,abl,1,0,3,
kütma,üles,adit,0,1,3,
küündima,kokku,ad,0,0,3,
küündima,ligi,ad,0,0,3,
küünitama,järele,all,0,0,3,
küürima,,abl,0,0,3,
küürima,,adit,1,1,3,
küüruma,,in,0,1,3,
laaberdama,,ad,1,0,3,
laabuma,,abl,0,0,3,
laadima,alla,ad,0,1,3,
laadima,maha,ad,0,1,3,
laadima,maha,in,0,2,3,
laadima,sisse,ill,0,0,3,
laadima,täis,ad,1,0,3,
laadima,välja,el,0,1,3,
ladestama,,all,0,0,3,
ladestama,,in,0,0,3,
laduma,,abl,0,0,3,
laduma,kokku,el,0,0,3,
laduma,valmis,all,0,1,3,
laduma,üles,ad,0,0,3,
laduma,üles,in,0,0,3,
laduma,ümber,ad,0,0,3,
laduma,ümber,adit,0,0,3,
ladustama,,el,0,0,3,
laekuma,läbi,ad,1,0,3,
laekuma,üle,ad,0,0,3,
laekuma,üle,in,0,0,3,
laenama,kokku,ad,0,0,3,
laenama,sisse,ad,0,0,3,
laggima,,ad,1,0,3,
lagima,,ad,1,0,3,
lagistama,,in,0,0,3,
lagunema,edasi,in,1,0,3,
lagunema,laiali,el,0,1,3,
lahendama,ära,adit,0,0,3,
lahendama,ära,all,0,0,3,
lahendama,ära,el,1,0,3,
lahenduma,,all,0,0,3,
lahjuma,,ad,1,0,3,
lahkama,,all,0,0,3,
lahknema,,abl,0,0,3,
lahkuma,edasi,ill,0,0,3,
lahkuma,kaasas,el,0,1,3,
lahkuma,läbi,ad,0,1,3,
lahkuma,läbi,el,0,0,3,
lahkuma,sisse,abl,0,0,3,
lahkuma,tagasi,adit,0,1,3,
lahkuma,tagasi,all,0,2,3,
lahkuma,vastu,ad,0,0,3,
lahkuma,vastu,el,0,2,3,
lahkuma,üle,el,0,0,3,
lahmima,,all,0,0,3,
lahterdama,,adit,0,1,3,
lahustama,,adit,0,0,3,
lahvatama,ümber,ad,0,1,3,
laiendama,ringi,all,2,0,3,
laiendama,välja,el,0,2,3,
laienema,välja,el,0,0,3,
laimama,,all,0,0,3,
laimama,,ill,0,0,3,
laitma,,all,2,0,3,
laitma,maha,adit,0,1,3,
laitma,maha,el,1,1,3,
laiuma,välja,el,0,1,3,
laiutama,,abl,0,0,3,
lajatama,vastu,all,2,0,3,
laksama,,in,0,1,3,
laksama,vastu,all,0,1,3,
laksatama,,ad,1,0,3,
laksima,,el,2,0,3,
lamama,,abl,0,1,3,
lammutama,ära,el,0,2,3,
langema,allapoole,ad,1,0,3,
langema,allapoole,el,0,0,3,
langema,kokku,adit,0,1,3,
langema,kokku,ill,0,1,3,
langema,maha,adit,0,1,3,
langema,peale,abl,0,0,3,
langema,peale,adit,0,0,3,
langema,ühte,ad,0,0,3,
laotama,,ill,0,1,3,
laotama,lahti,all,0,1,3,
laotama,laiali,adit,0,2,3,
laotuma,laiali,ad,0,0,3,
lappama,,adit,0,0,3,
lappama,,ill,0,0,3,
lappima,,all,2,0,3,
lappima,,el,0,0,3,
lappima,,ill,0,0,3,
lappima,kokku,in,0,0,3,
lappima,ära,ad,0,0,3,
lapsendama,,abl,1,1,3,
laristama,,all,0,1,3,
laskma,alla,adit,0,1,3,
laskma,ette,el,0,1,3,
laskma,juurde,el,2,0,3,
laskma,järele,ad,0,0,3,
laskma,järele,all,1,0,3,
laskma,kallale,all,1,0,3,
laskma,kinni,ad,0,0,3,
laskma,kokku,in,1,2,3,
laskma,maha,all,1,0,3,
laskma,maha,ill,0,0,3,
laskma,mööda,abl,0,0,3,
laskma,pihta,all,0,0,3,
laskma,sisse,abl,0,0,3,
laskma,täis,adit,0,0,3,
laskma,valla,in,0,0,3,
laskma,ära,all,1,0,3,
laskma,üle,adit,0,0,3,
laskma,üles,el,0,0,3,
laskuma,alla,all,0,2,3,
laskuma,põlvili,ad,0,0,3,
lasuma,,adit,1,0,3,
laulma,alla,el,1,0,3,
laulma,alla,in,0,0,3,
laulma,läbi,el,0,0,3,
laulma,peale,in,0,2,3,
laulma,sisse,el,1,0,3,
laulma,välja,in,0,0,3,
laulsima,,in,0,1,3,
lavastama,ära,ad,0,0,3,
lebama,kokku,in,0,0,3,
lebama,koos,ad,0,1,3,
lebotama,,ad,1,1,3,
leekima,,abl,0,1,3,
leekima,,all,0,1,3,
leelotama,,ad,0,1,3,
legitimeerima,,in,0,1,3,
lehitsema,,all,1,0,3,
lehtima,,in,0,0,3,
lehvima,läbi,ad,0,0,3,
leidima,,in,0,0,3,
leidma,juurde,ad,0,0,3,
leidma,kaasa,in,0,0,3,
leidma,kõrvalt,adit,0,0,3,
leidma,peale,el,0,0,3,
leidma,peale,in,0,0,3,
leidma,seest,ad,0,0,3,
leidma,vaja,ad,0,0,3,
leidma,valmis,ad,0,0,3,
leidma,ära,el,1,0,3,
leiduma,kokku,ad,0,0,3,
leiduma,välja,ad,0,1,3,
lekkima,välja,abl,1,0,3,
lendama,alla,ad,0,0,3,
lendama,alla,in,0,0,3,
lendama,eest,in,0,2,3,
lendama,ette,all,0,0,3,
lendama,kallale,all,1,0,3,
lendama,kohale,ill,0,0,3,
lendama,kokku,all,1,0,3,
lendama,lahti,in,0,0,3,
lendama,läbi,all,0,1,3,
lendama,mööda,abl,0,1,3,
lendama,puruks,in,0,0,3,
lendama,ringi,el,0,0,3,
lendama,vahele,in,0,1,3,
lendama,üle,abl,0,1,3,
lendama,üles,ill,0,0,3,
lendama,ümber,in,0,1,3,
lendlema,,adit,0,0,3,
lenduma,,all,2,1,3,
lennutama,välja,ad,0,0,3,
lennutama,üles,ad,0,0,3,
levima,kokku,all,0,1,3,
levima,laiali,ill,0,1,3,
levima,laiali,in,0,2,3,
levitama,laiali,in,0,0,3,
libastuma,,abl,0,0,3,
liberaliseeruma,,ad,1,0,3,
libisema,alla,adit,0,0,3,
libisema,alla,in,0,1,3,
libisema,ette,ad,0,0,3,
libistama,maha,abl,1,0,3,
liduma,üles,el,0,1,3,
liguma,,in,0,0,3,
ligunema,,el,0,0,3,
lihtsustama,,abl,0,0,3,
liialdama,,all,0,0,3,
liigatama,,in,1,0,3,
liigendama,,adit,0,3,3,
liigendama,,in,0,0,3,
liigutama,edasi,ad,0,1,3,
liigutama,edasi,in,0,0,3,
liikuma,"edasi, tagasi",in,0,0,3,
liikuma,ees,in,0,0,3,
liikuma,ette,all,1,1,3,
liikuma,kaasas,ad,0,0,3,
liikuma,läbi,ill,0,0,3,
liikuma,mööda,ad,0,1,3,
liikuma,ringi,abl,0,0,3,
liikuma,sisse,all,1,0,3,
liikuma,tagasi,abl,1,0,3,
liikuma,tagasi,el,0,0,3,
liikuma,välja,adit,0,0,3,
liikuma,välja,ill,0,0,3,
liikuma,ära,in,0,0,3,
liikuma,üle,abl,0,0,3,
liimima,kokku,ad,0,0,3,
liimima,kokku,el,0,0,3,
liisima,,ill,1,0,3,
liisuma,,ad,2,0,3,
liivatama,,ad,0,0,3,
likvideeruma,,in,0,0,3,
limiteerima,,ad,0,1,3,
linastama,,ad,0,0,3,
lindistama,,ill,1,0,3,
lintshima,,in,0,0,3,
lipendama,välja,el,0,0,3,
lippama,alla,ad,0,0,3,
lippama,alla,el,0,1,3,
lippama,läbi,ad,0,1,3,
lipsama,läbi,abl,1,0,3,
lipsama,mööda,in,0,0,3,
liputama,,el,0,0,3,
lisama,juurde,adit,0,0,3,
lisama,valmis,all,0,0,3,
lisanduma,juurde,in,0,1,3,
lisanduma,välja,all,0,0,3,
litsentseerima,,all,0,0,3,
litutama,,ad,1,0,3,
liuglema,,abl,0,1,3,
liuglema,alla,ad,0,1,3,
liuglema,alla,el,0,0,3,
liuglema,mööda,ad,0,0,3,
liuglema,mööda,el,1,0,3,
liuglema,välja,el,0,2,3,
lobisema,välja,el,1,0,3,
loeme-kuulma,,el,0,0,3,
loetlema,,abl,0,0,3,
logima,sisse,in,1,0,3,
logima,välja,el,0,0,3,
logisema,,adit,0,0,3,
logistama,,adit,0,2,3,
logistama,,ill,0,0,3,
lohisema,edasi,ad,1,1,3,
lohisema,kaasa,ad,0,0,3,
lohisema,kaasa,in,0,0,3,
lohistama,eemale,adit,0,2,3,
lohistama,järel,ad,1,1,3,
lohistama,kaasa,ad,0,1,3,
lohistama,üles,el,0,1,3,
lohutuma,,ad,2,0,3,
loivama,,adit,0,3,3,
loivama,,ill,0,1,3,
lokaliseerima,,in,0,1,3,
lokkama,,all,1,0,3,
loksuma,edasi,in,0,0,3,
loksuma,tagasi,in,0,1,3,
loksuma,välja,el,0,0,3,
loksutama,,adit,0,1,3,
lonkama,,abl,0,3,3,
lonkima,tagasi,all,0,0,3,
lonkima,üles,el,0,2,3,
lonksama,,in,0,0,3,
loobuma,edasi,el,1,0,3,
loobuma,peale,el,0,0,3,
loobuma,vastu,el,0,0,3,
looderdama,,ad,0,0,3,
lookama,,adit,0,1,3,
looklema,,adit,0,1,3,
looklema,,ill,0,1,3,
looklema,alla,el,0,1,3,
looma,alt,abl,1,0,3,
looma,alt,in,0,0,3,
looma,kaasas,ad,0,1,3,
looma,külge,in,0,0,3,
looma,lukku,ad,2,0,3,
looma,peale,abl,0,1,3,
looma,peale,ad,0,0,3,
looma,peale,el,0,1,3,
looma,sisse,abl,0,0,3,
looma,sisse,el,0,0,3,
looma,vastu,el,0,2,3,
looma,välja,adit,1,0,3,
looma,üle,el,0,0,3,
looma,üles,all,0,2,3,
looma,üles,in,0,0,3,
loopima,alla,el,0,1,3,
loopima,mööda,el,0,0,3,
loopima,puruks,all,0,1,3,
lootma,lahti,ad,0,0,3,
lootma,tagasi,in,0,0,3,
lootma,valmis,ad,0,0,3,
lootma,valmis,in,0,0,3,
lootma,ära,all,1,0,3,
lopendama,,in,1,0,3,
loputama,,abl,0,0,3,
loputama,,adit,1,0,3,
lorutama,,in,0,2,3,
lossima,,in,0,1,3,
losutama,,ad,0,2,3,
lubama,alla,ad,0,0,3,
lubama,ilma,ad,2,0,3,
lubama,ilma,el,0,0,3,
lubama,peale,all,0,1,3,
lubama,sisse,ad,1,0,3,
lubama,tagasi,ad,0,0,3,
lubama,ära,ad,1,0,3,
lugema,edasi,ad,1,0,3,
lugema,üle,abl,0,0,3,
luhtama,,abl,0,0,3,
luhtuma,,adit,0,0,3,
luiskama,kokku,el,0,0,3,
luituma,,el,0,1,3,
lukustuma,,adit,0,2,3,
lukustuma,,el,0,1,3,
lunastama,välja,abl,0,1,3,
lunastama,välja,ad,0,0,3,
lunima,,all,1,0,3,
luristama,,abl,0,0,3,
lutsima,,ad,0,0,3,
luuletama,,ill,1,1,3,
luuletama,kokku,all,1,0,3,
luurama,ringi,ad,0,0,3,
läbima,ringi,el,1,0,3,
läbima,üle,ad,0,1,3,
lähenema,kokku,all,0,0,3,
lähenema,läbi,all,0,1,3,
lähtuma,ära,ad,0,0,3,
lähtuma,ära,el,0,0,3,
läigatama,,adit,3,0,3,
läikima,,abl,0,0,3,
läkitama,tagasi,ad,0,0,3,
länuma,,ad,1,0,3,
lärmama,,all,2,1,3,
lärtsatama,,adit,2,0,3,
lääpama,,ad,0,0,3,
lõbustama,,adit,0,0,3,
lõdvendama,,in,0,2,3,
lõdvenema,,in,0,0,3,
lõdvestama,,el,1,0,3,
lõhestama,,adit,0,1,3,
lõhestuma,,in,0,0,3,
lõhkama,lähedal,ad,0,1,3,
lõhkema,,all,1,0,3,
lõhkema,vastu,in,0,2,3,
lõhnama,järele,in,0,1,3,
lõhnastama,,ad,1,0,3,
lõikama,"alt, ära",ad,1,0,3,
lõikama,lahti,abl,0,0,3,
lõikama,läbi,adit,1,0,3,
lõikama,mööda,el,1,0,3,
lõikama,pealt,ad,0,0,3,
lõikama,"pealt, ära",ad,0,0,3,
lõikama,puruks,ad,0,0,3,
lõikama,tagasi,ad,1,0,3,
lõikama,ära,adit,2,0,3,
lõikama,ümber,in,0,0,3,
lõikuma,välja,el,0,0,3,
lõimuma,,ad,0,0,3,
lõkendama,,ad,0,0,3,
lõkendama,,in,1,0,3,
lõkerdama,,ad,0,1,3,
lõpetama,alla,in,0,0,3,
lõpetama,lahti,ad,0,1,3,
lõpetama,läbi,ad,0,0,3,
lõpetama,tagasi,ad,0,0,3,
lõpetama,vastu,ad,0,0,3,
lõpetama,välja,in,0,0,3,
lõpetama,ära,abl,0,0,3,
lõpma,välja,ad,0,0,3,
lõpma,ära,all,0,1,3,
lõpma,ära,el,0,0,3,
lõppema,alles,in,0,0,3,
lõppema,otsa,abl,0,0,3,
lõppema,otsa,all,0,0,3,
lõppema,välja,ad,0,0,3,
lõõtsuma,,abl,0,0,3,
lõõtsuma,,adit,2,0,3,
lõõtsuma,,all,0,0,3,
lõõtsutama,,el,0,0,3,
lömastuma,,ad,0,1,3,
löntsima,,ad,0,0,3,
lörtsima,ära,in,1,0,3,
lööbima,,all,0,0,3,
lööma,alla,adit,1,1,3,
lööma,ette,abl,0,1,3,
lööma,kokku,abl,0,0,3,
lööma,kokku,adit,0,0,3,
lööma,laiali,el,1,0,3,
lööma,lukku,ad,1,0,3,
lööma,lulli,ad,0,0,3,
lööma,peale,abl,0,0,3,
lööma,peale,el,0,2,3,
lööma,peale,in,0,0,3,
lööma,püsti,adit,1,0,3,
lööma,püsti,in,0,0,3,
lööma,sekka,ad,0,0,3,
lööma,valla,ad,0,0,3,
lööma,välja,adit,3,1,3,
lööma,välja,ill,0,0,3,
lööma,ära,abl,0,0,3,
lühenema,,adit,0,0,3,
lühenema,,ill,0,1,3,
lükkama,eemale,ad,0,0,3,
lükkama,eemale,in,0,0,3,
lükkama,kinni,in,0,1,3,
lükkama,kokku,adit,0,2,3,
lükkama,lahti,abl,1,1,3,
lükkama,lahti,all,1,0,3,
lükkama,laiali,in,0,1,3,
lükkama,läbi,el,0,1,3,
lükkama,maha,all,0,0,3,
lükkama,tagant,in,0,0,3,
lükkama,takka,all,0,1,3,
lükkama,vastu,ad,0,0,3,
lükkama,välja,in,0,0,3,
lükkama,ära,ad,1,0,3,
lükkima,,adit,0,0,3,
lükkima,,el,0,0,3,
lülitama,,abl,0,0,3,
lülitama,lahti,el,0,1,3,
lülitama,ümber,el,0,0,3,
lülituma,sisse,el,0,0,3,
lülituma,välja,adit,0,0,3,
lüpsma,välja,abl,1,0,3,
maalima,tagasi,all,0,0,3,
maanduma,otsa,all,1,0,3,
madalduma,,all,2,0,3,
magama,koos,ad,0,0,3,
magama,maha,abl,1,0,3,
magama,ära,ad,1,0,3,
mahitama,,all,0,0,3,
mahtuma,juurde,ill,0,0,3,
mahtuma,kokku,ad,0,0,3,
mahtuma,mööda,in,0,1,3,
mahtuma,vahele,el,0,0,3,
maigutama,,el,1,0,3,
mainima,ära,ad,0,0,3,
maitsestama,,all,0,0,3,
majandama,,adit,1,2,3,
majandama,ära,in,0,0,3,
maksma,edasi,ad,0,0,3,
maksma,"ette, ära",el,1,0,3,
maksma,kokku,abl,0,0,3,
maksma,"kokku, välja",all,2,0,3,
maksma,läbi,ad,0,0,3,
maksma,peale,abl,1,0,3,
maksma,pealt,all,1,1,3,
maksma,sisse,ad,0,0,3,
maksma,sisse,all,0,0,3,
maksma,"tagasi, kokku",ad,0,0,3,
maksma,välja,abl,0,1,3,
maksma,"välja, kokku",in,0,0,3,
maksma,ära,adit,0,0,3,
maksma,üle,in,0,0,3,
maksma,ümber,in,0,1,3,
maksustama,,abl,2,0,3,
maksustama,,adit,0,0,3,
manama,ette,in,0,1,3,
manama,välja,el,0,0,3,
manduma,,el,0,1,3,
manustama,,adit,2,0,3,
manööverdama,,adit,0,1,3,
markeerima,,abl,0,0,3,
markeerima,,all,1,0,3,
marssima,alla,el,0,1,3,
marssima,alla,in,1,0,3,
marssima,tagasi,adit,0,3,3,
marssima,vastu,all,1,0,3,
marssima,ära,ad,0,0,3,
marssima,üle,ad,0,0,3,
materialiseeruma,,el,0,0,3,
matkama,läbi,ad,0,0,3,
matkama,ringi,in,1,1,3,
matma,maha,abl,1,1,3,
matsuma,,ad,0,1,3,
meedima,,all,2,0,3,
meedlima,,ad,1,0,3,
meeldima,kinni,all,2,0,3,
meeldima,valmis,all,1,0,3,
meeldima,vast,all,1,0,3,
meeldima,vastu,all,1,0,3,
meeldima,ära,all,3,0,3,
meeldima,üle,in,0,0,3,
meelduma,,all,2,0,3,
meelestuma,,all,0,0,3,
meelisklema,,ad,0,1,3,
meelitama,eemale,ad,0,0,3,
meelitama,ette,ad,0,0,3,
meelitama,kohale,abl,0,0,3,
meelitama,kokku,all,0,0,3,
meelitama,kõrvale,abl,0,2,3,
meelitama,täis,ad,0,0,3,
meelitama,välja,adit,0,1,3,
meelitama,välja,ill,0,1,3,
meenutama,kokku,in,0,1,3,
mehitama,,ad,0,0,3,
mehitama,,in,0,0,3,
