Collection,Experiment,Model,Source,Split,LAS
edt,am_experiment_2,udpipe,train,2,90.66%
edt,am_experiment_2,udpipe,test,2,83.21%
edt,am_experiment_2,udpipe,train,3,90.20%
edt,am_experiment_2,udpipe,test,3,84.14%
edt,am_experiment_2,udpipe,train,4,89.83%
edt,am_experiment_2,udpipe,test,4,83.19%
edt,am_experiment_2,udpipe,train,5,90.73%
edt,am_experiment_2,udpipe,test,5,84.06%
edt,am_experiment_2,udpipe,train,6,90.31%
edt,am_experiment_2,udpipe,test,6,83.53%
edt,am_experiment_2,udpipe,train,7,90.41%
edt,am_experiment_2,udpipe,test,7,85.10%
edt,am_experiment_2,udpipe,train,8,90.22%
edt,am_experiment_2,udpipe,test,8,85.07%
edt,am_experiment_2,udpipe,train,9,90.06%
edt,am_experiment_2,udpipe,test,9,84.49%
est_ud,am_experiment_2,udpipe,train,0,88.06%
est_ud,am_experiment_2,udpipe,test,0,88.01%
est_ud,am_experiment_2,udpipe,train,1,88.19%
est_ud,am_experiment_2,udpipe,test,1,88.30%
est_ud,am_experiment_2,udpipe,train,2,87.26%
est_ud,am_experiment_2,udpipe,test,2,87.26%
est_ud,am_experiment_2,udpipe,train,3,88.12%
est_ud,am_experiment_2,udpipe,test,3,88.03%
est_ud,am_experiment_2,udpipe,train,4,88.07%
est_ud,am_experiment_2,udpipe,test,4,88.15%
est_ud,am_experiment_2,udpipe,train,5,87.61%
est_ud,am_experiment_2,udpipe,test,5,87.67%
est_ud,am_experiment_2,udpipe,train,6,87.67%
est_ud,am_experiment_2,udpipe,test,6,87.77%
est_ud,am_experiment_2,udpipe,train,7,88.02%
est_ud,am_experiment_2,udpipe,test,7,87.76%
est_ud,am_experiment_2,udpipe,train,8,87.93%
est_ud,am_experiment_2,udpipe,test,8,88.03%
est_ud,am_experiment_2,udpipe,train,9,87.72%
est_ud,am_experiment_2,udpipe,test,9,87.67%
edt,am_experiment_2,malt,train,0,93.20%
edt,am_experiment_2,malt,test,0,83.30%
edt,am_experiment_2,malt,train,1,93.20%
edt,am_experiment_2,malt,test,1,83.80%
edt,am_experiment_2,malt,train,2,93.30%
edt,am_experiment_2,malt,test,2,83.10%
edt,am_experiment_2,malt,train,3,93.20%
edt,am_experiment_2,malt,test,3,83.70%
edt,am_experiment_2,malt,train,4,93.10%
