Collection,Experiment,Model,Source,Split,LA,UAS,LAS
est_ud,gm_experiment_4_2,udpipe,train,2,-,"91.99%,",90.59%
est_ud,gm_experiment_4_2,udpipe,test,2,-,"86.33%,",84.04%
est_ud,gm_experiment_4_2,udpipe,train,3,-,"91.50%,",90.09%
est_ud,gm_experiment_4_2,udpipe,test,3,-,"86.13%,",83.81%
est_ud,gm_experiment_4_2,udpipe,train,4,-,"91.87%,",90.49%
est_ud,gm_experiment_4_2,udpipe,test,4,-,"86.19%,",83.91%
est_ud,gm_experiment_4_2,udpipe,train,5,-,"91.90%,",90.52%
est_ud,gm_experiment_4_2,udpipe,test,5,-,"86.32%,",84.18%
est_ud,gm_experiment_4_2,udpipe,train,6,-,"92.17%,",90.78%
est_ud,gm_experiment_4_2,udpipe,test,6,-,"86.52%,",84.23%
est_ud,gm_experiment_4_2,udpipe,train,7,-,"92.02%,",90.60%
est_ud,gm_experiment_4_2,udpipe,test,7,-,"86.61%,",84.42%
est_ud,gm_experiment_4_2,udpipe,train,8,-,"92.07%,",90.69%
est_ud,gm_experiment_4_2,udpipe,test,8,-,"86.41%,",84.21%
est_ud,gm_experiment_4_2,udpipe,train,9,-,"92.21%,",90.77%
est_ud,gm_experiment_4_2,udpipe,test,9,-,"86.49%,",84.26%
est_ud,am_experiment_4_2,udpipe,train,0,-,"90.64%,",88.41%
est_ud,am_experiment_4_2,udpipe,test,0,-,"84.76%,",81.50%
est_ud,am_experiment_4_2,udpipe,train,1,-,"90.37%,",88.15%
est_ud,am_experiment_4_2,udpipe,test,1,-,"84.30%,",80.90%
est_ud,am_experiment_4_2,udpipe,train,2,-,"91.03%,",88.87%
est_ud,am_experiment_4_2,udpipe,test,2,-,"85.71%,",82.51%
est_ud,am_experiment_4_2,udpipe,train,3,-,"90.46%,",88.28%
est_ud,am_experiment_4_2,udpipe,test,3,-,"84.45%,",81.01%
est_ud,am_experiment_4_2,udpipe,train,4,-,"90.33%,",88.14%
est_ud,am_experiment_4_2,udpipe,test,4,-,"85.03%,",81.62%
est_ud,am_experiment_4_2,udpipe,train,5,-,"90.85%,",88.66%
est_ud,am_experiment_4_2,udpipe,test,5,-,"85.07%,",81.54%
est_ud,am_experiment_4_2,udpipe,train,6,-,"90.54%,",88.40%
est_ud,am_experiment_4_2,udpipe,test,6,-,"84.48%,",81.15%
est_ud,am_experiment_4_2,udpipe,train,7,-,"90.85%,",88.61%
est_ud,am_experiment_4_2,udpipe,test,7,-,"85.20%,",81.91%
est_ud,am_experiment_4_2,udpipe,train,8,-,"91.03%,",88.89%
est_ud,am_experiment_4_2,udpipe,test,8,-,"85.51%,",82.33%
est_ud,am_experiment_4_2,udpipe,train,9,-,"90.62%,",88.44%
est_ud,am_experiment_4_2,udpipe,test,9,-,"84.90%,",81.48%
est_ud,gm_experiment_5,udpipe,train,0,-,"92.00%,",90.59%
est_ud,gm_experiment_5,udpipe,test,0,-,"86.48%,",84.32%
est_ud,gm_experiment_5,udpipe,train,1,-,"91.64%,",90.26%
est_ud,gm_experiment_5,udpipe,test,1,-,"86.21%,",83.93%
est_ud,gm_experiment_5,udpipe,train,2,-,"92.00%,",90.59%
est_ud,gm_experiment_5,udpipe,test,2,-,"86.57%,",84.30%
est_ud,gm_experiment_5,udpipe,train,3,-,"91.61%,",90.23%
est_ud,gm_experiment_5,udpipe,test,3,-,"86.19%,",83.92%
est_ud,gm_experiment_5,udpipe,train,4,-,"91.40%,",89.98%
est_ud,gm_experiment_5,udpipe,test,4,-,"85.43%,",83.24%
est_ud,gm_experiment_5,udpipe,train,5,-,"91.94%,",90.55%
est_ud,gm_experiment_5,udpipe,test,5,-,"86.33%,",84.05%
est_ud,gm_experiment_5,udpipe,train,6,-,"92.15%,",90.71%
est_ud,gm_experiment_5,udpipe,test,6,-,"86.29%,",84.10%
est_ud,gm_experiment_5,udpipe,train,7,-,"91.46%,",90.05%
est_ud,gm_experiment_5,udpipe,test,7,-,"86.19%,",83.95%
est_ud,gm_experiment_5,udpipe,train,8,-,"91.90%,",90.49%
est_ud,gm_experiment_5,udpipe,test,8,-,"86.39%,",84.07%
est_ud,gm_experiment_5,udpipe,train,9,-,"91.72%,",90.31%
est_ud,gm_experiment_5,udpipe,test,9,-,"86.48%,",84.26%
est_ud,am_experiment_5,udpipe,train,0,-,"90.84%,",88.67%
est_ud,am_experiment_5,udpipe,test,0,-,"85.44%,",82.14%
est_ud,am_experiment_5,udpipe,train,1,-,"90.59%,",88.39%
est_ud,am_experiment_5,udpipe,test,1,-,"85.47%,",82.08%
est_ud,am_experiment_5,udpipe,train,2,-,"90.40%,",88.24%
est_ud,am_experiment_5,udpipe,test,2,-,"84.81%,",81.47%
est_ud,am_experiment_5,udpipe,train,3,-,"90.96%,",88.75%
est_ud,am_experiment_5,udpipe,test,3,-,"85.56%,",82.19%
est_ud,am_experiment_5,udpipe,train,4,-,"91.14%,",88.97%
est_ud,am_experiment_5,udpipe,test,4,-,"85.06%,",81.81%
est_ud,am_experiment_5,udpipe,train,5,-,"90.99%,",88.86%
est_ud,am_experiment_5,udpipe,test,5,-,"85.37%,",82.06%
est_ud,am_experiment_5,udpipe,train,6,-,"90.62%,",88.42%
est_ud,am_experiment_5,udpipe,test,6,-,"84.67%,",81.21%
est_ud,am_experiment_5,udpipe,train,7,-,"90.98%,",88.76%
est_ud,am_experiment_5,udpipe,test,7,-,"85.37%,",82.15%
est_ud,am_experiment_5,udpipe,train,8,-,"90.72%,",88.57%
est_ud,am_experiment_5,udpipe,test,8,-,"84.55%,",81.22%
est_ud,am_experiment_5,udpipe,train,9,-,"91.00%,",88.83%
est_ud,am_experiment_5,udpipe,test,9,-,"85.02%,",81.82%
est_ud,gm_experiment_6,udpipe,train,0,-,"88.98%,",86.00%
est_ud,gm_experiment_6,udpipe,test,0,-,"83.15%,",78.49%
est_ud,gm_experiment_6,udpipe,train,1,-,"89.05%,",86.03%
est_ud,gm_experiment_6,udpipe,test,1,-,"83.35%,",78.70%
est_ud,gm_experiment_6,udpipe,train,2,-,"89.20%,",86.26%
est_ud,gm_experiment_6,udpipe,test,2,-,"83.05%,",78.54%
est_ud,gm_experiment_6,udpipe,train,3,-,"89.08%,",86.01%
est_ud,gm_experiment_6,udpipe,test,3,-,"82.69%,",77.87%
est_ud,gm_experiment_6,udpipe,train,4,-,"89.52%,",86.55%
est_ud,gm_experiment_6,udpipe,test,4,-,"82.88%,",78.49%
est_ud,gm_experiment_6,udpipe,train,5,-,"89.11%,",86.09%
est_ud,gm_experiment_6,udpipe,test,5,-,"83.34%,",78.61%
