verbobl;verb;case;isikumäärus;aja-kohamäärus;muu;deprel
alustama - abl (kellelt/millelt);alustama;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
sõitma - abl (kellelt/millelt);sõitma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
algama - abl (kellelt/millelt);algama;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
vaatama - abl (kellelt/millelt);vaatama;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
eeldama - abl (kellelt/millelt);eeldama;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
andma - abl (kellelt/millelt);andma;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
koguma - abl (kellelt/millelt);koguma;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
langema - abl (kellelt/millelt);langema;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
puuduma - abl (kellelt/millelt);puuduma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
lugema - abl (kellelt/millelt);lugema;abl (kellelt/millelt);mitte kunagi;vahel;muu;obl
laenama - abl (kellelt/millelt);laenama;abl (kellelt/millelt);vahel;vahel;vaieldav märgendus;obl
pääsema - abl (kellelt/millelt);pääsema;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
mõistma välja - abl (kellelt/millelt);mõistma välja;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
õppima - abl (kellelt/millelt);õppima;abl (kellelt/millelt);alati;mitte kunagi;muu;obl
ilmuma - abl (kellelt/millelt);ilmuma;abl (kellelt/millelt);alati;mitte kunagi;muu;obl
maksma - abl (kellelt/millelt);maksma;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
liikuma - abl (kellelt/millelt);liikuma;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
avastama - abl (kellelt/millelt);avastama;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
varastama - abl (kellelt/millelt);varastama;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
jääma alla - abl (kellelt/millelt);jääma alla;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
kuuluma - abl (kellelt/millelt);kuuluma;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
teadma - abl (kellelt/millelt);teadma;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
kukkuma - abl (kellelt/millelt);kukkuma;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
saatma - abl (kellelt/millelt);saatma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
tõstma - abl (kellelt/millelt);tõstma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
tabama - abl (kellelt/millelt);tabama;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
kasvama - abl (kellelt/millelt);kasvama;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
meenutama - abl (kellelt/millelt);meenutama;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
võtma üle - abl (kellelt/millelt);võtma üle;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
ütlema - abl (kellelt/millelt);ütlema;abl (kellelt/millelt);mitte kunagi;vahel;muu;obl
võitma - abl (kellelt/millelt);võitma;abl (kellelt/millelt);vahel;vahel;muu;obl
pidama - abl (kellelt/millelt);pidama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
eemaldama - abl (kellelt/millelt);eemaldama;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
võtma vastu - abl (kellelt/millelt);võtma vastu;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
ületama - abl (kellelt/millelt);ületama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
asuma - abl (kellelt/millelt);asuma;abl (kellelt/millelt);mitte kunagi;mitte kunagi;pole kindel;obl
pälvima - abl (kellelt/millelt);pälvima;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
õnnestuma - abl (kellelt/millelt);õnnestuma;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
toimuma - abl (kellelt/millelt);toimuma;abl (kellelt/millelt);mitte kunagi;vahel;muu;obl
vajama - abl (kellelt/millelt);vajama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
paistma - abl (kellelt/millelt);paistma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
kõlama - abl (kellelt/millelt);kõlama;abl (kellelt/millelt);vahel;vahel;pole kindel;obl
tulema tagasi - abl (kellelt/millelt);tulema tagasi;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
panema - abl (kellelt/millelt);panema;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
kostma - abl (kellelt/millelt);kostma;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
võtma maha - abl (kellelt/millelt);võtma maha;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
lendama - abl (kellelt/millelt);lendama;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
tõmbama - abl (kellelt/millelt);tõmbama;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
korjama - abl (kellelt/millelt);korjama;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
olema vaja - abl (kellelt/millelt);olema vaja;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
rentima - abl (kellelt/millelt);rentima;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
erinema - abl (kellelt/millelt);erinema;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
vähenema - abl (kellelt/millelt);vähenema;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
järgnema - abl (kellelt/millelt);järgnema;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
vaatama vastu - abl (kellelt/millelt);vaatama vastu;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
vastama - abl (kellelt/millelt);vastama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
tähendama - abl (kellelt/millelt);tähendama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
haarama - abl (kellelt/millelt);haarama;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
muutuma - abl (kellelt/millelt);muutuma;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
pressima välja - abl (kellelt/millelt);pressima välja;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
hüppama - abl (kellelt/millelt);hüppama;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
sobima - abl (kellelt/millelt);sobima;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
jõudma tagasi - abl (kellelt/millelt);jõudma tagasi;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
püüdma - abl (kellelt/millelt);püüdma;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
rääkima - abl (kellelt/millelt);rääkima;abl (kellelt/millelt);mitte kunagi;vahel;muu;obl
saama tagasi - abl (kellelt/millelt);saama tagasi;abl (kellelt/millelt);vahel;vahel;pole kindel;obl
tasuma - abl (kellelt/millelt);tasuma;abl (kellelt/millelt);vahel;vahel;pole kindel;obl
lubama - abl (kellelt/millelt);lubama;abl (kellelt/millelt);vahel;vahel;pole kindel;obl
jätma - abl (kellelt/millelt);jätma;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
näitama - abl (kellelt/millelt);näitama;abl (kellelt/millelt);vahel;vahel;pole kindel;obl
omandama - abl (kellelt/millelt);omandama;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
pühkima - abl (kellelt/millelt);pühkima;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
suutma - abl (kellelt/millelt);suutma;abl (kellelt/millelt);mitte kunagi;vahel;muu;obl
startima - abl (kellelt/millelt);startima;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
suurenema - abl (kellelt/millelt);suurenema;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
rebima - abl (kellelt/millelt);rebima;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
petma välja - abl (kellelt/millelt);petma välja;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
kaotama - abl (kellelt/millelt);kaotama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
sarnanema - abl (kellelt/millelt);sarnanema;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
tekkima - abl (kellelt/millelt);tekkima;abl (kellelt/millelt);vahel;vahel;muu;obl
jälgima - abl (kellelt/millelt);jälgima;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
kolima - abl (kellelt/millelt);kolima;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
mõistma - abl (kellelt/millelt);mõistma;abl (kellelt/millelt);alati;mitte kunagi;muu;obl
pakkuma - abl (kellelt/millelt);pakkuma;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
tundma - abl (kellelt/millelt);tundma;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
jooksma - abl (kellelt/millelt);jooksma;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
ostma ära - abl (kellelt/millelt);ostma ära;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
lööma - abl (kellelt/millelt);lööma;abl (kellelt/millelt);vahel;vahel;muu;obl
laskma - abl (kellelt/millelt);laskma;abl (kellelt/millelt);vahel;vahel;muu;obl
esitama - abl (kellelt/millelt);esitama;abl (kellelt/millelt);mitte kunagi;vahel;muu;obl
avanema - abl (kellelt/millelt);avanema;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
põgenema - abl (kellelt/millelt);põgenema;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
sattuma - abl (kellelt/millelt);sattuma;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
väljuma - abl (kellelt/millelt);väljuma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
astuma - abl (kellelt/millelt);astuma;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
nõudma tagasi - abl (kellelt/millelt);nõudma tagasi;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
tooma kaasa - abl (kellelt/millelt);tooma kaasa;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
kasutama - abl (kellelt/millelt);kasutama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
käima läbi - abl (kellelt/millelt);käima läbi;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
lähtuma - abl (kellelt/millelt);lähtuma;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
üritama - abl (kellelt/millelt);üritama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
kulgema - abl (kellelt/millelt);kulgema;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
lisanduma - abl (kellelt/millelt);lisanduma;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
hankima - abl (kellelt/millelt);hankima;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
kerkima - abl (kellelt/millelt);kerkima;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
kuulduma - abl (kellelt/millelt);kuulduma;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
lõpetama - abl (kellelt/millelt);lõpetama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
noppima - abl (kellelt/millelt);noppima;abl (kellelt/millelt);vahel;vahel;muu;obl
oskama - abl (kellelt/millelt);oskama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
jätkama - abl (kellelt/millelt);jätkama;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
jääma maha - abl (kellelt/millelt);jääma maha;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
kirjutama - abl (kellelt/millelt);kirjutama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
mängima - abl (kellelt/millelt);mängima;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
mäletama - abl (kellelt/millelt);mäletama;abl (kellelt/millelt);mitte kunagi;alati;pole kindel;obl
kasseerima - abl (kellelt/millelt);kasseerima;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
nõudma välja - abl (kellelt/millelt);nõudma välja;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
usaldama - abl (kellelt/millelt);usaldama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
sirguma - abl (kellelt/millelt);sirguma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
kärpima - abl (kellelt/millelt);kärpima;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
tungima - abl (kellelt/millelt);tungima;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
puutuma - abl (kellelt/millelt);puutuma;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
tundma ära - abl (kellelt/millelt);tundma ära;abl (kellelt/millelt);mitte kunagi;alati;pole kindel;obl
muutma - abl (kellelt/millelt);muutma;abl (kellelt/millelt);mitte kunagi;alati;pole kindel;obl
puudutama - abl (kellelt/millelt);puudutama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
tunduma - abl (kellelt/millelt);tunduma;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
siirduma - abl (kellelt/millelt);siirduma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
käsitlema - abl (kellelt/millelt);käsitlema;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
kõndima - abl (kellelt/millelt);kõndima;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
külastama - abl (kellelt/millelt);külastama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
tulema sisse - abl (kellelt/millelt);tulema sisse;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
murdma - abl (kellelt/millelt);murdma;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
muigama - abl (kellelt/millelt);muigama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
tarnima - abl (kellelt/millelt);tarnima;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
tulema maha - abl (kellelt/millelt);tulema maha;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
tulema peale - abl (kellelt/millelt);tulema peale;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
kõnelema - abl (kellelt/millelt);kõnelema;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
tulema üle - abl (kellelt/millelt);tulema üle;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
tuletama - abl (kellelt/millelt);tuletama;abl (kellelt/millelt);mitte kunagi;vahel;muu;obl
tulenema - abl (kellelt/millelt);tulenema;abl (kellelt/millelt);vahel;vahel;muu;obl
murduma - abl (kellelt/millelt);murduma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
tulema vastu - abl (kellelt/millelt);tulema vastu;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
kõrvaldama - abl (kellelt/millelt);kõrvaldama;abl (kellelt/millelt);vahel;vahel;muu;obl
muretsema - abl (kellelt/millelt);muretsema;abl (kellelt/millelt);vahel;vahel;muu;obl
kõlbama - abl (kellelt/millelt);kõlbama;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
laiendama - abl (kellelt/millelt);laiendama;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
langema alla - abl (kellelt/millelt);langema alla;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
tuginema - abl (kellelt/millelt);tuginema;abl (kellelt/millelt);alati;mitte kunagi;pole kindel;obl
tugevnema - abl (kellelt/millelt);tugevnema;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
soovitama - abl (kellelt/millelt);soovitama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
langema kokku - abl (kellelt/millelt);langema kokku;abl (kellelt/millelt);mitte kunagi;mitte kunagi;vaieldav märgendus;obl
langetama - abl (kellelt/millelt);langetama;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
langema ära - abl (kellelt/millelt);langema ära;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
minema ära - abl (kellelt/millelt);minema ära;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
tsiteerima - abl (kellelt/millelt);tsiteerima;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
minema üle - abl (kellelt/millelt);minema üle;abl (kellelt/millelt);vahel;vahel;muu;obl
langema välja - abl (kellelt/millelt);langema välja;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
pumpama välja - abl (kellelt/millelt);pumpama välja;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
tuiskama - abl (kellelt/millelt);tuiskama;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
kõmmutama - abl (kellelt/millelt);kõmmutama;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
moodustama - abl (kellelt/millelt);moodustama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
lajatama - abl (kellelt/millelt);lajatama;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
pinnima välja - abl (kellelt/millelt);pinnima välja;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
pumpama - abl (kellelt/millelt);pumpama;abl (kellelt/millelt);vahel;vahel;muu;obl
laienema - abl (kellelt/millelt);laienema;abl (kellelt/millelt);vahel;vahel;muu;obl
kõikuma - abl (kellelt/millelt);kõikuma;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
tulistama - abl (kellelt/millelt);tulistama;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
purunema - abl (kellelt/millelt);purunema;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
tarbima - abl (kellelt/millelt);tarbima;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
tulema ära - abl (kellelt/millelt);tulema ära;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
paiskuma - abl (kellelt/millelt);paiskuma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
hääletama - abl (kellelt/millelt);hääletama;abl (kellelt/millelt);mitte kunagi;vahel;muu;obl
suunama - abl (kellelt/millelt);suunama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
andma välja - abl (kellelt/millelt);andma välja;abl (kellelt/millelt);alati;mitte kunagi;muu;obl
sadama - abl (kellelt/millelt);sadama;abl (kellelt/millelt);vahel;vahel;muu;obl
välistama - abl (kellelt/millelt);välistama;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
saama ära - abl (kellelt/millelt);saama ära;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
võtma tagasi - abl (kellelt/millelt);võtma tagasi;abl (kellelt/millelt);vahel;vahel;mitte kunagi;obl
ostma kokku - abl (kellelt/millelt);ostma kokku;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
hüppama alla - abl (kellelt/millelt);hüppama alla;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
ostma juurde - abl (kellelt/millelt);ostma juurde;abl (kellelt/millelt);alati;mitte kunagi;muu;obl
sätestama - abl (kellelt/millelt);sätestama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
avama - abl (kellelt/millelt);avama;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
hakkama pihta - abl (kellelt/millelt);hakkama pihta;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
hajuma - abl (kellelt/millelt);hajuma;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
saama üle - abl (kellelt/millelt);saama üle;abl (kellelt/millelt);vahel;vahel;pole kindel;obl
hüppama maha - abl (kellelt/millelt);hüppama maha;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
väljendama - abl (kellelt/millelt);väljendama;abl (kellelt/millelt);mitte kunagi;vahel;pole kindel;obl
ühendama - abl (kellelt/millelt);ühendama;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
peatuma - abl (kellelt/millelt);peatuma;abl (kellelt/millelt);mitte kunagi;vahel;muu;obl
sõitma kohale - abl (kellelt/millelt);sõitma kohale;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
peetuma kinni - abl (kellelt/millelt);peetuma kinni;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
hävima - abl (kellelt/millelt);hävima;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
tulema välja - abl (kellelt/millelt);tulema välja;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
paiskuma välja - abl (kellelt/millelt);paiskuma välja;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
hõikama - abl (kellelt/millelt);hõikama;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
sõitma ette - abl (kellelt/millelt);sõitma ette;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
harjutama - abl (kellelt/millelt);harjutama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
harjuma - abl (kellelt/millelt);harjuma;abl (kellelt/millelt);mitte kunagi;vahel;muu;obl
andma edasi - abl (kellelt/millelt);andma edasi;abl (kellelt/millelt);alati;mitte kunagi;vaieldav märgendus;obl
õppima ära - abl (kellelt/millelt);õppima ära;abl (kellelt/millelt);alati;mitte kunagi;muu;obl
saama vastu - abl (kellelt/millelt);saama vastu;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
võõrandama - abl (kellelt/millelt);võõrandama;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
viskama mööda - abl (kellelt/millelt);viskama mööda;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
hõivama - abl (kellelt/millelt);hõivama;abl (kellelt/millelt);alati;mitte kunagi;muu;obl
vähendama - abl (kellelt/millelt);vähendama;abl (kellelt/millelt);mitte kunagi;alati;vaieldav märgendus;obl
viskama alla - abl (kellelt/millelt);viskama alla;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
viskama - abl (kellelt/millelt);viskama;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
andma ette - abl (kellelt/millelt);andma ette;abl (kellelt/millelt);mitte kunagi;vahel;vaieldav märgendus;obl
hävitama - abl (kellelt/millelt);hävitama;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
paistma välja - abl (kellelt/millelt);paistma välja;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
õpetama - abl (kellelt/millelt);õpetama;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
osalema - abl (kellelt/millelt);osalema;abl (kellelt/millelt);mitte kunagi;alati;muu;obl
tulema kohale - abl (kellelt/millelt);tulema kohale;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
saama maha - abl (kellelt/millelt);saama maha;abl (kellelt/millelt);mitte kunagi;alati;mitte kunagi;obl
tulema juurde - abl (kellelt/millelt);tulema juurde;abl (kellelt/millelt);alati;mitte kunagi;mitte kunagi;obl
tähistama - abl (kellelt/millelt);tähistama;abl (kellelt/millelt);mitte kunagi;mitte kunagi;muu;obl
kurtma - abl (kellelt/millelt);kurtma;abl (kellelt/millelt);mitte kunagi;vahel;muu;obl
