verb,verb_compound,advmod_count,verb_count,relative_diff,absolute_diff
ajama,närvi,2,2,0,0
debattima,,2,2,0,0
luiskama,ette,1,1,0,0
soolama,üle,9,11,18.181818181818183,2
talitama,,1044,1337,21.914734480179508,293
käituma,,7905,11023,28.286310441803504,3118
käima,ümber,212,300,29.333333333333332,88
võtma,käsile,135,202,33.16831683168317,67
olema,jännis,2,3,33.33333333333333,1
valima,ümber,2,3,33.33333333333333,1
mõjuma,,29520,44632,33.85911453665532,15112
suhtuma,,9072,13881,34.64447806354009,4809
nohistama,,20,31,35.483870967741936,11
valmistuma,ette,97,152,36.18421052631579,55
sünkroniseeruma,,5,8,37.5,3
ristima,ümber,8,13,38.46153846153847,5
sarnastuma,,8,13,38.46153846153847,5
minema,järgi,14,23,39.130434782608695,9
korreleeruma,,126,209,39.71291866028708,83
elatuma,ära,6,10,40,4
helistama,üle,12,20,40,8
klobistama,,6,10,40,4
lippama,läbi,12,20,40,8
klappima,kokku,91,155,41.29032258064516,64
harjuma,ära,460,803,42.71481942714819,343
mõtlema,läbi,307,537,42.83054003724395,230
armuma,ära,48,84,42.857142857142854,36
saama,tuupi,8,14,42.857142857142854,6
pabistama,,469,824,43.082524271844655,355
saama,läbi,7492,13194,43.21661361224799,5702
väsitama,ära,129,229,43.66812227074236,100
hiilima,ära,18,32,43.75,14
hõõruma,sisse,18,32,43.75,14
peenutsema,,9,16,43.75,7
trehvama,kokku,18,32,43.75,14
jõudma,edasi,238,430,44.651162790697676,192
vaatama,alla,206,374,44.919786096256686,168
kohkuma,ära,45,82,45.1219512195122,37
lahmima,,136,248,45.16129032258064,112
rääkima,mööda,76,139,45.32374100719424,63
pookima,külge,14,26,46.15384615384615,12
vehklema,,209,389,46.27249357326478,180
kisklema,,46,86,46.51162790697674,40
lävima,,168,315,46.666666666666664,147
joppama,,63,119,47.05882352941176,56
tülitsema,,830,1572,47.20101781170484,742
kohanema,,1456,2758,47.20812182741117,1302
väänama,ära,20,38,47.368421052631575,18
kirjeldama,ära,11,21,47.61904761904761,10
lendama,mööda,114,219,47.94520547945205,105
haarduma,,26,50,48,24
mõtlema,järele,434,835,48.02395209580838,401
üllatuma,,1523,2936,48.1267029972752,1413
libisema,üle,46,89,48.31460674157304,43
närveerima,,186,361,48.476454293628805,175
tasustama,,22,43,48.837209302325576,21
trehvama,,860,1684,48.9311163895487,824
hakkama,pihta,928,1823,49.09489851892485,895
käsitsema,,32,63,49.2063492063492,31
kuluma,ära,1294,2555,49.354207436399214,1261
minema,alla,498,992,49.79838709677419,494
ajama,jalule,1,2,50,1
briifima,,6,12,50,6
hurmuma,,2,4,50,2
innustama,tagant,6,12,50,6
interakteeruma,,4,8,50,4
jääma,külge,273,546,50,273
jõllitama,otsa,16,32,50,16
kuhjama,üle,4,8,50,4
muganema,,6,12,50,6
määrima,sisse,12,24,50,12
nomineerima,,1,2,50,1
nämmutama,läbi,1,2,50,1
nõudlema,,13,26,50,13
ostma,üle,10,20,50,10
prahvama,,1,2,50,1
resoneerima,,15,30,50,15
sarnlema,,2,4,50,2
distantseeruma,,150,302,50.331125827814574,152
pingutama,üle,376,760,50.526315789473685,384
hüppama,läbi,82,166,50.602409638554214,84
pakkuma,üle,218,442,50.678733031674206,224
ajama,läbi,179,365,50.95890410958904,186
saama,pihta,946,1939,51.21196493037649,993
saama,lahti,1710,3507,51.24037639007699,1797
kohtama,,3883,7974,51.30423877602207,4091
käima,vastu,73,150,51.33333333333333,77
ütlema,ära,2384,4906,51.406441092539744,2522
haakuma,,965,1986,51.40986908358509,1021
leiduma,,10059,20796,51.630121177149455,10737
pidama,vastu,3747,7757,51.69524300631687,4010
suhtlema,,3453,7151,51.713047126276045,3698
hindama,üle,182,377,51.724137931034484,195
lööma,läbi,960,1990,51.75879396984925,1030
lõhnama,,765,1589,51.85651353052234,824
otsima,edasi,49,102,51.9607843137255,53
sobitama,kokku,46,96,52.083333333333336,50
reageerima,,9492,19815,52.096896290688875,10323
puutuma,kokku,2398,5008,52.116613418530356,2610
vedama,välja,485,1016,52.26377952755905,531
hakkama,peale,749,1570,52.29299363057325,821
taipama,,2401,5053,52.48367306550564,2652
sümpatiseerima,,258,544,52.57352941176471,286
saama,villand,164,346,52.601156069364166,182
kõndima,mööda,116,245,52.6530612244898,129
hoiatama,ette,158,334,52.69461077844312,176
kõlbama,,9021,19137,52.86094999216178,10116
haukuma,,654,1388,52.88184438040345,734
kiinduma,,178,378,52.910052910052904,200
isutama,,16,34,52.94117647058824,18
elama,ära,1016,2164,53.04990757855823,1148
olema,üle,220,469,53.09168443496801,249
jõudma,välja,2396,5124,53.23965651834504,2728
saama,ligi,193,414,53.3816425120773,221
astuma,läbi,696,1496,53.475935828877006,800
imponeerima,,250,538,53.53159851301115,288
leierdama,,13,28,53.57142857142857,15
tegutsema,vastu,13,28,53.57142857142857,15
saama,kõrini,50,108,53.70370370370371,58
diskuteerima,,96,208,53.84615384615385,112
jalutama,läbi,108,234,53.84615384615385,126
jääma,jänni,18,39,53.84615384615385,21
vaatama,mööda,150,325,53.84615384615385,175
vahtima,otsa,57,124,54.03225806451613,67
kandma,sisse,17,37,54.054054054054056,20
klatšima,,17,37,54.054054054054056,20
minema,kokku,1013,2211,54.183627317955676,1198
liikuma,,12480,27308,54.29910648894097,14828
vaatama,otsa,1035,2266,54.32480141218006,1231
juurdlema,,320,704,54.54545454545454,384
orienteeruma,,331,731,54.719562243502054,400
minema,üle,3813,8430,54.768683274021356,4617
süvenema,,1473,3266,54.89895897121861,1793
piirama,,3778,8387,54.954095624180276,4609
koitma,,213,473,54.96828752642706,260
harmoniseeruma,,9,20,55.00000000000001,11
vahtima,järele,9,20,55.00000000000001,11
sõnelema,,26,58,55.172413793103445,32
erinema,,10094,22626,55.387607177583305,12532
jooksma,maha,408,915,55.40983606557377,507
tulema,välja,22148,49704,55.44020601963625,27556
arranžeerima,,12,27,55.55555555555556,15
autoriseerima,,4,9,55.55555555555556,5
viskama,ette,175,394,55.58375634517766,219
sobima,,76632,172684,55.62298765374904,96052
minema,alt,209,471,55.62632696390658,262
saama,kinni,159,359,55.71030640668524,200
süüvima,,138,312,55.769230769230774,174
mõjutama,,9941,22526,55.868773861315816,12585
vajuma,,5362,12166,55.92635212888377,6804
maitsma,,1098,2497,56.027232679215054,1399
teretama,,212,483,56.10766045548654,271
vihastama,välja,53,121,56.19834710743802,68
jääma,alla,3647,8352,56.3338122605364,4705
juhtuma,,51822,118766,56.36630011956284,66944
põgenema,ära,94,216,56.481481481481474,122
pääsema,ligi,438,1008,56.547619047619044,570
kanduma,üle,272,626,56.54952076677316,354
eksima,ära,448,1032,56.58914728682171,584
panema,vastu,165,381,56.69291338582677,216
kukkuma,sisse,121,280,56.785714285714285,159
higistama,,261,605,56.85950413223141,344
kohanduma,,150,348,56.896551724137936,198
treenima,,1785,4148,56.9672131147541,2363
saama,sisse,3312,7722,57.10955710955711,4410
arvutama,ümber,9,21,57.14285714285714,12
kõristama,,6,14,57.14285714285714,8
laulma,üles,3,7,57.14285714285714,4
magatama,,27,63,57.14285714285714,36
polemiseerima,,72,168,57.14285714285714,96
seisma,vastu,226,528,57.1969696969697,302
tikkuma,,470,1100,57.27272727272727,630
suhestuma,,70,164,57.3170731707317,94
minema,ära,2879,6755,57.37971872686899,3876
põikama,kõrvale,20,47,57.446808510638306,27
magama,,5208,12249,57.48224344844477,7041
jooksma,ringi,320,753,57.50332005312085,433
mõistma,,13304,31394,57.62247563228643,18090
saama,maha,513,1215,57.77777777777777,702
harjutama,,2706,6419,57.843900919146286,3713
resoneeruma,,8,19,57.89473684210527,11
tajuma,,1970,4685,57.950907150480255,2715
jõudma,valmis,150,357,57.98319327731093,207
tundma,,67386,160676,58.06094251786204,93290
näägutama,,26,62,58.06451612903226,36
pettuma,,1544,3692,58.179848320693395,2148
käima,,389316,932148,58.234529280758,542832
meelduma,,5,12,58.333333333333336,7
vedama,ringi,25,60,58.333333333333336,35
viima,üle,50,120,58.333333333333336,70
klappima,,1018,2449,58.43201306655777,1431
minema,mööda,1043,2511,58.46276383910792,1468
hakkama,vastu,654,1577,58.5288522511097,923
ajama,ligi,17,41,58.536585365853654,24
ajama,,12040,29067,58.578456669074896,17027
ühilduma,,113,273,58.60805860805861,160
väsitama,,396,957,58.620689655172406,561
käima,ringi,1100,2663,58.69320315433721,1563
mõtlema,,83664,202749,58.735184883772554,119085
seletuma,,59,143,58.74125874125874,84
vaatama,ringi,662,1607,58.80522713130056,945
tegema,maha,142,345,58.84057971014492,203
hüppama,üle,92,224,58.92857142857143,132
kandma,kaasas,238,580,58.9655172413793,342
tüdinema,,349,851,58.989424206815514,502
häirima,,4167,10172,59.03460479748329,6005
tegutsema,,11793,28790,59.037860368183395,16997
kehastuma,ümber,36,88,59.09090909090909,52
tõmbuma,kõrvale,47,115,59.130434782608695,68
olema,kinni,1074,2628,59.1324200913242,1554
käima,üle,526,1289,59.193173002327384,763
jagunema,,7194,17631,59.19686915092734,10437
ärritama,,827,2029,59.24100542138985,1202
andma,järele,731,1801,59.41143808995003,1070
minema,,755832,1863204,59.43374960551824,1107372
solgutama,,17,42,59.523809523809526,25
ehmatama,,979,2421,59.562164394878145,1442
torkama,,1846,4568,59.58844133099825,2722
ärkama,,2304,5708,59.63559915907498,3404
huvitama,,7490,18577,59.68132637131938,11087
tulema,järgi,35,87,59.77011494252874,52
panema,ära,810,2014,59.78152929493545,1204
hirmutama,ära,76,189,59.78835978835979,113
sekkuma,,1709,4254,59.82604607428302,2545
kaklema,,1062,2648,59.89425981873112,1586
jõudma,järele,458,1144,59.96503496503497,686
debateerima,,20,50,60,30
kargama,peale,6,15,60,9
leppima,ära,160,400,60,240
maksma,kätte,8,20,60,12
samastuma,,108,270,60,162
vaatama,peale,18,45,60,27
viilima,ära,2,5,60,3
harmoneeruma,,89,223,60.0896860986547,134
jaatama,,39,98,60.204081632653065,59
seksima,,430,1081,60.22201665124884,651
solvuma,,1089,2738,60.22644265887509,1649
maiustama,,120,302,60.264900662251655,182
mäletama,,12433,31293,60.26906976001023,18860
klõpsima,,158,398,60.30150753768844,240
poputama,,46,116,60.3448275862069,70
jääma,puudu,1822,4599,60.382691889541206,2777
laskuma,,2253,5691,60.41117554032683,3438
viitsima,,6238,15763,60.4263147877942,9525
koormama,,308,780,60.51282051282051,472
lömitama,,28,71,60.56338028169014,43
jõudma,,107482,272560,60.56574699148811,165078
juhtuma,kokku,67,170,60.588235294117645,103
jooksma,üle,130,330,60.60606060606061,200
joonistama,maha,26,66,60.60606060606061,40
sõitma,mööda,350,889,60.629921259842526,539
sõitma,üle,211,536,60.634328358208954,325
hüppama,sisse,74,188,60.63829787234043,114
kritiseerima,,2046,5200,60.65384615384616,3154
tunnetama,,1499,3818,60.738606600314306,2319
jooksma,läbi,714,1824,60.85526315789473,1110
elama,kaasa,773,1975,60.86075949367089,1202
kiitma,kaasa,9,23,60.86956521739131,14
kontsentreeruma,,97,248,60.88709677419355,151
kasvama,,20854,53356,60.91536097158708,32502
eksima,,8794,22512,60.9363894811656,13718
vihastama,,2340,5994,60.96096096096096,3654
kolima,ära,358,918,61.00217864923747,560
avalduma,,1364,3502,61.05082809822958,2138
hiilima,mööda,37,95,61.05263157894737,58
distantseerima,,56,144,61.111111111111114,88
fokuseerima,,14,36,61.111111111111114,22
iiveldama,,7,18,61.111111111111114,11
vihastuma,,108,278,61.15107913669065,170
kasvama,üle,71,183,61.20218579234973,112
kippuma,,14962,38604,61.24235830483887,23642
minema,lahku,830,2142,61.25116713352008,1312
hääletama,välja,114,295,61.35593220338983,181
tükkima,,170,440,61.36363636363637,270
neelama,alla,285,738,61.382113821138205,453
käiama,,22,57,61.40350877192983,35
virisema,,1185,3072,61.42578125,1887
haisema,,1182,3068,61.47327249022164,1886
pidama,üleval,20,52,61.53846153846154,32
saama,üle,1119,2910,61.54639175257732,1791
panema,tähele,541,1407,61.54939587775409,866
jääma,üle,2502,6513,61.58452326116996,4011
kooruma,välja,153,399,61.65413533834586,246
vaatama,ümber,23,60,61.66666666666667,37
minema,välja,3480,9080,61.67400881057269,5600
sattuma,kokku,198,517,61.702127659574465,319
seisma,koos,34,89,61.79775280898876,55
libisema,läbi,21,55,61.81818181818181,34
valama,sisse,21,55,61.81818181818181,34
igatsema,,2940,7701,61.82313985196728,4761
mahtuma,,5234,13710,61.823486506199856,8476
hüppama,peale,37,97,61.855670103092784,60
käima,läbi,3980,10436,61.862782675354545,6456
trügima,,464,1218,61.904761904761905,754
puhkama,,1877,4940,62.00404858299595,3063
teavitama,ette,22,58,62.06896551724138,36
kuuletuma,,133,351,62.10826210826211,218
kirjutama,maha,78,206,62.13592233009708,128
vaidlema,,2856,7544,62.142099681866384,4688
jaksama,,2391,6317,62.14975463036252,3926
kallama,peale,28,74,62.16216216216216,46
teadvustama,,591,1563,62.18809980806142,972
kukkuma,läbi,907,2401,62.22407330279051,1494
teatama,ette,88,233,62.231759656652365,145
meeldima,,48890,129668,62.296017521670734,80778
tiirutama,,268,712,62.35955056179775,444
sügelema,,146,388,62.371134020618555,242
minema,sisse,457,1216,62.41776315789473,759
kannatama,,21464,57176,62.45977333146775,35712
tüütama,,241,642,62.46105919003115,401
võimendama,,426,1135,62.46696035242291,709
omastama,,176,469,62.47334754797441,293
liialdama,,247,660,62.57575757575757,413
võõrutama,,50,134,62.68656716417911,84
nussima,,97,260,62.69230769230769,163
ütlema,lahti,195,523,62.7151051625239,328
tulema,järele,494,1328,62.80120481927711,834
kanduma,,755,2034,62.88102261553588,1279
pidama,ülal,59,159,62.893081761006286,100
mängima,,48038,129532,62.91418336781645,81494
jääma,,561705,1515060,62.92523068393331,953355
pidurdama,,933,2518,62.94678316123908,1585
vedama,,9790,26450,62.986767485822305,16660
seostuma,,1140,3080,62.98701298701299,1940
võtma,ette,2316,6266,63.03862112990743,3950
langema,kokku,926,2506,63.04868316041501,1580
keerama,taha,14,38,63.1578947368421,24
rääkima,ära,397,1078,63.172541743970314,681
seisma,,33650,91402,63.18461302816131,57752
laveerima,,32,87,63.2183908045977,55
mängima,kokku,111,302,63.24503311258278,191
jõudma,ette,298,812,63.30049261083743,514
taluma,,1220,3325,63.30827067669173,2105
väsima,,5234,14270,63.32165381920112,9036
alanduma,,22,60,63.33333333333333,38
võtma,vahele,66,180,63.33333333333333,114
põrkuma,,850,2320,63.36206896551724,1470
aitama,kaasa,3008,8226,63.43301726233892,5218
kahandama,,667,1826,63.472070098576125,1159
saama,vastu,496,1358,63.47569955817378,862
peatuma,,3169,8693,63.5453813413091,5524
jääma,välja,1479,4067,63.634128350135235,2588
lendama,alt,4,11,63.63636363636363,7
lülitama,,277,762,63.6482939632546,485
märkama,,12248,33712,63.6687233032748,21464
üllatama,,5782,15920,63.68090452261307,10138
tõmbama,,24444,67312,63.6855241264559,42868
katsetama,,894,2463,63.702801461632156,1569
vaatama,üle,854,2353,63.705907352316196,1499
peegeldama,,1328,3659,63.70593058212627,2331
kulutama,,6912,19062,63.73937677053825,12150
saama,kokku,3109,8588,63.798323241732646,5479
klõpsutama,,102,282,63.829787234042556,180
tõmbama,vahele,26,72,63.888888888888886,46
jõudma,tagasi,930,2578,63.92552366175329,1648
häkkima,sisse,18,50,64,32
mugandama,,36,100,64,64
viivitama,,267,742,64.01617250673854,475
töötama,,53372,148840,64.14135984950282,95468
istuma,,29058,81054,64.149826041898,51996
töötama,üles,67,187,64.1711229946524,120
arutama,,16412,45842,64.19876968718641,29430
umbusaldama,,92,257,64.2023346303502,165
hääletama,sisse,63,176,64.20454545454545,113
kalduma,,3780,10564,64.21809920484665,6784
katma,kinni,93,260,64.23076923076924,167
minema,läbi,1025,2870,64.28571428571429,1845
sorkima,,30,84,64.28571428571429,54
tikkuma,ligi,25,70,64.28571428571429,45
jääma,maha,2312,6475,64.29343629343629,4163
panustama,,1116,3132,64.36781609195403,2016
sattuma,,42225,118596,64.3959324091875,76371
minema,vastu,211,593,64.41821247892075,382
vinguma,,798,2244,64.43850267379679,1446
ilastama,,16,45,64.44444444444444,29
ronima,,1674,4714,64.48875689435724,3040
proovima,,15362,43278,64.50390498636722,27916
usaldama,,10084,28456,64.56283384874895,18372
nägema,välja,4235,11974,64.6317020210456,7739
haarama,kinni,406,1150,64.69565217391305,744
lähenema,,1959,5552,64.71541786743515,3593
korrutama,,335,950,64.73684210526316,615
nägema,,45611,129412,64.7552004450901,83801
toituma,,364,1033,64.76282671829622,669
täituma,,1601,4544,64.76672535211267,2943
kohtuma,,10675,30369,64.84902367545853,19694
alahindama,,316,899,64.84983314794216,583
surkima,,26,74,64.86486486486487,48
laskma,lahti,516,1470,64.89795918367346,954
keelama,ära,301,858,64.91841491841492,557
väitlema,,88,251,64.9402390438247,163
ahvima,,34,97,64.94845360824742,63
hoidma,kinni,2428,6930,64.96392496392497,4502
nuusutama,üle,7,20,65,13
jälestama,,92,263,65.0190114068441,171
elama,,31856,91082,65.0249225972201,59226
komistama,,356,1018,65.0294695481336,662
tulema,kokku,1691,4837,65.04031424436634,3146
võistlema,,11348,32520,65.10455104551045,21172
jahmerdama,,15,43,65.11627906976744,28
tasuma,,45256,129780,65.12867930343658,84524
lõpetama,ära,431,1236,65.1294498381877,805
purskama,,234,672,65.17857142857143,438
seltsima,,24,69,65.21739130434783,45
astuma,üle,122,351,65.24216524216524,229
hoidma,eemale,348,1002,65.26946107784431,654
pääsema,,75685,218070,65.2932544595772,142385
tõukama,eemale,69,199,65.32663316582915,130
rääkima,taga,45,130,65.38461538461539,85
vestlema,,2614,7562,65.43242528431632,4948
hoolima,,1522,4403,65.43265955030661,2881
tõstma,,7220,20888,65.43469934890847,13668
söandama,,945,2734,65.43525969275787,1789
samastama,,288,836,65.55023923444976,548
vaevuma,,493,1434,65.62064156206415,941
valdama,,1924,5597,65.62444166517777,3673
jõudma,järgi,11,32,65.625,21
värisema,,809,2354,65.63296516567544,1545
muutuma,,28658,83556,65.7020441380631,54898
võõrduma,,83,242,65.70247933884298,159
kelkima,,120,350,65.71428571428571,230
müüma,tagasi,37,108,65.74074074074075,71
vaatama,üles,90,263,65.77946768060836,173
riidlema,,240,702,65.8119658119658,462
pruukima,,6364,18619,65.81986143187068,12255
esinema,,39492,115623,65.84416595314082,76131
raatsima,,432,1266,65.87677725118483,834
jääma,ilma,2059,6035,65.88235294117646,3976
mõtlema,tagasi,46,135,65.92592592592592,89
harjuma,,6334,18590,65.92791823561053,12256
käima,kokku,270,793,65.95208070617906,523
unustama,,11619,34158,65.98454242051642,22539
vajutama,alla,18,53,66.0377358490566,35
hirmutama,,1184,3490,66.07449856733524,2306
hoidma,,10065,29673,66.08027499747246,19608
õiendama,,598,1764,66.09977324263039,1166
sõbrustama,,64,189,66.13756613756614,125
hoiduma,,2529,7479,66.18531889290013,4950
jalutama,mööda,48,142,66.19718309859155,94
roomama,,176,521,66.21880998080614,345
ilkuma,,132,392,66.3265306122449,260
küündima,,1603,4765,66.3588667366212,3162
tihkama,,200,595,66.38655462184873,395
piirduma,,2834,8432,66.3899430740038,5598
olema,vastu,468,1393,66.40344580043073,925
pääsema,ette,215,640,66.40625,425
keerama,üles,90,268,66.4179104477612,178
ööbima,,942,2806,66.42908054169637,1864
tegelema,,13442,40063,66.44784464468462,26621
kimbutama,,524,1563,66.47472808701215,1039
õnnestuma,,30168,89992,66.47702017957153,59824
lugema,,41535,123960,66.49322362052274,82425
huvituma,,716,2139,66.52641421224872,1423
vaatama,järele,192,574,66.55052264808361,382
sõitma,,41318,123802,66.62574110272855,82484
ühtima,,362,1085,66.63594470046083,723
kahtlema,,2841,8522,66.66275522177892,5681
abstraheeruma,,2,6,66.66666666666666,4
armuma,,1063,3189,66.66666666666666,2126
harmoneerima,,6,18,66.66666666666666,12
kanaliseerima,,8,24,66.66666666666666,16
kilistama,,2,6,66.66666666666666,4
mehkeldama,,17,51,66.66666666666666,34
olema,hambus,1,3,66.66666666666666,2
