verb,verb_compound,advmod_count,verb_count,relative_diff,absolute_diff
portreteerima,,46,247,81.37651821862349,201
juhendama,,561,3021,81.42999006951341,2460
sahkerdama,,20,108,81.48148148148148,88
autasustama,,113,611,81.50572831423895,498
seisnema,,1763,9542,81.5237895619367,7779
valama,üle,61,331,81.57099697885197,270
nägema,pealt,149,810,81.60493827160494,661
röövima,,954,5188,81.61141094834234,4234
saama,,818428,4456172,81.63383280537644,3637744
immigreeruma,,8,44,81.81818181818183,36
kiitma,järele,2,11,81.81818181818183,9
kloppima,üles,2,11,81.81818181818183,9
sekundeerima,,298,1644,81.8734793187348,1346
põrkama,kokku,686,3822,82.05128205128204,3136
ühendama,,1350,7525,82.05980066445183,6175
tutvustama,,4798,26762,82.07159405126671,21964
kahtlustama,,1093,6105,82.09664209664209,5012
ajendama,,370,2068,82.1083172147002,1698
manitsema,,291,1627,82.11432083589429,1336
toestama,,50,280,82.14285714285714,230
lubama,,30146,169836,82.24993523163523,139690
kohaldama,,660,3720,82.25806451612904,3060
ühinema,,1773,10005,82.27886056971514,8232
kommenteerima,,3330,18829,82.31451484412344,15499
tegema,liiga,3,17,82.35294117647058,14
julgustama,,620,3516,82.36632536973833,2896
kaunistama,,396,2247,82.37650200267022,1851
kiitma,,6868,39128,82.44735227969741,32260
sisendama,,486,2774,82.48017303532804,2288
varustama,,628,3588,82.49721293199555,2960
nägema,ette,3170,18235,82.61584864272005,15065
koosnema,,2695,15701,82.83548818546589,13006
tõrelema,,40,234,82.90598290598291,194
anduma,,161,945,82.96296296296296,784
õnnistama,,372,2199,83.08321964529331,1827
ennustama,,1793,10667,83.19115027655386,8874
kehtestama,,1639,9773,83.2293052286913,8134
õnnitlema,,580,3460,83.23699421965318,2880
kallama,välja,6,36,83.33333333333334,30
minema,nahka,1,6,83.33333333333334,5
õhkama,taga,1,6,83.33333333333334,5
käsitlema,,3044,18385,83.44302420451454,15341
kulmineeruma,,207,1251,83.45323741007195,1044
hagema,,17,103,83.49514563106796,86
maskeeruma,,34,207,83.57487922705315,173
meenutama,,13552,82782,83.62929139184847,69230
kõrvutama,,112,686,83.6734693877551,574
volitama,,280,1724,83.75870069605568,1444
kinnitama,,20430,125980,83.7831401809811,105550
ironiseerima,,100,620,83.87096774193549,520
kantima,välja,5,31,83.87096774193549,26
võrdlema,,2144,13342,83.9304452106131,11198
lagistama,,19,120,84.16666666666667,101
võrduma,,481,3038,84.16721527320605,2557
sõitma,otsa,441,2802,84.26124197002142,2361
tarnima,,240,1528,84.29319371727748,1288
assotsieeruma,,92,588,84.35374149659864,496
sanktsioneerima,,21,135,84.44444444444444,114
kohustama,,1248,8026,84.45053575878396,6778
dateerima,,18,117,84.61538461538461,99
võbistama,,4,26,84.61538461538461,22
jutustama,,2166,14312,84.86584684181106,12146
kirjeldama,,2988,19884,84.97284248642124,16896
talluma,,6,40,85,34
spetsialiseeruma,,178,1189,85.02943650126157,1011
käskima,,825,5637,85.36455561468867,4812
jootma,täis,7,48,85.41666666666666,41
järgnema,,3985,27434,85.47422905883211,23449
tagama,,2475,17206,85.61548297105661,14731
kõnnitama,,1,7,85.71428571428571,6
litsuma,ligi,1,7,85.71428571428571,6
mäkerdama,kokku,2,14,85.71428571428571,12
põhinema,,2730,19252,85.81965510076876,16522
usutlema,,20,142,85.91549295774648,122
valama,peale,54,384,85.9375,330
piirnema,,76,552,86.23188405797102,476
hõlmama,,1523,11091,86.26814534307096,9568
külgnema,,19,143,86.7132867132867,124
koordineerima,,173,1320,86.89393939393939,1147
ütlema,,143284,1093854,86.90099409976104,950570
annekteerima,,9,69,86.95652173913044,60
puistama,üle,7,54,87.03703703703704,47
kohkuma,tagasi,25,193,87.04663212435233,168
oletama,,856,6666,87.15871587158716,5810
tipnema,,106,838,87.3508353221957,732
pärima,,3906,31020,87.40812379110251,27114
kohustuma,,305,2429,87.44339234252779,2124
indikeerima,,1,8,87.5,7
julgestama,,38,304,87.5,266
kulmineerima,,3,24,87.5,21
arutlema,,2044,16518,87.62562053517375,14474
kurjustama,,188,1548,87.85529715762273,1360
naljatlema,,28,231,87.87878787878788,203
mööduma,,5791,48182,87.98098875098584,42391
paluma,,25176,220286,88.57122104899993,195110
