verb,compound1,compound2,obl,obl_form
kakskeelne,,,Wales,sg in
alustama,,,maa,sg in
teadma,,,hoiupank,sg in
tulema,,,koosseis,sg in
minema,,,võitlus,sg in
puuduma,,,Eesti,sg in
ütlema,,,arhiiviseadus,sg in
printsiip,,,välispoliitika,sg in
asetanud,,,rind,pl in
muutuma,,,lõpp,sg in
tunnusjoon,,,Eesti,sg in
mis,,,riigitarkus,sg in
soovima,,,maakodu,sg in
linn,,,Narva,sg in
saama,valmis,,aprill,sg in
kaotama,,,külmkapp,sg in
ehtima,,,laas,pl in
kahanema,,,psühhiaatriahaigla,pl in
terav,,,Tallinn,sg in
süüdi,,,häda,pl in
kultuur,,,geto,pl in
teenima,,,skautpataljon,sg in
pidama,,,kontserdisaal,sg in
tegema,,,ühiskond,sg in
vaatama,kõrvalt,,kool,sg in
asetus,kohale,,pingerida,sg in
tark,,,situatsioon,sg in
väljenduma,,,raevupuhang,sg in
pildistama,,,poisipõlv,sg in
kriitiline,,,üks,sg in
ulatuma,,,sektor,sg in
ainus,,,elu,sg in
sadakond,,,Eesti,sg in
peituma,,,alus,sg in
jääma,järele,,Bosnia,sg in
tõstma,esile,,Tai,sg in
tõstma,esile,,vang,sg in
selge,,,Tallinn,sg in
tulema,,,see,pl in
hingama,,,rütm,sg in
ütlema,,,protokoll,sg in
vaatlema,,,koha,sg in
otsustama,,,Minneapolis,sg in
otsustama,,,igaüks,sg in
mäletama,,,saal,sg in
saama,kaasa,,kindlustusfirma,sg in
hakkama,,,isik,sg in
tundma,,,Eesti,sg in
teatama,,,kommunism,sg in
langema,,,Lõuna-Eest,sg in
tapma,,,Argentina,sg in
tapma,,,USA,sg in
toimuma,,,november,sg in
toimuma,,,Norra,sg in
toimuma,,,Trondheim,sg in
kallim,,,pood,sg in
istuma,,,nahktugitool,pl in
tegema,,,algus,sg in
tegema,,,KGB,sg in
mainima,,,seadus,sg in
seisma,,,vestlus,sg in
teadma,,,riik,pl in
tulenevalt,,,Eesti,sg in
olema,,,tulevik,sg in
eraldama,,,omandus,sg in
näkkama,,,kord,sg in
kaitsema,,,mütoloogia,sg in
kaitsema,,,tähendus,sg in
sõltuma,,,kott,sg in
erand,,,rist,sg in
otsima,,,algus,sg in
rulluma,lahti,,see,pl in
kordama,,,Tallinn,sg in
uskuma,,,algus,sg in
ööbima,,,kabinet,pl in
