entity_root,count
rivistus,16
linnake,16
Saku,16
kari,16
Antarktika,16
kaasaaitamine,16
kujundus,16
linnaeelarve,16
lukk,16
reserv,16
mask,16
vare,16
juhtum,16
eramu,16
tiib,16
toru,16
ateljee,16
kaebus,16
tants,16
kilomeeter,16
sotsiaalministeerium,16
Sõnumilehe,16
paber,16
tagatasku,16
toimepanemine,16
talveaed,16
supelrand,16
kõnepult,16
algklass,16
eluvaldkond,16
jäähall,16
Torino,16
sein,16
EMP,16
suguvõsa,15
eksperiment,15
kalamaja,15
nägemus,15
Krimm,15
olemasolu,15
peastaap,15
rahvasuu,15
seade,15
koduaed,15
lähiminevik,15
nimistu,15
kohtuasi,15
uurimine,15
nahk,15
mõni,15
viis,15
politseijaoskond,15
osalemine,15
episood,15
süütamine,15
lauavõitlus,15
teatejooks,15
läkitus,15
algkool,15
intsident,15
ohi,15
ülesanne,15
tüli,15
vangilaager,15
Miami,15
kultuuriministeerium,15
tööhõiveamet,15
list,15
allilm,15
omamine,15
tervisekeskus,15
kaitsepolitsei,15
kooma,15
alamkoda,15
Dallas,15
teaduskond,15
udu,15
paviljon,15
nägu,15
Nürnberg,15
side,15
püsivhind,15
jututuba,15
üldhariduskool,15
ühistransport,15
Kagu-Eesti,15
intensiivraviosakond,15
mure,15
žanr,15
teatesõit,15
põhimõte,15
tuju,15
haridusministeerium,15
Gaza,15
muu,15
novembrikuu,15
hääletusvoor,15
veekogu,15
mees,15
linnagalerii,15
mõõt,15
peit,15
asutamisleping,15
hinnaklass,15
spordisaal,14
igaüks,14
Trondheim,14
õppekava,14
riigikeel,14
iseenese,14
suusatamine,14
NATO,14
erariie,14
väitlus,14
Liidu,14
ravi,14
Carlo,14
trükk,14
jaanuaris-veebruar,14
haigekassa,14
riigitelevisioon,14
kaar,14
aktsioon,14
sisepoliitika,14
üleujutus,14
telefoniusutlus,14
seletus,14
WC,14
algkoosseis,14
Kremli,14
ettevalmistus,14
majandusraskus,14
kirdeosa,14
esitamine,14
katedraal,14
soolaladu,14
ÜRO,14
kohtuotsus,14
ala,14
ujula,14
garaazh,14
vähemus,14
apellatsioonkaebus,14
kriminaalkoodeks,14
filiaal,14
Vietnam,14
kohtuvaidlus,14
haldus,14
rahahäda,14
Texas,14
aprillikuu,14
kogumik,14
ettekirjutus,14
TV,14
purk,14
puhvet,14
haiglavoodi,14
testament,14
kuurort,14
kinosaal,14
algviisik,14
pakett,14
minut,14
tualett,14
oktoobris-november,14
vabaõhumuuseum,14
kunstikool,14
Sõnumileht,14
Toomkirik,14
Bonn,14
esikolmik,14
autokool,14
juhend,14
võõrkeel,14
üldjärjestus,14
töörühm,14
vaataja,14
teleintervjuu,14
katlamaja,14
kirjandusmuuseum,14
meeltesegadus,14
telemaja,14
mutant,14
eküü,14
postitus,14
magistrantuur,13
noorpõlv,13
Kohila,13
riigiamet,13
NHL,13
puudus,13
salakaubavedu,13
põgenikelaager,13
tekk,13
masendus,13
õhustik,13
merepõhi,13
soovitu,13
Leningrad,13
elektrijaam,13
koduhall,13
protsent,13
nälg,13
kukal,13
rinnuliujumine,13
meistrisari,13
Veneetsia,13
C-grupp,13
reisisadam,13
sirp,13
jätmine,13
sõpruskohtumine,13
Köln,13
lift,13
tennis,13
võlg,13
märk,13
eelisjärjekord,13
tegevteenistus,13
Põhjamaade,13
arvustus,13
kirjatükk,13
õli,13
Luksemburg,13
püks,13
postkontor,13
lasketiir,13
Ladina-Ameerika,13
Klaipeda,13
NEBL,13
koduliiga,13
keskiga,13
Sindi,13
soe,13
repertuaar,13
Pihkva,13
post,13
Singapur,13
auk,13
kümme,13
garderoob,13
valetamine,13
eeljooks,13
linnapark,13
masinaklass,13
lõppmäng,13
vahendamine,13
Kabul,13
peagrupp,13
pesa,13
play-off,13
lihtsus,13
juuksur,13
lihas,13
tuludeklaratsioon,13
ärikeskus,13
võimla,13
tainas,13
rahvusooper,13
noor,13
rüselus,13
raviasutus,13
seeria,13
järgmine,13
külmik,13
fail,13
toiduaine,13
SL,13
parandusettepanek,13
edu,12
poos,12
karikas,12
kliinikum,12
turvakodu,12
kaitsejõud,12
prokuratuur,12
kaitseliit,12
valitsuskoalitsioon,12
pori,12
muinasjutt,12
draama,12
aspekt,12
raadiointervjuu,12
diskussioon,12
ajastu,12
lapseiga,12
kett,12
raadiojaam,12
koostis,12
katseklaas,12
