verb,compound1,compound2,obl,obl_form
nägema,,,Angela,sg ad
nägema,,,edu,sg in
meenutama,,,aasta,sg ad
meenutama,,,Angela,sg n
meenutama,,,vanem,pl g
meenutama,,,diivan,sg ad
muhelema,,,pea,sg in
võistlema,,,ise,sg el
võistlema,,,aasta,sg p
võistlema,,,laps,pl kom
võistlema,,,võistlus,pl ad
võistlema,,,laps,sg g
võistlema,,,koht,sg all
panema,,,ala,pl ad
panema,,,laps,sg el
Andrus,,,treener,pl all
asuma,,,autosõit,sg g
asuma,,,kesklinn,sg el
asuma,,,elamurajoon,sg in
see,,,tema,sg ad
see,,,aeg,sg p
võimalik,,,mina,sg ad
asuma,,,meeter,sg g
asuma,,,meri,sg el
tegema,,,pornokunni,sg es
tegema,,,eraülikool,sg g
tegema,,,õigusteaduskond,sg p
uskuma,,,asutus,adt
liigne,,,sekretär,sg all
liigne,,,isik,pl g
liigne,,,müür,sg es
sündima,,,aprill,sg ad
sündima,,,kodu,adt
koitma,,,juuli,sg ad
koitma,,,tema,pl all
sündima,,,veebruar,sg ad
sünnitama,,,oktoober,sg ad
sünnitama,,,ameeriklane,sg el
sünnitama,,,abikaasa,sg all
sünnitama,,,Michael,sg all
vanaema,,,Ameerika,sg in
vanaema,,,noorus,sg in
kujunema,,,aasta,pl g
kujunema,,,perekond,sg el
kujunema,,,jooksmine,sg kom
kujunema,,,toime,adt
jama,,,koor,sg el
jama,,,põrand,sg all
panema,üles,,internet,sg p
kahtlema,,,poiss,pl ad
kahtlema,,,lava,sg ad
saama,täis,,number,sg kom
saama,täis,,tänane,sg kom
raske,,,maja,sg in
ots,,,riiul,sg in
ots,,,liiter,pl g
seisma,,,tühi,sg es
minema,,,kroon,sg p
seisma,,,aeg,sg el
seisma,,,parkla,sg in
seisma,,,kodusein,pl g
minema,,,kroon,sg p
kohtuma,,,Taani,sg in
kohtuma,,,mis,sg all
veerima,,,piibel,sg el
veerima,,,tema,sg all
lühem,,,mina,sg el
lühem,,,pea,sg p
tegema,,,mis,sg el
teinud,,,see,pl all
teinud,,,Viin,sg in
teinud,,,ajakirjalugu,pl g
siin,,,üks,sg el
siin,,,hotell,pl el
siin,,,kroonika,sg all
hakkama,,,vanadus,sg in
hakkama,,,aeg,sg n
hakkama,,,abikaasa,sg n
kohtuma,,,aasta,sg p
kohtuma,,,vaenlane,pl es
tulema,,,abiellumine,sg kom
sunnitud,,,vend,pl el
sunnitud,,,Voitka,pl el
sunnitud,,,mängufilm,sg in
sunnitud,,,algus,sg in
sunnitud,,,päriselu,sg in
sunnitud,,,Voitka,sg es
sõber,,,aeg,sg p
tekkima,,,mina,sg ad
vedama,,,mina,sg ad
keelduma,,,Steinfeldt,sg n
keelduma,,,korter,sg in
otsustama,,,vastuseis,sg el
jääma,,,siinkirjutaja,sg all
jääma,,,kaamera,pl g
jääma,,,seksimine,sg p
jääma,,,saamine,sg p
laskma,,,kuulsus,sg el
oletama,,,mees,sg kom
oletama,,,voodi,sg ill
mõtlema,,,kord,sg g
püks,,,oksjon,sg all
see,,,mina,sg ad
saama,,,tarve,sg tr
saama,,,see,sg tr
mina,,,liiv,sg g
tingima,,,ületöötamine,sg el
pesema,,,söömine,sg p
käima,,,aasta,sg ad
linn,,,linn,sg in
inimene,,,mina,sg ad
tegevus,,,pere,sg all
huvitav,,,hävitamine,sg tr
huvitav,,,vanalinn,sg in
kirjutama,,,kes,sg all
kirjutama,,,analüüs,sg in
meesterahvas,,,kes,sg kom
õppima,,,aasta,pl ad
õppima,,,teatrikool,pl in
tunnistama,,,elustiil,sg g
tunnistama,,,Las,sg n
tunnistama,,,Vegas,sg el
tunnistama,,,dollar,sg g
käima,,,Vahur,sg kom
käima,,,päev,sg n
käima,,,Stockmann,sg in
käima,,,vasikas,sg g
valmis,,,sõna,pl ad
valmis,,,Vahur,sg all
valmis,,,õlg,sg all
bussipeatus,,,aeg,sg g
bussipeatus,,,Kadi,sg all
keerama,ette,,tund,sg p
ütlema,,,tüli,pl g
kõlama,,,Kadi,sg abl
kõlama,,,Vahur,sg kom
kõlama,,,aasta,sg g
saama,,,aeg,sg ad
saama,,,TOP-raadio,sg in
poiss,,,mina,sg g
poiss,,,kes,sg kom
poiss,,,aasta,sg p
pannud,püsti,,noorus,sg in
pannud,püsti,,auto,sg g
pannud,püsti,,nüüdne,sg tr
pannud,püsti,,vend,sg g
pannud,püsti,,lisa,sg tr
pannud,püsti,,Ukraina,sg in
kuuluma,,,kilt,sg g
käima,,,kool,sg in
käima,,,tütar,sg g
käima,,,kes,pl ad
käima,,,aeg,sg g
käima,,,isa,sg g
käima,,,lõpuaktus,sg g
toetama,,,ise,sg ad
toetama,,,hetk,sg ad
toetama,,,hetk,sg ad
jääma,,,pension,sg all
jääma,,,mina,sg all
kinnitama,,,tema,sg all
peituma,,,ilme,sg g
peituma,,,lisa,sg tr
peituma,,,südamlikkus,sg all
peituma,,,väärtus,pl el
nõudma,,,inimene,sg es
nõudma,,,külaühiskond,sg in
johtuma,,,see,sg el
mäda,,,linnakohus,sg g
mäda,,,tsiviilkantselei,sg el
ühendama,,,kallas,pl ad
sügav,,,meeter,sg p
investeerima,,,praegune,sg tr
investeerima,,,kodu,sg ill
lihtne,,,mina,sg kom
järelevalve,,,oma,sg tr
järelevalve,,,lastekasvatusküsimus,pl kom
märkima,,,kilo,sg p
märkima,,,surmatunnistus,sg ad
eelistama,,,lemmikroog,pl el
suutma,,,ahvatlus,sg all
astuma,,,aasta,sg p
astuma,,,amet,sg ill
mõte,,,aasta,sg g
tundma,,,blondiin,sg es
