sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_time,is_alive,is_event,is_org,exclude,classification2
10843974,17366920,4,uskuma,,el,austus,austusest,"Aga hoolimata kõrgest austusest nende suhtes , uskusin siiralt meie võimalustesse .",,state,,no,,no,no,no,no,no,UNK
34522,59402,5,saama,üle,el,otsus,otsusest,Olete te oma eksnaise otsusest teid kõige raskemal momendil maha jätta nüüdseks üle saanud ?,,,,no,,no,no,no,no,no,UNK
15478179,24171315,23,jääma,puudu,el,laiskus,laiskusest,"Nad ütlesid , et oskan väga täpselt nööri visata ja et mul näib küllalt pealehakkamist olevat , samuti ei jäävat mul puudu laiskusest .",,,,no,,no,no,no,no,no,UNK
3218686,5170286,4,jääma,puudu,el,kasum,kasumist,Arusaadavalt jääks energiahiiu kasumist keskkonnamõjude korvamisel puudu .,,,,no,,no,no,no,no,no,UNK
9977663,16004467,14,täituma,,el,enesevaatlus,enesevaatlustest,"Rootslasest Peremehele kuuluvale ühe-maja-saarele on kõigi ja kõige eest põgenenud mees , kelle enesevaatlustest , olnu ja oleva eraldamispüüdest , minevikupõigetest ja hetkevaatlustest täitub kirjaridadega riiulilt leitud kaustik .",,,,no,"The phrase 'enesevaatlustest' describes a source or topic rather than a spatial location, so it is not an adverbial of place.",no,no,no,no,no,UNK
9453807,15180597,17,andma,,el,altruism,altruismist,"Olen kindel , et neil on selle kohta akt , et doonorid on neerud andnud puhtast altruismist .",,,,no,,no,no,no,no,no,UNK
12292938,19678367,17,jutustama,,el,impressionism,impressionismist,"Albert Anni kõndis kunstikooli Burde ( kunstikooli õpilaste žargoonis Burdenko ) tänava majas ringi ning jutustas impressionismist , abstraktsionismist jne.",,,,no,"The phrase 'impressionismist' refers to a topic or subject rather than a place, so it is not adverbial of place.",no,no,no,no,no,UNK
8693669,13946925,4,tundma,,el,ebatäiuslikkus,ebatäiuslikkusest,"Bigart tundis oma ebatäiuslikkusest , et tal oli vaid üks paar silmi , hetkel valusat kahetsust . . .",,,,no,,no,no,no,no,no,UNK
4804990,7715831,17,muutuma,,el,ettevaatamatus,ettevaatamatusest,"Esimesed teadsid tõde , teised aimasid tõde , tavaline kodanik ei osanud olla valvas ning muutus ettevaatamatusest ohvriks .",,,,no,,no,no,no,no,no,UNK
15648987,24417380,17,tegema,välja,el,toon,toonist,"Tamm ajas mehe kaks korda minema , aga too ainult naeratas ja tänas ega teinud kurjast toonist väljagi .",,,,no,"The phrase 'toonist' refers to an abstract source ('from the tone'), not a physical location, so it is not an adverbial of place.",no,no,no,no,no,UNK
1665980,2652266,7,sõltuma,,el,andmed,andmetest,""" Kõik ei sõltu ainult statistilistest andmetest , paindliku lähenemise korral võidakse opositsiooniga jõuda kompromissile , "" ütles Vaarik .",,,,no,,no,no,no,no,no,UNK
4827978,7751984,15,tundma,,el,huumorisoon,huumorisoonest,"Nad ütlevad , et tunnevad temast väga puudust - eriti tema vaiksest ja mõnusast huumorisoonest .",,,,no,,no,no,no,no,no,UNK
13791750,21989861,3,särama,,el,ähvardus,ähvardustest,Ilmajaama ametlikest ähvardustest hoolimata säras eile Tallinna kohal päike ning meelitas SL Õhtulehe Rahvajooksule mitu tuhat jooksuhuvilist .,,,,no,,no,no,no,no,no,UNK
2686155,4309048,8,kubisema,,el,tekst,tekstidest,Paljude muigelsui möödujate arvates mõjus Rakvere eurobürokraatlikest tekstidest kubisenud kiiksuga ettevõtmine üleriigilise närvilisuse taustal väga elutervelt ja samas ka sürrealistlikult .,,,,no,,no,no,no,no,no,UNK
10614846,17013495,13,johtuma,,el,usk,usust,"Kõige levinum eelhoiak , millega “ Tapvale Tartule ” läheneti , johtus usust , et halb film seostub õilsa opositsiooni traditsiooniga .",,,,no,,no,no,no,no,no,UNK
12500346,20008752,8,hääletama,,el,95,95st,Enam kui seitse tundi väldanud koosolekul hääletas 95st kohal olnud TKLi liikmest 50 Liivati ja 55 Nurga tagandamise poolt .,,,,no,,no,no,no,no,no,UNK
1467068,2334902,4,langetama,,el,seisukoht,seisukohast,Langetasin otsuse puhtisiklikust seisukohast .,,,,no,"The phrase 'seisukohast' indicates a perspective or point of view, not a physical place, so it is not an adverbial of place.",no,no,no,no,no,UNK
10399296,16683043,5,toetama,,el,ebaõnnestumine,ebaõnnestumisest,Tallinna Panga aktsiate müügi ebaõnnestumisest hoolimata toetas Tallinna volikogu linnavalitse esitatud ligi 51 miljoni kroonist lisaeelarvet .,,state,,no,,no,no,no,no,no,UNK
4226395,6801805,21,tulema,puudu,el,miski,millestki,"Siis pole vaja enne pidu salatit hakkida ega liha küpsetada , kõik on juba sinu saabudes laual valmis ning kui millestki puudu tuleb , siis saab seda baarist juurde tellida .",,,,no,,no,no,no,no,no,UNK
18634875,28188705,2,kasutama,,el,effekt,effektidest,"Nendest effektidest kasutan ma vaid tubescreamerit , Crybabyt ja Boss blues Driverit .",,,,no,,no,no,no,no,no,UNK
19935203,29361100,5,jääma,puudu,el,emaarmastus,emaarmastusest,KessukasN: sul jäi emaarmastusest puudu ve ?,,,,no,,no,no,no,no,no,UNK
17980324,27359990,13,tüdinema,,el,juurdetulek,juurdetulekust,"Julgen aga väita , et kohalikud inimesed on küll tüdinenud kauplusepindade sihitust juurdetulekust .",,,,no,,no,no,no,no,no,UNK
18990784,28663844,7,olenema,,el,ettenägelikkus,ettenägelikkusest,"Järelikult oleneb nüüd palju ettevõtja varasemast ettenägelikkusest , sellest , kuidas ta vältis riskiohtu ja kui hästi oskas rendilepingusse endale soodsaid punkte taotleda .",,,,no,,no,no,no,no,no,UNK
7167789,11529360,30,sündima,,el,hirmutegu,hirmutegudest,"Siiski tekkis vaadates kaks mõtet - kui juba astronoomilise palgaga USA siseministeeriumi tippagent on ostetav , mida siis mede meestest - Ootan pikkisilmi , mil sünnib film vene maffia hirmutegudest Ameerikas , sest kuuldavasti tegevat see oma julmuse ja ettearvamatu käitumisega silmad ette isegi hiinlastele , kuubakatest rääkimata .",,,,no,,no,no,no,no,no,UNK
451705,707369,16,toetama,,el,süüdistus,süüdistusest,"Grigori Javlinski fraktsioon "" Jabloko "" teatas , et toetab ühte viiest Jeltsini vastu esitatud süüdistusest , Tshetsheenia sõja alustamist puudutavat punkti .",,,,no,,no,no,no,no,no,UNK
14328304,22747025,21,nakatuma,,el,dieedipisik,dieedipisikust,"On ettevõtteid , kus just naistöötajad on veregrupidieediga kaasa läinud , jälgivad täpselt , mida süüa ning kaastöötajad , nakatunud dieedipisikust , paljundavad raamatu neid lehekülgi , kus nende veregrupile kohased juhtnöörid täpselt kirjas .",,,,no,"The phrase 'dieedipisikust' refers to the origin of an infection metaphorically, not indicating a physical or spatial place, so it is not adverbial of place.",no,no,no,no,no,UNK
17406033,26695409,10,lõpetama,,el,selg,seljast,.. ja nüüd lõpetan 3-nda pilsneri lahendamise ning ülikond seljast .,,,,no,,no,no,no,no,no,UNK
1009690,1607760,12,hoolima,,el,ametikoht,ametikohast,"Ta lisas , et tahab õigluse jalule seada , aga vallavanema ametikohast suurt ei hooli .",,,,no,,no,no,no,no,no,UNK
9176363,14749880,18,suutma,,el,film,filmist,"Kui Hollywoodis öeldakse , et 20 filmi kohta tuleb 1 korralik film ja Euroopas , et 10 filmist 1 suudab kulutused tagasi teenida - kui suur on siis hea filmi tõenäosus Eestis ?",,,,no,,no,no,no,no,no,UNK
13711224,21908355,5,saama,üle,el,nutt,nutust,Seks ajaks sai ema nutust üle ja nõudis telefonitoru taas enda kätte .,,,,no,,no,no,no,no,no,UNK
1428871,2273383,13,olenema,,el,haritus,haritusest,"See , kas inimesed üldse kasutavad rasestumisvastaseid vahendeid , oleneb kõige rohkem haritusest .",,,,no,,no,no,no,no,no,UNK
16961878,26071503,18,johtuma,,el,paine,painest,Aga eks ta viimasel ajal oli ka natuke kinnine natuur ja võib-olla see johtubki sellest hilisemast tuntuse painest .,,,,no,,no,no,no,no,no,UNK
6910942,11106937,14,sündima,,el,hea,heast,"Sina oled ju viigi poolt , kus kõik on ühetasane ja parem sünnib heast ... ;",,,,no,,no,no,no,no,no,UNK
15250627,23819986,7,hoolima,,el,eluvorm,eluvormist,"Kuid vaevalt ta hoolikski madalama arenguga eluvormist : kas enamik meist paneb tähele , kui palju vihmausse ja putukaid me lömastame ?",,,,no,,no,no,no,no,no,UNK
3478071,5600837,5,säästma,,el,tubakas,tubakast,""" Just noori säästaks tubakast see , kui tänavailt ja avalikest kohtadest koristataks ära ahvatlevad sigaretireklaamid , "" usub Lipand .",,,,no,,no,no,no,no,no,UNK
1038383,1650964,14,jutustama,,el,asjaolu,asjaoludest,"Saksa telekanalis Pro7 pühapäeval näidatud saade Focus TV jutustas viimastel kuudel selgunud uutest asjaoludest seoses parvlaeva Estonia hukuga , jõudes järeldusele , et kuivõrd katastroofi põhjuseks võis olla plahvatus , tuleks korraldada uus uurimine .",,,,no,,no,no,no,no,no,UNK
12461198,19948693,9,tüdinema,,el,kräsupea,kräsupeast,Sageli on loomulike lokkide omanikud tüdinenud oma kohevast kräsupeast .,,,,no,,no,no,no,no,no,UNK
7477075,12001757,11,tulema,puudu,el,mõistus,mõistusest,Tal oli tuline õigus : toonasel Soome koondisel tuli lihtsalt mõistusest puudu .,,,,no,Classified as 'no' because 'mõistusest' denotes an abstract concept (understanding) rather than a physical location or place.,no,no,no,no,no,UNK
9936824,15942427,20,kasutama,,el,merekapsas,merekapsast,"Kuna polnud kedagi , kes oleks meile magedat vett andnud , valmistasime toitu edaspidi vaid mereveest , salatina kasutasime merekapsast , joogina kibuvitsateed ja magustoiduna põldmarjamoosi .",,,,no,,no,no,no,no,no,UNK
3817941,6149598,1,pajatama,,el,surm,Surmast,"Surmast pajatavad "" uudised "" on saanud hommikukohvi vältimatuks lisandiks .",,,,no,,no,no,no,no,no,UNK
2553494,4096450,9,jääma,puudu,el,loobumine,loobumisest,""" Camplini karjääri on seganud rohked vigastused , loobumisest ei jäänud vahepeal palju puudu .",,,,no,,no,no,no,no,no,UNK
91109,154236,8,saama,üle,el,integratsioon,integratsioonist,Moodsas maailmas ei saa üle ega ümber integratsioonist .,,,,no,,no,no,no,no,no,UNK
8969185,14419883,13,tekkima,,el,akt,aktidest,Raudteeamet on lubanud ministeeriumile töötada välja raudteeseaduse rakendusaktid ja praeguseks on oodatavatest aktidest Škepasti kinnitusel tekkinud järjekord .,,,,no,"The phrase 'aktidest' (from the acts) does not specify a physical location or answer the question 'where?', hence classified as not adverbial of place ('no').",no,no,no,no,no,UNK
2590884,4158039,18,surema,,el,kartus,kartusest,"usa Sherlock Holmesi ühest ettevõtmisest pajatavas jutustuses "" Baskerville'ide koer "" saab Charles Baskerville infarkti ja sureb kartusest hirmsa koera ees .",,state,,no,It was not classified as adverbial of place because 'kartusest' refers to a cause or reason rather than a physical or conceptual location.,no,no,no,no,no,UNK
1210815,1925768,17,olenema,,el,hääl,häälest,"Võimuvõitlus Tallinnas paljastas , et korruptsioonisüüdistus ( vt "" korteriskandaal "" ) oleneb eelkõige "" parteilisest häälest "" .",,,,no,,no,no,no,no,no,UNK
1598314,2543340,28,selguma,,el,deklaratsioon,deklaratsioonidest,"Maavanematest enim on isiklikke sõiduautosid Võru maavanemal Robert Lepiksonil , kõige suurem võlakoorem on aga Harju maavanemal Orm Valtsonil , selgub Riigi Teatajas eile avaldatud majanduslike huvide deklaratsioonidest .",,,,no,,no,no,no,no,no,UNK
5640022,9044910,5,olenema,,el,asetus,asetusest,Kõik oleneb ju küsimuse asetusest .,,,,no,,no,no,no,no,no,UNK
2756258,4420410,5,teatama,,el,beež,beežist,"Tallinna Ida politsei teatas beežist 1988. aastal valmistatud Mercedes-Benzist , mis kandis numbrit 048 ACY .",,,,no,"The phrase 'beežist' describes a color ('of beige') rather than a place, so it is not adverbial of place.",no,no,no,no,no,UNK
7280170,11700978,30,kehtima,,el,fikseerimine,fikseerimisest,"PS-s on vaba mandaadi põhimõte expressis verbis sätestatud küll üksnes Riigikogu liikme suhtes ( § 62 ) , kuid see kehtib ka kohaliku omavalitsuse volikogu liikmete suhtes sõltumata selle fikseerimisest PS-s .",,,,no,,no,no,no,no,no,UNK
13854626,22091490,19,kandma,ette,el,naer,naerust,"Saades reaktsiooniks : « Arstile oled näidanud ? » , naaseb poiss tuttavate neidude juurde , kannab vastuse naerust puksudes ette ning võtab sihikule uued ohvrid .",,state,,no,,no,no,no,no,no,UNK
1719342,2737030,1,tegutsema,,el,Suurem,Suurematest,"Suurematest Eesti IT-firmadest tegutsevad Leedu turul Microlink ( Delfi ) , CV Online , LHV ja XXL.",,,,no,,no,no,no,no,no,UNK
10182729,16338097,4,lugema,,el,erastamine,erastamisest,Loe päevateemat elektrijaamade erastamisest ja juhtkirja,,,,no,,no,no,no,no,no,UNK
1998692,3188022,14,hoiduma,,el,nimetamine,nimetamisest,"Pisut enne Väänat palus sõidu ajal tüdrukutele küllasõitmisest vestelnud , kuid omavahel nimede nimetamisest hoidunud kolmik peatust .",,,,no,It was classified as not adverbial of place ('no') because 'nimetamisest' does not refer to a location but rather to the act of naming or mentioning.,no,no,no,no,no,UNK
12320091,19725192,5,arvama,,el,aknapesu,aknapesust,"( "" Mis te aknapesust arvate ?",,,,no,,no,no,no,no,no,UNK
9803241,15728924,14,kubisema,,el,amerikanism,amerikanismidest,"Stsenaarium , mille üks autoreid on Steve Martin , kubiseb pea peale pööratud amerikanismidest .",,,,no,,no,no,no,no,no,UNK
983188,1566587,15,kestma,,el,soov,soovist,Õigupoolest on kogu aastaid kestnud segadus Eesti riigikaitse juhtimise ümber sündinud president Lennart Meri soovist vältida iga hinna eest kindralmajor Ants Laaneotsa nimetamist kaitseväe juhatajaks .,,,,no,"The phrase 'soovist' refers to a motive or reason rather than a location, so it is not an adverbial of place.",no,no,no,no,no,UNK
19137991,28869507,21,kubisema,,el,argument,argumentidest,"Ja vabandage väga , aga see jutt , mida te siin räägite , on nii vastuoluline , kubiseb igasugustest poolikutest argumentidest või kontrollimata argumentidest .",,,,no,,no,no,no,no,no,UNK
18429993,27930273,15,ärkama,,el,uuringumaterjal,uuringumaterjalidest,» : Huvitavaid väljevõtteid ajakirja « Ärgake » erinumbri ( 8.12.2000 ) poolt vahendatud uuringumaterjalidest .,,,,no,,no,no,no,no,no,UNK
538775,850095,17,tulenema,,el,alafinantseeritus,alafinantseeritusest,"EME leiab , et kuritegude avastamise , tõ-kestamise ja õigusemõistmise madal tase tuleneb mitte selle valdkonna alafinantseeritusest , vaid "" uurijate ja õigusemõistmise mitteküllaldasest kvalifikatsi-oonist ja kvaliteedist "" .",,,,no,"It was classified as 'no' because 'alafinantseeritusest' does not indicate a location or direction, but rather refers to a cause or reason, making it non-adverbial of place.",no,no,no,no,no,UNK
11936939,19101970,20,hiilgama,,el,see,sellest,"Kõigil testitud Euroopa autodel polnud 1994-1997 veel praeguseks aina laiemalt levinud 12 aasta pikkust roostetamisgarantiid , kuid sellest hoolimata hiilgasid näiteks Peugeot 306 ja VW Golf hulga väiksema roostekahjustusindeksiga kui sama mõõtu Toyota Corolla ja Mitsubishi Lancer .",,,,no,,no,no,no,no,no,UNK
2277229,3645366,19,aitama,üle,el,kohmetus,kohmetusest,"Lause "" Näe , tahtsin nii väga õigeks ajaks jõuda , et jooksin kontsa ära , "" aitab kohmetusest üle .",,,,no,,no,no,no,no,no,UNK
17207542,26416596,5,olenema,,el,häda,hädast,"Venituskuuri pikkus oleneb konkreetsest hädast , soovitatav on kuni kümme protseduuri .",,,,no,,no,no,no,no,no,UNK
5693963,9132480,1,tõstma,esile,el,muudatus,Muudatustest,"Muudatustest tõstis Must esile vajadust koostada linnaohu plaan , sest palju on ju räägitud juba alanud kolmandast maailmasõjast ja nõukogudeaegse tsiviilkaitse plaaniga pole tänastes oludes enam midagi peale hakata .",,,,no,,no,no,no,no,no,UNK
7956535,12752768,5,kasutama,,el,kivi,kivist,"Eesti- ja Liivimaal kasutasid kivist hauakambreid , mida sulgevad maapinnal kivikaaned , ainult aadlikud .",,,,no,,no,no,no,no,no,UNK
11655423,18656931,6,sündima,,el,ennustatu,ennustatust,Ta sündis mõni päev arstide ennustatust varem .,,,,no,,no,no,no,no,no,UNK
742873,1183760,10,tegutsema,,el,elu,elust,"Vjatsheslav Samodurov on sündinud Eestis , kuid suurema osa elust tegutsenud Peterburis .",,,,no,,no,no,no,no,no,UNK
5427953,8702978,3,saama,täis,el,võit,võidust,"Aasta saab võidust täis ja fondil on sobiv hetk enda olemasolust märku anda , "" tõdes Käärikule teekonda alustanud Nool .",,,,no,,no,no,no,no,no,UNK
14984097,23507006,2,nimetama,,el,jook,jookidest,"Trendikamatest jookidest nimetab ta vaniljeviina õunamahlaga ja naiste seas on populaarne jook Cosmopolitan , mis Sveni teada on popstaar Madonna lemmikkokteil .",,,,no,,no,no,no,no,no,UNK
7357359,11807835,8,hoolima,,el,abinõu,abinõudest,"Aga kanged venelased ei hoolinud nii tühistest abinõudest , nad lõid oma , iseseisva tööturu – turu sõna otseses mõttes , hõivasid paigad , kus varem eesti talumehed olid pealinna härradele kardulat ja ubinaid müünud , ja äritsesid seal nüüd hiina sulejopedega .",,,,no,,no,no,no,no,no,UNK
1187410,1887680,8,moodustama,,el,autor,autoritest,"Mereäärse ala kujundamiseks moodustab linnavalitsus paremate tööde autoritest , arhitektide liidu liikmetest ja ametnikest töögrupi novembri keskel .",,alive,,no,"The phrase 'autoritest' refers to a group of people rather than a location, so it is not an adverbial of place.",no,no,no,no,no,UNK
6142542,9859603,8,hoiduma,,el,laienemine,laienemisest,"Soome Sampo-Leonia pangandus- ja kindlustuskontsern hoidub edasisest laienemisest Baltimaades firmade ostmise teel , seades sihiks praeguste Balti allüksuste taseme ja kasumlikkuse tõstmise , kirjutab tänane Äripäev .",,,,no,,no,no,no,no,no,UNK
2031160,3242366,6,püsima,,el,läbikukkumine,läbikukkumistest,Siimanni maine püsib hoolimata lakkamatutest läbikukkumistest hea tänu suurepärasele avalikkusega suhtlemise oskusele .,,,,no,,no,no,no,no,no,UNK
17278285,26523844,2,tulema,puudu,el,standardvõimalus,standardvõimalustest,"Kui standardvõimalustest puudu tuleb , siis on alati olemas võimalus asi käsitsi , st . AutoCAD-i sarnaste puht-joonestusvahenditega ära joonistada .",,,,no,,no,no,no,no,no,UNK
1972215,3144856,8,suutma,,el,kuritegu,kuritegudest,"Helsingin Sanomate andmeil on politsei mehe praegustest kuritegudest suutnud tõestada vaid seda , et kurjategija juhtimisel toodi Eestist Soome mõni kilo amfetamiini ja Venemaalt paar kilo heroiini .",,,,no,,no,no,no,no,no,UNK
9914261,15904453,5,koosnema,,el,argielupildike,argielupildikestest,Ka koosneb sellistest koomilis-traagilistest argielupildikestest .,,,,no,,no,no,no,no,no,UNK
16087083,24971655,15,tegema,välja,el,laulmine,laulmisest,"Eestis on ikka hästi palju noori inimesi , kes teevad igasuguseid huvitavaid asju alates laulmisest kuni tantsimiseni välja .",,,,no,"The phrase 'laulmisest' indicates an activity, not a location, so it is not classified as an adverbial of place.",no,no,no,no,no,UNK
4813177,7728349,11,hoiduma,,el,jututeema,jututeemast,""" Mõnikord on meil probleeme näiteks sooja veega - sellisest jututeemast hoiduks ju igaüks , "" ütleb ta .",,,,no,,no,no,no,no,no,UNK
12348094,19770297,12,jätkama,,el,puudujääk,puudujäägist,Jooksevkonto defitsiit on jätkanud aasta algul ilmselt kasvu tingituna kaubavahetusbilansi suurenevast puudujäägist .,,,,no,,no,no,no,no,no,UNK
1256138,1997714,11,saama,täis,el,mittekodanik,mittekodanikust,Kodakondsusameti peadirektori Andres Kollisti sõnul saab enamikul 220 000 Eestis elavast mittekodanikust ja ligi 100 000 Vene kodanikust viis aastat tagasi väljastatud ajutiste elamislubade tähtaeg sel aastal täis .,,alive,,no,,no,no,no,no,no,UNK
501095,788091,3,jätkama,,el,ilm,ilmast,"Hoolimata sombusest ilmast jätkasid raskekahurvägi ja ründelennukid eile Tshetsheenia pealinna Groznõi pommitamist , samas kui Mozdokis asuva Vene ühendatud väegrupeeringu andmeil on föderaalväed Groznõi 80-protsendiselt ümber piiranud .",,,,no,,no,no,no,no,no,UNK
4182644,6731525,17,tekkima,,el,hääl,häältest,"Tamur Tohver märgib , et kuigi praegu võib see tunduda marginaalne , tekib umbes 400 näitleja häältest kokkuvõttes enneolematu arhiiv , mille tõeline väärtus saab selgeks alles aastate pärast .",,,,no,,no,no,no,no,no,UNK
8876052,14261966,7,lugema,,el,fenomen,fenomenist,Loe veel “ Viimse reliikvia ” fenomenist,,,,no,,no,no,no,no,no,UNK
5667335,9089839,8,suutma,,el,greate,greatest,""" Tõsine Floydi fänn suudab oma iidolite greatest hits plaate mõistagi ainult irooniaga vaadata .",,,,no,"The phrase 'greatest' is used as part of a description and does not indicate a place, so it is not classified as an adverbial of place.",no,no,no,no,no,UNK
6960378,11183632,15,säästma,,el,trampimine,trampimisest,""" Ühe voorusena nimetatud keskuse hea sisemine ülesehitus säästab kliente Pärnitsa sõnul mõttetute meetrite trampimisest , samas annab keskuse suurus võimaluse mahutada "" kõige laiemat valikut tootegruppidest "" .",,,,no,,no,no,no,no,no,UNK
13014881,20823191,9,jääma,puudu,el,hool,hoolest,"Koch ütleb , et sageli jääb puudu elementaarsemastki hoolest : « Kui rattaid remonti tuuakse , siis on ikka erinevus suur .",,,,no,,no,no,no,no,no,UNK
170845,284598,6,teenindama,,el,mis,millest,"Tallinnas on neli surnukambrit , millest kahte teenindab Kristini matusebüroo ja ühte , mida kasutab ka Meremeeste haigla , Tallinna Matusebüroo .",,,,no,"The phrase 'millest' is a relative pronoun referring to things or aspects, not a physical or geographical place, so it is not an adverbial of place.",no,no,no,no,no,UNK
6508419,10468756,21,hoiduma,,el,kütmine,kütmisest,"Eelmisel hooajal kujunes lemmikuks pigem 10-15 kilomeetrit klassikalises tehnikas , "" hoidus Šmigunide tiimi mänedžer Kristjan-Thor Vähi kirgede kütmisest .",,,,no,,no,no,no,no,no,UNK
17292714,26540548,8,tüdinema,,el,jalutamine,jalutamisest,"Kindlasti auto , ma olen tõesti tüdinenud jalutamisest ja jalgrattaga sõidust .",,,,no,,no,no,no,no,no,UNK
