pat_id,pattern,verb_word,verb_compound,phrase_nr,phrase_case,deprel,adp,inf_verb
26,möönma_1 Arg0 (möönja),möönma,,1,,nsubj,,
26,möönma_1 Arg1 (teema),möönma,,2,,ccomp,,
26,möönma_1 Arg1 (teema),möönma,,2,,obj,,
27,nentima_1 Arg0 (nentija),nentima,,1,,nsubj,,
27,nentima_1 Arg1 (teema),nentima,,2,,ccomp,,
27,nentima_1 Arg1 (teema),nentima,,2,,obj,,
28,nimetama_1 Arg0 (nimetaja),nimetama,,1,,nsubj,,
28,nimetama_1 Arg1 (teema),nimetama,,2,,obj,,
29,ohkama_1 Arg0 (ohkaja),ohkama,,1,,nsubj,,
29,ohkama_1 Arg1 (teema),ohkama,,2,,obj,,
29,ohkama_1 Arg1 (teema),ohkama,,2,,ccomp,,
30,rõhutama_1 Arg0 (rõhutaja),rõhutama,,1,,nsubj,,
30,rõhutama_1 Arg1 (teema),rõhutama,,2,,obj,,
30,rõhutama_1 Arg1 (teema),rõhutama,,2,,ccomp,,
31,seletama_1 Arg0 (seletaja),seletama,,1,,nsubj,,
31,seletama_1 Arg1 (teema),seletama,,2,,obj,,
31,seletama_1 Arg1 (teema),seletama,,2,,ccomp,,
31,seletama_1 Arg2 (adressaat: Kellele),seletama,,3,all,obl,,
32,selgitama_1 Arg0 (selgitaja),selgitama,,1,,nsubj,,
32,selgitama_1 Arg1 (teema),selgitama,,2,,obj,,
32,selgitama_1 Arg1 (teema),selgitama,,2,,ccomp,,
32,selgitama_1 Arg2 (adressaat: kellele),selgitama,,3,all,obl,,
33,soovitama_1 Arg0 (soovitaja),soovitama,,1,,nsubj,,
33,soovitama_1 Arg1 (teema),soovitama,,2,,obj,,
33,soovitama_1 Arg1 (teema),soovitama,,2,,ccomp,,
33,soovitama_1 Arg1 (teema),soovitama,,2,,xcomp,,
33,soovitama_1 Arg2 (adressaat: kellele/kellel),soovitama,,3,all,obl,,
33,soovitama_1 Arg2 (adressaat: kellele/kellel),soovitama,,3,ad,obl,,
34,sõnama_1 Arg0 (sõnaja),sõnama,,1,,nsubj,,
34,sõnama_1 Arg1 (teema),sõnama,,2,,obj,,
34,sõnama_1 Arg1 (teema),sõnama,,2,,ccomp,,
35,teadma_1 Arg0 (teadja),teadma,,1,,nsubj,,
35,teadma_1 Arg1 (teema),teadma,,2,,obj,,
35,teadma_1 Arg1 (teema),teadma,,2,,ccomp,,
35,"teadma_1 Arg2 ( ?? see, millest-kellest midagi teatakse)",teadma,,3,el,obl,,
35,"teadma_1 Arg2 ( ?? see, millest-kellest midagi teatakse)",teadma,,3,gen,obl,kohta,
36,tunnistama_1 Arg0 (tunnistaja),tunnistama,,1,,nsubj,,
36,tunnistama_1 Arg1 (teema),tunnistama,,2,,obj,,
36,tunnistama_1 Arg1 (teema),tunnistama,,2,,ccomp,,
36,tunnistama_1 Arg2 (adressaat: kellele HARV),tunnistama,,3,all,obl,,
36,tunnistama_1 Arg_xarg,tunnistama,,4,,xcomp,,
37,tõdema_1 Arg0 (tõdeja),tõdema,,1,,nsubj,,
37,tõdema_1 Arg1 (teema),tõdema,,2,,obj,,
37,tõdema_1 Arg1 (teema),tõdema,,2,,ccomp,,
37,tõdema_1 Arg2 (adressaat: kellele HARV),tõdema,,3,all,obl,,
38,täheldama_1 Arg0 (täheldaja),täheldama,,1,,nsubj,,
38,täheldama_1 Arg1 (teema ),täheldama,,2,,obj,,
