verb,verb_compound,morph_case,ex_count,loc_count,actor_count,time_count,event_count,unk_count,label_count,labels,loc_percent,actor_percent,time_percent,event_percent,unk_percent
heitma,,all,27,21,2,0,1,3,4,"('UNK', 'actor', 'event', 'loc')",77.77777777777779,7.4074074074074066,0.0,3.7037037037037033,11.11111111111111
heitma,ette,all,22,11,10,0,0,1,3,"('UNK', 'actor', 'loc')",50.0,45.45454545454545,0.0,0.0,4.545454545454546
helistama,,in,8,6,0,1,0,1,3,"('UNK', 'loc', 'time')",75.0,0.0,12.5,0.0,12.5
hiilgama,,in,16,12,1,0,0,3,3,"('UNK', 'actor', 'loc')",75.0,6.25,0.0,0.0,18.75
hindama,,in,27,17,5,0,0,5,3,"('UNK', 'actor', 'loc')",62.96296296296296,18.51851851851852,0.0,0.0,18.51851851851852
hoiatama,,in,16,14,0,2,0,0,2,"('loc', 'time')",87.5,0.0,12.5,0.0,0.0
hoidma,,all,25,17,2,0,2,4,4,"('UNK', 'actor', 'event', 'loc')",68.0,8.0,0.0,8.0,16.0
hoidma,,in,27,23,1,1,0,2,4,"('UNK', 'actor', 'loc', 'time')",85.18518518518519,3.7037037037037033,3.7037037037037033,0.0,7.4074074074074066
hoidma,eemale,el,21,18,2,0,0,1,3,"('UNK', 'actor', 'loc')",85.71428571428571,9.523809523809524,0.0,0.0,4.761904761904762
hoidma,kokku,all,5,2,0,0,0,3,2,"('UNK', 'loc')",40.0,0.0,0.0,0.0,60.0
hukkuma,,ad,23,12,1,2,5,3,5,"('UNK', 'actor', 'event', 'loc', 'time')",52.17391304347826,4.3478260869565215,8.695652173913043,21.73913043478261,13.043478260869565
hävima,,ad,10,6,1,0,2,1,4,"('UNK', 'actor', 'event', 'loc')",60.0,10.0,0.0,20.0,10.0
hävima,,all,5,3,1,0,0,1,3,"('UNK', 'actor', 'loc')",60.0,20.0,0.0,0.0,20.0
hävitama,,ad,10,4,1,2,1,2,5,"('UNK', 'actor', 'event', 'loc', 'time')",40.0,10.0,20.0,10.0,20.0
hõiskama,,ad,1,0,1,0,0,0,1,"('actor',)",0.0,100.0,0.0,0.0,0.0
hõivama,,el,4,2,0,0,0,2,2,"('UNK', 'loc')",50.0,0.0,0.0,0.0,50.0
hõlmama,,el,27,16,3,2,0,6,4,"('UNK', 'actor', 'loc', 'time')",59.25925925925925,11.11111111111111,7.4074074074074066,0.0,22.22222222222222
hüppama,,el,8,4,1,0,0,3,3,"('UNK', 'actor', 'loc')",50.0,12.5,0.0,0.0,37.5
igatsema,,el,4,2,1,0,0,1,3,"('UNK', 'actor', 'loc')",50.0,25.0,0.0,0.0,25.0
ilmnema,,in,28,25,0,1,0,2,3,"('UNK', 'loc', 'time')",89.28571428571429,0.0,3.571428571428571,0.0,7.142857142857142
ilmuma,,all,26,22,0,0,1,3,3,"('UNK', 'event', 'loc')",84.61538461538461,0.0,0.0,3.8461538461538463,11.538461538461538
ilmuma,,el,26,16,7,0,2,1,4,"('UNK', 'actor', 'event', 'loc')",61.53846153846154,26.923076923076923,0.0,7.6923076923076925,3.8461538461538463
ilmuma,,in,31,24,2,3,0,2,4,"('UNK', 'actor', 'loc', 'time')",77.41935483870968,6.451612903225806,9.67741935483871,0.0,6.451612903225806
ilmutama,,in,29,23,0,1,0,5,3,"('UNK', 'loc', 'time')",79.3103448275862,0.0,3.4482758620689653,0.0,17.24137931034483
istuma,,ad,25,21,1,2,0,1,4,"('UNK', 'actor', 'loc', 'time')",84.0,4.0,8.0,0.0,4.0
jaksama,,in,5,3,0,0,0,2,2,"('UNK', 'loc')",60.0,0.0,0.0,0.0,40.0
jalutama,ringi,ad,4,2,0,0,0,2,2,"('UNK', 'loc')",50.0,0.0,0.0,0.0,50.0
jooksma,,el,40,29,5,0,0,6,3,"('UNK', 'actor', 'loc')",72.5,12.5,0.0,0.0,15.0
jooma,,el,17,10,0,1,0,6,3,"('UNK', 'loc', 'time')",58.82352941176471,0.0,5.88235294117647,0.0,35.294117647058826
joonistama,,all,8,6,1,0,1,0,3,"('actor', 'event', 'loc')",75.0,12.5,0.0,12.5,0.0
juhatama,,all,18,13,1,0,1,3,4,"('UNK', 'actor', 'event', 'loc')",72.22222222222221,5.555555555555555,0.0,5.555555555555555,16.666666666666664
juhatama,,el,6,3,0,0,1,2,3,"('UNK', 'event', 'loc')",50.0,0.0,0.0,16.666666666666664,33.33333333333333
juhtima,,in,36,34,1,1,0,0,3,"('actor', 'loc', 'time')",94.44444444444444,2.7777777777777777,2.7777777777777777,0.0,0.0
juhtuma,,ad,32,14,9,4,3,2,5,"('UNK', 'actor', 'event', 'loc', 'time')",43.75,28.125,12.5,9.375,6.25
juhtuma,,el,27,16,2,1,2,6,5,"('UNK', 'actor', 'event', 'loc', 'time')",59.25925925925925,7.4074074074074066,3.7037037037037033,7.4074074074074066,22.22222222222222
jälgima,,el,18,13,1,0,0,4,3,"('UNK', 'actor', 'loc')",72.22222222222221,5.555555555555555,0.0,0.0,22.22222222222222
