sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag
2284123,3656911,6,püsima,,el,tõik,tõigast,"Suhted püsivad ettevaatlikud ka hoolimata tõigast , et USA nad mõlemad kurjuse telje riikideks nimetas .",,,
13584928,21722520,8,tõstma,,ad,parteikoosolek,parteikoosolekul,Andres Tarand tõstis ametnike ümberkasvatamise kilbile pühapäevasel parteikoosolekul ja tema poeg Kaarel hoiatab eilses Postimehes Eesti rahvast suletud karjäärisüsteemi ohtude eest .,,,
18957230,28622053,11,läbima,,ad,haige,haigetel,Nexium  on läbinud edukalt uuringud nii reflukshaiguse kui peptilise haavandiga haigetel .,,,
292378,460051,27,tulenema,,el,esitatu,esitatust,"Tegemist ei ole mitte ainult kostja protestiga /  Einrede  / , vaid ametikohustuse tõttu arvesse võtta tuleva faktiga , kui see tuleneb protsessi käigus poolte poolt esitatust .",,,
1490093,2371974,9,korraldama,,all,kodumaa,kodumaale,Esimese maailmasõja lõpus korraldas Nansen Rahvasteliidu ülesandel sõjavangide kodumaale saatmist ja Armeenia põgenike abistamist .,,location,
15632974,24390866,10,tõstma,,ad,kellaaeg,kellaajal,"Olen nii kõva mees olnud , et tõstsin suvalisel kellaajal trummid Vanemuise kontserdisaali lavale ja kukkusin harjutama .",,,
2383074,3818745,12,panema,välja,all,maailmameistrivõistlus,maailmameistrivõistlustele,Enne 15. aprilli suurimale toetajale paneb suusaliit välja tasuta reisi suusatamise maailmameistrivõistlustele Val Di Fiemmes 2003. aasta veebruaris koos Eesti suusadelegatsiooniga .,,,
12400231,19852592,19,ummistuma,,el,järelepärimine,järelepärimistest,"Ma ei tea , kui paljud teatriinimesed seda märkasid ja kas Tartu linna kultuuriosakond on nüüdseks juba ummistunud järelepärimistest ja meilidest , kus küsitakse täpsemaid andmeid võimaliku kandideerimise asjus .",,,
17641302,26971452,2,pruukima,,ad,autopede,autopedel,Ega autopedel ei pruugigi autot olla .,,alive,
10563468,16932273,7,üritama,,ad,nõustumine,nõustumisel,""" President kinnitas , et tartlaste nõustumisel üritab ta omaltpoolt võimalike rahastajaid otsida .",,,
3121058,5011992,5,kirjutama,,ad,paarislehekülg,paarisleheküljel,"Või siiski : meesteka-naisteka paarisleheküljel kirjutavad keegi mees ja keegi naine inimsuhetest , seksist .",,,
10057177,16131812,2,mõtlema,,ad,valmistamine,valmistamisel,Rahvasuuskade valmistamisel on Visu tootjad mõelnud erineva tasemega suusatajatele .,,,
14203959,22582263,11,looma,välja,ad,sõbratar,sõbrataril,"Ilus oli elu kaks ja pool kuud , siis lõi sõbrataril omanikuinstinkt välja .",,alive,
1587403,2525664,14,katkema,,ad,küla,külal,"Ida-Türgi Degirmenkaya külas suri viimase kahe nädala jooksul 12 inimest , sest lummemattunud külal oli katkenud side välisilmaga ja haigeid ei saanud arsti juurde toimetada , teatas reedel uudisteagentuur Anatolia .",,,
8673292,13915405,31,johtuma,,el,artikkel,artiklist,"William Perry ütles möödunud teisipäeval Kopenhaagenis Põhja-Euroopa ja Balti riikide kaitseministritele peetud kõnes , et tema arvates ei ole Balti riigid veel valmis kandma kohustusi , mis johtuvad NATO lepingu artiklist V. Selle järgi on alliansi liikmetel kohustus osaleda agressiooni ohvriks sattunud liitlaste kaitsmisel .",,,
4849418,7785836,8,apelleerima,,all,anne,andele,"Aga ilmselt ei apelleeri maailma kultuuripoliitika spontaansele andele , peab olema ka teatav baas .",,,
11707730,18737017,4,suutma,,el,ekspluateerimine,ekspluateerimisest,"Hoolimata tööinimese rängast ekspluateerimisest , ehitatud tootmishoonete hulgast ning väheviljakate alade ülesharimi-sest , ei suutnud ebaefektiivne põllumajandus impeeriumit ära toita .",,,
9606322,15418707,27,jätma,,ad,kevadpäev,kevadpäeval,"Pimeduses kobades lõputult elada ei saa , seepärast on mõistetav , miks härra Mutt ( kes rahvusvaheliselt tuntum nime  mr . Mole  all ) jätab ühel ilusal kevadpäeval tolmuse suurpuhastustöö ning tormab avastama teistsugust maailma .",,time,
6867444,11045711,20,kasutama,,ad,joonis,joonisel,"5 Struktuursele modelleerimisele alusepanijaks võib lugeda Sewell Wright'i , kes kasutas simultaanseid võrrandeid geneetika valdkonnas kujutades nähtustevahelisi mõjusid ka joonisel ( vt. näiteks Wright , 1934 ) .",,,
2738832,4392907,20,vaevlema,,in,kooma,koomas,"Kuna isegi Eesti riigil puudub lööv ja meeldejääv tunnuslause , on loomulik , et suur osa kohalikku mainekujundust vaevleb koomas .",,,
15724514,24537899,9,toituma,,el,huumus,huumusest,"Kummutas senise teooria , et taimed toituvad ainult huumusest , ja esitas 1840 taimede mineraalse toitumise teooria , pannes aluse mineraalväetiste kasutamisele .",,,
215737,351242,15,ilmnema,,ad,lisamine,lisamisel,"Nii poliitiline aktiivsus kui usaldus meedia vastu näitavat ühiskonna sidusust , ühendava sotsiaalse kapitali lisamisel ilmneb seos töötusega .",,,
6879910,11063519,17,jääma,kõrvale,el,koloniaalpoliitika,koloniaalpoliitikast,"Täiesti välistada ei saa ka Venemaa koloniaalhuvisid Aafrikas ( nn. Sagallo juhtum ) , ehkki aktiivsest koloniaalpoliitikast Aafrikas jäi ta siiski kõrvale .",,,
4415608,7101201,12,sünnitama,,ad,plats,platsil,1994. aasta 25. juulil kell 18.10 sünnitas napsitanud Tatjana M. Tallinnas Raekoja platsil lapse .,,,
8870990,14253374,19,naerma,,ad,meeleheide,meeleheitel,"Nii et meie teiega , kallid lugejad , oleme enese teadmata omandanud hulga fiktiivseid teadmisi ja naerame ülekohtuselt meeleheitel hullude üle , kes meile põlevisilmi Sannikovi maast ja Atlantisest vestavad .",,,
15304074,23892503,3,lugema,,el,judaism,judaismist,"Lugesin natuke judaismist ja sain aru , et nende Jahve kõige tähtsamaks eesmärgiks oli juudi rahva ühendamine , et iga juut tunneks end osana oma rahvast .",,,
4984633,8003961,9,keelduma,,el,kandmine,kandmisest,"( 1 ) Alkoholiregistri volitatud töötleja keeldub alkoholi kandmisest alkoholiregistrisse , kui taotleja :",,,
6465711,10396854,1,jääma,puudu,ad,Kaarel,Kaarlil,Kaarlil jääks paar kuud puudu .,,,
841520,1341184,11,uskuma,,el,kaotus,kaotusest,"Bush õnnitles McCaini telefoni teel ja ütles valimispeol , et kaotusest hoolimata usub ta kindlalt oma võitu .",,,
12404425,19859751,5,täituma,,el,õppemaks,õppemaksudest,"Eraülikoolide eelarve täitub peamiselt õppemaksudest , ning sõltumatust riiklikust rahastamisest tuleb kindlasti hinnata meie tugevusena .",,,
8007294,12844254,11,andma,,el,Kärlda,Kärldast,"Vaatan nüüd iga päev ilm.ee-st reaalajas videopilti , Kuressaarest ( Kärldast pilti veel ei anna ) , Tartust , Tallinnast , ja püüan mõistatada , mis mind seal ees ootab .",,,LOC
4927347,7911349,5,üllatuma,,el,jõudmine,jõudmisest,"Haridusministeerium oli sellise teabe jõudmisest kooli üllatunud , kuna tegemist oli rangelt järelvalvetalituse sisese informatsiooniga .",,,
12850265,20554140,19,jääma,puudu,ad,AGA,AGA-l,"Mängudega 0 : 2 taga olnud AGA/Löfbergs Lila võitles välja õiguse viiendaks finaalmänguks , võidustki jäi AGA-l ainult kriimu võrra puudu .",,,LOC
3238663,5203718,20,saama,peksma,abl,kajakas,kajakatelt,""" Kajakakoloonia turvas ka parte - iga röövel , kas kanakull või keegi teine , kes lähenes , sai kajakatelt armutult peksa , "" lausus Ojaste .",,alive,
6007471,9641622,5,seletama,,all,reisija,reisijale,"seletab ta peaaegu igale reisijale eraldi , et laevakaart ehk pilet tuleb võtta must-joon-allpool kätte ja see vastavast avast reipalt ?",,alive,
7863237,12597403,7,jääma,puudu,el,meel,meelest,"Võibolla neil on puudu jäänud kriitilisest meelest , et võibolla ma ühel heal päeval ei olegi enam kirjanik , ei ole enam pädev , aga nojah , nad on selleks hakanud ...",,,
3252251,5226127,8,muutma,,all,jõuluturg,jõuluturule,Jõulude ajal muudab vaade tuledes Raekoja platsi jõuluturule ja jõulukuusele restorani ekstra õdusaks .,,location,
13591868,21733279,9,meenuma,,all,sookruus,Sookruusile,"Esimese välisjaama kuulamise kogemusena meenub praegu kultuuriministeeriumi osakonnajuhile Sookruusile 1956. aasta , kui ta Ameerika Häälest kuulis Nõukogude tankide sissetungist Budapesti .",,,
704743,1121702,4,astuma,üles,ad,allee,alleel,"Muusikutest astusid Kaarli alleel üles Teddy & The Jukebox , Cool D , Camille & The Band , Apelsin ja Sämm .",,location,
9659832,15501659,11,tulema,järele,all,kimp,kimbule,Valisime koos müüjannaga roosid välja ja tulin siis kokkulepitud ajal kimbule järele .,,,
8790412,14108461,10,seostuma,,ad,avalikkus,avalikkusel,"On tõsi , et septembri algusega seostub kõige laiemal avalikkusel ikka üldhariduskool .",,,
6080929,9760667,19,liituma,,ad,aasta,aastal,"1961. aastal sündinutest , kellele 2003. aasta oli viimane võimalus asuda kogumispensioni koguma , on liitunuid 11 895. 1960. aastal sündinutest liitus kogumispensioniga 11 688 ning 1959. aasta omadest 11 365 inimest .",,,
3589,6056,6,mõjuma,,all,figuur,figuurile,Kiire elustiil on TÕNIS MÄGI figuurile soodsalt mõjunud .,,,
11932314,19094209,6,jääma,puudu,ad,paat,paatidel,Eilsetes poolfinaalides jäi kõigil Eesti paatidel üks koht A-finaalist puudu .,,,
1201768,1910789,7,meenutama,,all,ise,endale,"Et kriisiga toime tulla , meenutage endale :",,,
5704260,9149465,8,tegema,,ad,Balkan,Balkanil,"Täpselt sedasama , mida on kõiksugused äärmuslased Balkanil aastasadade vältel varemgi teinud : kuhjata pingeid , lootes nõnda ligi tõmmata "" põhimängijaid "" ja sundida neid piire muutma .",,location,LOC
1575509,2506137,8,tegema,välja,all,muusik,muusikutele,Oma sünnipäeva puhul teeb ta välja nii muusikutele kui raadiomajas .,,alive,
14089660,22434452,5,kinkima,,ad,erakontsert,erakontserdil,"McCartney kinkis elu esimesel erakontserdil sünnipäevalapsele 50 roosi ning kandis ette biitlite laulu « Birthday » , mille saatel abielupaar tantsu keerutas .",,,
5946882,9546576,3,küsitama,,abl,igaüks,igaühelt,Kusjuures mitte igaühelt ei küsita vanust .,,,
515118,811167,5,rääkima,,ad,kogunemine,kogunemistel,"Kui sa räägid avalikel kogunemistel vaid inglise keelt , saavad inimesed vihaseks , "" ütles ta ajalehele The Times .",,event,
1931743,3078471,7,saama,läbi,ad,võistlus,võistlustel,""" Kahel viimasel aastal staadionil korraldatud võistlustel saime samuti läbi eredate tippudeta , kuid Eesti rekordid ja hooaja tipptulemused sündisid siiski , "" lisas sprinterina Eesti koondisse kuuluv Tishler .",,event,
2096398,3345617,12,kõlama,,ad,poolsosin,poolsosinal,""" Ah , teeme siis arvutiga , "" kõlab Nüganeni suust poolsosinal kui soomeugri nõia ürgloits , kui sajatuslik sosin , mis vaenlased aeglaselt neljaks lõikab , mäed paigast nihutab ning päikese tumestab .",,,
2165017,3458911,8,avaldama,,ad,briifing,briifingul,"Rait Lukas avaldas täna BREMi poolt korraldatud briifingul kahtlust , et linnavalitsus on avaldanud Tallinna Küttele survet , et see eelistaks koostööpartnerina Minu Vara .",,event,
3106820,4988882,4,võistlema,,ad,kõvakate,kõvakattel,Putignanos võistlesid taas kõvakattel .,,,
4423555,7113714,25,korraldama,,all,beebi,beebidele,"Minu vestlus Kristiina Rummoga peatus paljudel inimolemise aspektidel , mille kohta tema tõi toredaid näiteid : "" Kui töötasin veel Kirovi Ravikeskuses , korraldasime beebidele iludusvõistluse .",,alive,
16389940,25331349,8,jätma,,ad,kinnikukkumine,kinnikukkumisel,Eestlastest ( või siin elunevate ) seaduserikkujate kinnikukkumisel Soomes ei jäta sealne press ühtaegu nii mõnu kui ka hirmuga kirjutamata Eestist kui kuritegevust eksportivast riigist .,,,
14603606,23064843,8,kehtima,,all,joogivesi,joogiveele,"Eisel kinnitas , et kui Eestis kehtib joogiveele kolm standardit - rahuldav , hea ja väga hea - , siis vastab männilinna vesi täielikult hindele "" väga hea "" .",,,
5668279,9091189,8,suutma,,all,laienemine,laienemisele,"Head meelt valmistab , et vaatamata agressiivsele laienemisele oleme suutnud suurendada efektiivsust ja kontserni käive on kasvanud müügipinnakasvust oluliselt kiiremini .",,,
6252207,10042690,24,sekkuma,,adit,turundustegevus,turundustegevusse,"Kohukesereklaami idee autori , reklaamifirma Idea juhatuse liikme Mark Eikneri arvates ületas Tallinna linnavõim oma volitusi , kui sekkus Idea kliendi AS Kohukese turundustegevusse .",,,
12443721,19922434,9,kehtima,,el,lõpp,lõpust,"Mo Mowlam kinnitas ju küll , et juuli lõpust kehtinud ralvarahu ( mille kuulutas välja Sinn Feini sõsarorganisatsioon IRA , Iiri Vabariiklik Armee ) vastab tingimusele , mille alusel valitsus on nõus Sinn Feini läbirääkimistele kutsuma .",,,
8787406,14104239,2,tegutsema,,el,avaminut,avaminutitest,Juba avaminutitest tegutsesid Põlva pallurid loiult ja ebakindlalt .,,,
13501034,21593747,13,poseerima,,all,Playboy,Playboyle,Rumeenia iluvõimlemisnaiskonnaga kaks korda MM-i tiitli võitnud Corina Ungureanu poseeris alasti rumeeniakeelsele Playboyle .,,,
3364219,5412756,23,tulema,välja,ad,kassett,kassetil,Niisamuti on V & K Holding tulnud mõlema formaadiga välja üheaegselt - veel mõni aeg tagasi tuli film tavaliselt enne välja VHS kassetil ja alles seejärel DVD-plaadil .,,location,
9008232,14483473,26,suruma,,ad,kohalolija,kohalolijatel,"Sekti liider  Hon-Ming Chen  oli ennustanud , et Jumal maabub just tema kodu lähedale Dallase äärelinnas Garlandis , ilmutab end sadu kordi , surub kõigil kohalolijatel kätt ja vestleb igaühega tema emakeeles .",,alive,
2562167,4110931,19,esinema,,ad,autorikontserd,autorikontserditel,"Eile naasesime koos muusikute Villu Veski , Tiit Kalluste ja Tanel Rubeniga Moskvast , kus esinesime Raimonds Paulsi autorikontserditel Kremlis .",,,
5018786,8055812,3,tulema,välja,ad,nutsutee,nutsuteel,"Ja kibuvitsa nutsuteel tuleb kohe punane värv välja , mis tee see on ?",,,
242485,387954,17,süüdistama,,in,haldussuutmatus,haldussuutmatuses,"Selle asemel , et oma unarusse jäänud haldustöö ära teha , süüdistab keskvõim hoopiski kohalikke omavalitsusi haldussuutmatuses ja püüab neid senisest veelgi tugevamasse administratiivsesse haardesse võtta .",,,
2834839,4546517,3,kärpima,,ad,kord,kordadel,Ka varasematel kordadel on energiaturuinspektsioon Eesti Energia hinnatõstmisplaane kärpinud ja Atoneni hinnangul püüavad Eesti Energia juhid inspektsiooni üle kavaldada .,,,
6708430,10792661,3,näitama,,all,FT,FT-le,"Rachid näitab FT-le dokumente , mille järgi kanti mainitud 65 miljonit dollarit arvele Chase Manhattan Banki ja investeeriti seejärel .",,,ORG
2319984,3714966,5,jätma,välja,ad,juht,juhul,"Kui NATO jätab antud juhul Läti välja ja võtab Eesti sisse , siis on Eesti kaitsmise kavatsus ikkagi äärmiselt küsitav ja NATO kaotab ikkagi usutavust .",,,
731353,1165133,6,vajama,,ad,auto,autol,Paar ringi hiljem vajas Schumi autol lisaks rehvidele vahetamist ka rool ning Ferraride õnn oli koos vihmaga kadunud .,,,
7371694,11832061,4,tõusma,püsti,ad,teine,teisel,"Kui ta parajasti teisel pool aeda püsti tõusis , haaras sulane ta oma tugevate käte vahele ning surus suu Manda huultele .",,,
1468588,2337260,9,seletama,,all,semu,semule,"Järgmisel päeval ma kuulsingi , kuidas punnsilm oma semule oravale seletas , et Ameerikas hakkavad kõik loomad varsti halloweeni tähistama .",,alive,
14297615,22698554,4,kubisema,,el,nõuanne,nõuannetest,"Ehkki naisteajakirjad kubisevad nõuannetest , kuidas end kaunistada ja ilusaks maalida , on Katrin Sangla meigiraamat esimene eestimaine terviklik jumestusjuhiste album , kus naisi õpetatakse meikima A-st ja B-st peale .",,,
3530559,5685511,17,toppima,,all,tüdruk,tüdrukule,"Astudes koos lapseohtu neiuga majja sisse , üritas ta ohvrilt jõuga riideid seljast rebida ja toppis tüdrukule käe seeliku alla .",,alive,
2661479,4269792,2,katkestama,,ad,õppeaasta,õppeaastal,"Eelmisel õppeaastal katkestas õpingud 88 seitsmenda klaasi poissi ja 26 tüdrukut , 176 kaheksanda klassi poissi ja 55 tüdrukut ning 283 üheksanda klassi poissi ja 114 tüdrukut .",,time,
17580089,26933311,39,vastama,,all,eelhindamine,eelhindamisele,"Liikmesriigid näitavad ka , et igas eesmärgi 2 kavas ettenähtud inimressursse ja tööhõivet käsitlevad , ESF-lt abi saavad ettevõtmised kuuluvad ümberkorraldusstrateegiasse , on kooskõlastatud teiste fondidega ning vastavad artikli 41 lõikes 2 nimetatud , inimressursside ja tööhõivega seotud eelhindamisele .",,,
2783311,4463395,12,toetama,,ad,siseturg,siseturul,Fondi kaudu toetavad EMP ja Norra uusi Euroopa Liidu riike laienenud siseturul ning soovivad vähendada sotsiaalseid ja majanduslikke erinevusi laienenud Euroopa majanduspiirkonnas .,,,
16647858,25624392,11,kaaluma,,ad,ndate,ndatel,"V6i endisaegsetest meestest Franco Columbo , kes oli 70'ndatel ilmselt oma kaalus tugevaim mees maailmas .",,,
12955886,20726587,11,määrama,,ad,pärastlõuna,pärastlõunal,Sellise karistuse määras Londoni Chelsea ja Rumeenia koondise ründajale eile pärastlõunal Inglismaa jalgpalliliit .,,time,
