"word","koht","aeg","seisund","sündmus","other_types"
arvamusküsitlus,,,,✓,tegevus
arvamusuuring,,,,✓,tegevus
arvates,,✓,,,abstr
arvevabrik,✓,,,,tegevus
AS,✓,,,,esitus
asendushooldus,,,✓,,tegevus
asenduskaristus,,,✓,✓,
asjalkäik,,,✓,,tegevus_tegu
asjalkäimine,,,✓,,tegevus_tegu
asjalugu,,,✓,,abstr/konkr
asjaolu,,,✓,,abstr/konkr
asperger,,,✓,,in_omadus
aspirantuur,,✓,,,abstr/konkr
assamblee,✓,,,✓,
assotsiatsioon,✓,,,,abstr
asteeniline,,,✓,,omadus
astenosfäär,✓,,,,osa
astmelaud,✓,,,,ese_instru
asumine,,,✓,,tegevus
asutus,✓,,,,abstr
asümmeetria,,,✓,,omadus_füüs
ATH,,,✓,,esitus
Atlas,✓,,,,in_müt
atoonia,,,✓,,omadus_füüs
auavaldus,,,,✓,tegevus_tegu
auditoorium,✓,,,,inimene
aug,,✓,,,esitus
august,,✓,,,esitus
augustikuu,,✓,,,esitus
aujärg,✓,,,,ese_instru
aukoht,✓,,✓,,
aukõrgendus,,,,✓,tegevus
aura,,,✓,,abstr
auring,,,,✓,tegevus
auruveski,✓,,,,ese_instru
austus,,,✓,,nähtus_psühh
aut,,,✓,,omadus_kval
autasustamine,,,,✓,tegevus
autodafee,,,,✓,tegevus_tegu
autofookus,✓,,,,omadus_füüs
autokauplus,✓,,,,ese_instru
automaatpiloot,,,✓,,ese_instru
autonoomia,,,✓,,abstr/konkr
autoomanik,✓,,,,in_omadus
autopiloot,,,✓,,ese_instru
autoralli,,,,✓,tegevus
auvärav,✓,,,,tegevus_tegu
ava,✓,,,,omadus_kval
avaala,,,,✓,vald
avakõne,,,,✓,ese_semio
avalikkus,,,✓,,inimene
avalik võim,✓,,,,abstr
avalöök,,,,✓,tegevus_tegu
avanemisperiood,,✓,✓,,
avapala,,,,✓,tegevus_tegu
avarii,,,✓,✓,
avastusretk,,,,✓,tegevus
avatakt,,,,✓,ese_kunst
baar,✓,,,,esitus_mõõt
balustraad,✓,,,,ese
banaalsus,,,✓,,tegevus_kõnetegu
bankett,,,,✓,toit
barokkansambel,✓,,,,in_roll
basaar,✓,,,✓,
BC,✓,,,,in_tegija
beebiootele,,,✓,,ADV_seisund
beebit ootama,,,✓,,VERB_seisund
Bermuda kolmnurk,✓,,,,nähtus
betoon,✓,,,,materjal/aine
biblioteek,✓,,,,ese_semio
bioloogiline kell,,✓,,,nähtus_loodus
bioloogiline surm,,,,✓,nähtus_loodus
biomarker,,,✓,,nähtus
bivakk,✓,,,✓,
black box,✓,,,,osa
blackout,,,✓,,omadus_füüs_värv
blokaad,,,✓,,tegevus_tegu
BMW,✓,,,,ese_instru
boks,✓,,,,ese_instru
boutique,✓,,,,esitus
brigaad,✓,,,,inimene
briljantpulm,,✓,,✓,
brutopind,✓,,,,omadus_füüs
Brüssel,✓,,,,in_roll
bufonaad,,,,✓,esitus
bumerang,,,✓,,ese_instru
bussipark,✓,,,,ese_instru
büroo,✓,,,,inimene
Camembert,✓,,,,toit
check-in,✓,,,,tegevus_tegu
Cheddar,✓,,,,toit
circulus vitiosus,,,✓,,abstr
condition humaine,,,✓,,abstr
Cooperi test,,,,✓,ese_semio
daatum,,✓,,,esitus_arv
DDoS-rünnak,,,,✓,tegevus
DDoS-rünne,,,,✓,tegevus
debiilsus,,,✓,,nähtus_psühh
defitsiit,,,✓,,ese
defitsiitne,,,✓,,omadus_kval
degust,,,,✓,tegevus
degustatsioon,,,,✓,tegevus
degusteerimine,,,,✓,tegevus
dehüdratatsioon,,,✓,,tegevus
dehüdratsioon,,,✓,,tegevus
dekoreerima,,,✓,,VERB_tegevus
dekreet,,✓,,,ese_semio
Delfi,✓,,,,ese_semio
delikaatsus,,,✓,,nähtus_psühh
delta,✓,,,,esitus_keel_täht
demarkatsioonijoon,✓,,,,kehaosa
demobilisatsioon,,,,✓,tegevus
