"word","koht","aeg","seisund","sündmus","other_types"
lähtepauk,,,,✓,nähtus_füüs
lähtepunkt,✓,,,,abstr
läide,,,✓,,materjal/aine
lämbumisoht,,,✓,,abstr/konkr
lämbus,,,✓,,nähtus_loodus
läte,✓,,,,abstr/konkr
läveesine,✓,,,,omadus_koht
lään,✓,,,,abstr
lööm,,,,✓,tegevus_tegu
lööming,,,,✓,tegevus_tegu
lööv,✓,,,,omadus_kval
lühinägelikkus,,,✓,,omadus_psühh
lühipuhkus,,,✓,✓,
lünett,✓,,,,ese_instru
maa-alused,,,✓,,in_müt
maa-arhitektuur,✓,,,,abstr/konkr
maabumissild,✓,,,,ese_instru
maagimaardla,✓,,,,materjal/aine
maailmaaeg,,✓,,,esitus_mõõt
maailmaareen,✓,,,,abstr
maailmaime,,,,✓,objekt
maailmakuulsus,,,✓,,in_roll
maailmareis,,,,✓,tegevus
maailmasõda,,,,✓,tegevus
maailmaturnee,,,,✓,tegevus
maakera,✓,,,,objekt_loodus
maakohtunik,✓,,,,in_elukutse
maakond,✓,,,,abstr/konkr
maapind,✓,,,,materjal/aine
maapuudus,,,✓,,abstr
maapäev,✓,,,✓,
maardla,✓,,,,materjal/aine
maasikakasvatus,✓,,,,tegevus
maastikumäng,,,,✓,tegevus_mäng
maastikuüksus,✓,,,,abstr
maavaldus,✓,,,,abstr/konkr
maavalitsus,✓,,,,inimene
maaviha,,,✓,,abstr
maavolikogu,✓,,,,in_elukutse
maaühendus,✓,,,,nähtus
madalhaljastus,✓,,,,tegevus
madalmets,✓,,,,taim
madalrõhulohk,✓,,,,nähtus_loodus
madis,,✓,,,esitus_keel_suhtlus
magaja,,,✓,,in_tegija
magamine,,,✓,,tegevus
magamisase,✓,,,,ese_instru
magistraat,✓,,,,in_elukutse
magneetumus,,,✓,,esitus_mõõt
mahasurumine,,,✓,,tegevus
mahasõidutee,✓,,,,ese_instru
mahasõit,✓,,,,tegevus_tegu
maheturg,✓,,,,abstr
mahlakuu,,✓,,,esitus
maiskond,✓,,,,in_roll
majaesine,✓,,,,omadus_koht
majakas,✓,,,,konkr
majanaaber,✓,,,,in_roll
majandus,✓,,,,vald
majanduskriis,,,✓,✓,
majaomanik,✓,,,,in_omadus
majatagune,✓,,,,omadus_koht
majoraat,✓,,,,abstr
maksalutikas,,,✓,,organism
maksumaksja,✓,,,,in_tegija
malev,✓,,,,in_roll
malevkond,✓,,,,abstr/konkr
malleus,,,✓,,kehaosa
mandlikivi,,,✓,,materjal/aine
maneežisõit,,,,✓,vald
manifestatsioon,,,,✓,tegevus_kõnetegu
mannetus,,,✓,,omadus_kval
mansardtuba,✓,,,,osa
mantia,,,✓,,ese_riie
manuaalfookus,✓,,,,omadus_füüs
maolävis,✓,,,,kehaosa
marabutt,✓,,,,in_roll
March,✓,✓,,,
mardikuu,,✓,,,esitus
marjamaa,✓,,,,abstr/konkr_omadus
marrastus,,,✓,,nähtus_loodus
marsirood,✓,,,,inimene
mart,,✓,,,in_roll
martüürium,,,✓,✓,
maruhoog,,,✓,,nähtus_loodus
masina-traktorijaam,✓,,,,esitus
maskeraad,,,,✓,abstr/konkr
massikaklus,,,,✓,tegevus
massikese,✓,,,,abstr/konkr
mastikorv,✓,,,,ese_instru
materjalipuudus,,,✓,,ese_semio
matinee,,,,✓,ese_riie
matk,,,,✓,tegevus
matke,,,,✓,tegevus
matšturniir,,,,✓,tegevus_mäng
matus,,,,✓,objekt
meander,✓,,,,esitus_kujutis
medalilootus,,,✓,,in_roll
meditsiiniteenistus,✓,,,,tegevus
meediagrupp,✓,,,,in_elukutse
meelehaigus,,,✓,,nähtus_psühh
meeleheitlik,,,✓,,omadus_psühh
meeleliigutus,,,✓,,nähtus_psühh
meelemõistus,,,✓,,omadus_psühh
meelemärkusetu,,,✓,,omadus_psühh
meelespidamine,,,,✓,nähtus_psühh
meelest,,,✓,,abstr
meelus,,,✓,,omadus_kval
meestejuuksur,✓,,,,in_elukutse
meilikoosolek,,,,✓,abstr/konkr
meistrikursus,,,,✓,tegevus
memoriaal,✓,,,✓,
menopaus,,✓,✓,,
menorraagia,,,✓,,nähtus_loodus
ment,✓,,,,in_elukutse
merejalavägi,✓,,,,in_roll
merekindlus,✓,,,,omadus_füüs
merekindlustus,✓,,,,abstr/konkr
merelennuvägi,✓,,,,in_roll
mereligidane,✓,,,,omadus
mereline,✓,,,,omadus
merelähedane,✓,,,,omadus
meremudaprotseduur,,,,✓,tegevus
meremärk,✓,,,,ese
mereoperatsioon,,,,✓,tegevus_tegu
merereis,,,,✓,tegevus
meresõda,,,,✓,tegevus
meretee,✓,,,✓,
merevägi,✓,,,,in_roll
merevärske,,,✓,,toit
meri,✓,,,,abstr/konkr
mesilaspesa,✓,,,,objekt_loodus
metallkonstruktsioon,✓,,,,ese_instru
metalltarind,✓,,,,ese_instru
meteoriidiplahvatus,,,,✓,nähtus_füüs
metsaalune,✓,,,,omadus_füüs
metsaistandik,✓,,,,taim
metsaomanik,✓,,,,in_omadus
metsapiir,✓,,,,nähtus_loodus
metsaretk,,,,✓,tegevus
metsavahikoht,✓,,,,abstr
miiliahi,✓,,,,ese_instru
miiliauk,✓,,,,ese_instru
miilits,✓,,,,in_elukutse
miinitõke,✓,,,,objekt
mikrograafia,,,✓,,vald
millennium,,✓,,,esitus
millenniumivahetus,,✓,,✓,
minevaasta,,✓,,,ADV_aeg
ministeriaal,,,,✓,in_roll
mint,,✓,,,esitus_mõõt
mints,,✓,,,esitus_mõõt
minut,,✓,,,esitus_mõõt
mis kärbes hammustas,,,✓,,esitus_keel_suhtlus
mitmepäevasõit,,,,✓,tegevus_tegu
mitmikmatus,,,,✓,objekt
mittevastavus,,,✓,,abstr
mk,✓,,,,abstr/konkr
mlvk,✓,,,,abstr/konkr
mnt,✓,,,,esitus
mobiilbüroo,✓,,,,ese_instru
mobilisatsioon,,,,✓,tegevus
moehaigus,,,✓,,nähtus
moetööstus,✓,,,,vald
moeäri,✓,,,,vald
momentum,,,✓,,omadus_kval
monogaamia,,,✓,,nähtus
monopolism,,,✓,,abstr/konkr
mootorrattaralli,,,,✓,vald
moraalipolitsei,✓,,,,in_roll
moritaat,,,,✓,ese_kunst
morsipidu,,,,✓,abstr/konkr
motojõuk,✓,,,,in_roll
motokross,,,,✓,vald
motoralli,,,,✓,vald
MTJ,✓,,,,esitus
muhk,✓,,✓,,
muinasjutuloss,✓,,,,ese_kunst
muinasmaakond,✓,,,,abstr/konkr
muinsus,,✓,,,objekt
mulk,✓,,,,in_rahvas
mullapõu,✓,,,,materjal/aine
mullavall,✓,,,,materjal/aine
mungaordu,✓,,,,in_roll
munitsipaliteet,✓,,,,inimene
mupo,✓,,,,in_elukutse
murdeekspeditsioon,,,,✓,tegevus
murdekoht,✓,✓,,,
murdepunkt,,✓,,✓,
murepilv,,,✓,,nähtus_psühh
murrujoon,✓,,,,esitus_tähis
muru,✓,,,,taim
mussoonmets,✓,,,,taim
mustpea,,,✓,,in_roll
mustpõrand,✓,,,,ese
mutualism,,,✓,,nähtus_loodus
muudkui,,✓,,,ADV_modaalsus
muul,✓,,,,loom
muusika-aasta,,✓,,✓,
muusikakeskus,✓,,,,ese_instru
muusikaklass,✓,,,,abstr
muusikalilava,✓,,,✓,
muutus,,,,✓,nähtus
mõhk,✓,,,,ese_anum
mõisaomanik,✓,,,,in_omadus
mõisapolitsei,✓,,,,in_roll
mõisapäev,,✓,,✓,
mõjuväli,✓,,,,abstr
mõnutunne,,,✓,,nähtus_psühh
mõra,,,✓,,nähtus_füüs
mõtiskelu,,,✓,,tegevus
mõtisklus,,,✓,,tegevus
mõttekoda,✓,,,✓,
mõttemõlgutus,,,✓,,tegevus
mõttetalgud,,,,✓,tegevus
mõttetus,,,✓,,tegevus_tegu
mõõduvõtmine,,,,✓,tegevus
mõõduvõtt,,,,✓,tegevus
mõõn,,,✓,,nähtus_loodus
mädakuu,,✓,,,esitus
mädapaise,,,✓,,nähtus
mädasoo,✓,,✓,,
mädavoolus,,,✓,,tegevus
mäekallak,✓,,,,objekt_loodus
mäeliustik,✓,,,,nähtus_loodus
mäenõlv,✓,,,,objekt_loodus
mäepääste,✓,,,,tegevus
mäerind,✓,,,,objekt_loodus
mäerinne,✓,,,,objekt_loodus
mäeveer,✓,,,,objekt_loodus
mägi,✓,,,,kogus
mägiaas,✓,,,,objekt_loodus
mägimets,✓,,,,taim
mäginiit,✓,,,,objekt_loodus
mäkk,✓,,,,ese_instru
mälestusloeng,,,,✓,ese_semio
mäluauk,,,✓,,nähtus_psühh
mälulünk,,,✓,,nähtus_psühh
mängukõlbmatu,,,✓,,omadus_kval
mängumaa,✓,,,,abstr/konkr
mängumaja,✓,,,,ese_instru
mängumuru,✓,,,,taim
mänguperiood,,✓,,✓,
mängurlus,,,✓,,tegevus
mänguruum,✓,,,,abstr
mänguvoor,,,,✓,tegevus_mäng
männik,✓,,,,taim
männimets,✓,,,,taim
männipuistu,✓,,,,taim
märatsema,,,✓,,VERB_psühh_emots
märg unenägu,,,✓,,nähtus_loodus
möödapääs,✓,,,,abstr
mürgel,,,,✓,tegevus
müsteerium,,,,✓,tegevus_tegu
müügivõrk,✓,,,,inimene
müük,,,✓,,tegevus
naaberala,✓,,,,vald
naabruskond,✓,,,,in_omadus
naba,✓,,,,kehaosa
naer,,,✓,,nähtus_psühh
naeruväärsus,,,✓,,konkr_omadus
naftajuhe,✓,,,,ese_instru
naftamaardla,✓,,,,materjal/aine
nagu muiste,,,✓,,omadus_kval
nagu muistegi,,,✓,,omadus_kval
nagu prillikivi,,,✓,,omadus_kval
nahakoi,,,✓,,loom_putukas
nahatööstus,✓,,,,vald
naisklubi,✓,,,,in_omadus
Naiskodukaitse,✓,,,,in_roll
naiskomisjon,✓,,,,in_omadus
naiskorporatsioon,✓,,,,in_omadus
naistejuuksur,✓,,,,in_elukutse
nakatumisoht,,,✓,,abstr/konkr
nakk,,,✓,,ese_instru
nakkusoht,,,✓,,abstr/konkr
naljakus,,,,✓,nähtus_psühh
naljalugu,,,,✓,ese_semio
nari,,,✓,,ese_instru
narkoos,,,✓,,tegevus_tegu
Narva-tagune,✓,,,,omadus_koht
needus,,,✓,,abstr/konkr
neetliide,✓,,,,ese_instru
nefriit,,,✓,,materjal/aine
nekrutivõtmine,,,,✓,tegevus
nelikmõrv,,,,✓,tegevus_tegu
neljapäev,,✓,,,esitus
netisõltuvus,,,✓,,nähtus_psühh
netopind,✓,,,,omadus_füüs
neuriit,,,✓,,kehaosa
nimekaim,✓,,,,in_omadus
nimesponsor,✓,,,,in_roll
nimisponsor,✓,,,,in_roll
nire,✓,,,,materjal/aine
nišipartei,✓,,,,in_roll
nišš,✓,,,,abstr
noarünnak,,,,✓,tegevus_tegu
nohu,,,✓,,abstr
nokaut,,,✓,,tegevus_tegu
Nokia,✓,,,,abstr/konkr
nonkonformism,,,✓,,nähtus_psühh
noom,✓,,,,abstr/konkr
Noored Kotkad,✓,,,,in_roll
noor kuu,,✓,,,nähtus_loodus
noorkuu,,✓,,,nähtus_loodus
noorusmaa,✓,✓,,,
noorusrajad,✓,✓,,,
normaalnägevus,,,✓,,nähtus
normatiivsus,,,✓,,omadus_kval
notariaat,✓,,,,grupp
nov,,✓,,,esitus
november,,✓,,,esitus
novembrikuu,,✓,,,esitus
nuhtlus,,,✓,,tegevus_tegu
nukuhäll,✓,,,,ese_instru
nukulava,✓,,,,ese_instru
nukumaja,✓,,,,ese_instru
nukuteater,✓,,,,vald
nullpunkt,✓,,✓,,
nullseis,,,✓,,abstr/konkr
nulltsükkel,✓,,,,tegevus
nulumets,✓,,,,taim
nunnaordu,✓,,,,in_roll
nurgake,✓,,,,ese_semio
nurgakene,✓,,,,ese_semio
nurgaliide,✓,,,,ese_instru
nurgaseotis,✓,,,,ese_instru
nurkliide,✓,,,,ese_instru
nurkseotis,✓,,,,ese_instru
nutisõltuvus,,,✓,,nähtus_psühh
nutupill,,,✓,,in_omadus
nuum,,,✓,,tegevus
nuumvasikas,,,,✓,loom_liik
nuuter,,,✓,,taim_seen
nõgiseen,,,✓,,taim_liik
nõiaprotsess,,,,✓,tegevus
nõmmemets,✓,,,,taim
nõmmemännik,✓,,,,taim
nõmmik,✓,,,,taim
nõrgabstsess,,,✓,,materjal/aine
nõrgkiht,✓,,,,materjal/aine
nõrgmädanik,,,✓,,materjal/aine
nõtrus,,,✓,,omadus_kval
nõupidamistuba,✓,,,,osa
nädal,,✓,,✓,
nägemispiirkond,✓,,,,kehaosa
nägurielu,,✓,✓,,
näguripäevad,,✓,✓,,
nähtavuskaugus,✓,,,,esitus_mõõt
näilikkus,,,✓,,omadus_psühh
näilisus,,,✓,,omadus_psühh
näitus,,,,✓,ese_kunst
näljaaeg,,✓,✓,,
näljadieet,,,✓,,tegevus
näljahäda,,✓,✓,,
näotus,,,✓,,tegevus_tegu
näotustamine,,,,✓,tegevus_tegu
näpp,,,✓,,kehaosa
nätakas,,,,✓,tegevus_tegu
nüüdne,,✓,,,omadus_aeg
nüüdsus,,,✓,,abstr
oaas,✓,,,,abstr/konkr_omadus
obl,✓,,,,esitus
oblast,✓,,,,esitus
obstruktsioon,,,✓,,tegevus_tegu
odraiva,,,✓,,taim
Oe,✓,,,,esitus_mõõt
oht,,,✓,,abstr/konkr
ohvritalitus,,,,✓,tegevus
oja,✓,,,,nähtus_loodus
o-jalad,,,✓,,kehaosa
okasmets,✓,,,,taim
okaspuumets,✓,,,,taim
oksjonihaamer,,,,✓,ese_instru
okt,,✓,,,esitus
oktoobrikuu,,✓,,,esitus
olek,,,✓,,omadus_psühh
olemasolek,,,✓,,nähtus
olemasolemine,,,✓,,nähtus
olemasolu,,,✓,,nähtus
oligopol,,,✓,,abstr
olümpiaad,,✓,,✓,
olümpialootus,,,✓,,in_omadus
olümpiaturniir,,,,✓,tegevus_mäng
olümpiavõistlus,,,,✓,tegevus
omandus,,,✓,,abstr/konkr
omapära,,,✓,,abstr/konkr_omadus
omapärasus,,,✓,,abstr/konkr_omadus
omavalitsusliit,✓,,,,inimene
onko,✓,,,,omadus
onkoloogia,✓,,,,vald
ookean,✓,,,,abstr/konkr
ooperilava,✓,,,,ese_instru
ootejärjekord,,✓,,,abstr
ootus,,,✓,,abstr/konkr
Opa,✓,,,,in_sugulane
opritšnina,✓,,,,abstr/konkr
opteerimine,,,,✓,tegevus
oranž revolutsioon,,✓,,✓,
oratoorium,✓,,,,ese_kunst
oravapartei,✓,,,,in_roll
orelikontsert,,,,✓,ese_kunst
organisaator,✓,,,,in_roll
organiseerija,✓,,,,in_roll
orgia,,,,✓,nähtus
orjapõli,,✓,✓,,
orjapõlv,,✓,✓,,
orjus,,,✓,,nähtus
ort,✓,,,,osa
oruliustik,✓,,,,nähtus_loodus
orvand,✓,,,,esitus_kujutis
osakaal,,,✓,,omadus_kval
osaluskogu,✓,,,,in_roll
osatähtsus,,,✓,,omadus_kval
osavald,✓,,,,abstr
osaühing,✓,,,,inimene
ostalgia,,,✓,,nähtus_psühh
ostlemine,,,,✓,tegevus
ostubuum,,,✓,,nähtus
ostupaanika,,,✓,,nähtus
ostupalavik,,,✓,,nähtus
osturalli,,,,✓,tegevus
ostureis,,,,✓,tegevus
osturetk,,,,✓,tegevus
otsatus,✓,,✓,,
otsetee,✓,,,,tegevus_tegu
otsiskelu,,,✓,,tegevus
ovaal,✓,,,,esitus_kujutis
OÜ,✓,,,,inimene
paa,✓,,,,tegevus_tegu
paadilaenutus,✓,,,,tegevus
paanikahoog,,,✓,,nähtus_psühh
paanikaosakond,,,✓,,in_omadus
paariminek,,,,✓,tegevus_muutus
paarimisaeg,,✓,,,nähtus_loodus
paarismatus,,,,✓,objekt
paaritumisaeg,,✓,,,nähtus_loodus
padrunipesa,✓,,,,ese_instru
paeluss,,,✓,,organism
paepealne,✓,,,,omadus_koht
pagar,✓,,,,in_elukutse
pagasiruum,✓,,,,ese_instru
pagasnik,✓,,,,ese_instru
pagass,✓,,,,ese_instru
pagulaspõlv,,✓,✓,,
pahempoolsus,,,✓,,omadus_kval
paigalmarss,,,✓,,tegevus_tegu
paigutus,,,✓,,abstr/konkr
paise,,,✓,,nähtus
paisutus,✓,,,,tegevus_tegu
pajustik,✓,,,,taim
pakettreis,,,,✓,tegevus
pakiruum,✓,,,,ese_instru
pakitsus,,,✓,,nähtus_psühh
pakktaru,✓,,,,ese_instru
pakkuja,✓,,,,in_tegija
palgaarmee,✓,,,,inimene
palgasõjavägi,✓,,,,inimene
palgavägi,✓,,,,inimene
paljus,,,✓,,omadus
paljusus,,,✓,,omadus
pallimuru,✓,,,,taim
palumets,✓,,,,taim
palumännik,✓,,,,taim
pansion,✓,,,,abstr/konkr
paopaik,✓,,,,abstr
paraad,,,,✓,abstr/konkr_omadus
paraadna,✓,,,,ese_instru
paradiis,✓,,✓,,
paradiisiaed,✓,,✓,,
paremad jahimaad,✓,,,,nähtus
parempoolsus,,,✓,,omadus_kval
paremus,,,✓,,abstr/konkr
pariteet,,,✓,,abstr
pariteetsus,,,✓,,abstr
parkimine,,,✓,,tegevus
parkimiskorraldaja,✓,,,,in_elukutse
parosmia,,,✓,,nähtus_loodus
pars,✓,,,,in_rahvas
parteikontor,✓,,,,in_elukutse
parter,✓,,✓,,
partokraatia,,,✓,,abstr/konkr
passikontroll,✓,,,,tegevus_tegu
patoloogia,,,✓,,vald
patronaat,,,✓,,abstr
patt,,,✓,,abstr/konkr
paus,,✓,✓,,
peaaltar,✓,,,,ese_instru
peaassamblee,✓,,,✓,
peagi,,✓,,,ADV_aeg
pealeminek,,,,✓,tegevus_tegu
pealepoole,✓,,,,abstr
pealesõidutee,✓,,,,ese_instru
pealesõit,✓,,,,tegevus_tegu
pealisehitus,✓,,,,abstr/konkr
pealpool,✓,,,,abstr
peas,,,✓,,nähtus_psühh
peast,,,✓,,nähtus_psühh
peenis,✓,,,,kehaosa
peiteaeg,,✓,✓,,
peiteperiood,,✓,✓,,
peitveri,,,✓,,materjal/aine
pekki,,,✓,,esitus_keel_suhtlus
pekkis,,,✓,,esitus_keel_suhtlus
pelgupaik,✓,,,,abstr
peljupaik,✓,,,,abstr
pension,,,✓,,ese_raha
pensionipõli,,✓,✓,,
pensionipõlv,,✓,✓,,
pensionipäevad,,✓,✓,,
pensionäripõli,,✓,✓,,
pensionäripõlv,,✓,✓,,
penss,,,✓,,ese_raha
pereheitmine,,,,✓,nähtus_loodus
pereside,,,✓,,tegevus
pereteraapia,,,,✓,tegevus
perfokas,,,,✓,ese_kunst
perifeeria,✓,,,,abstr
peripeetia,,,,✓,nähtus
personaaltreening,,,,✓,tegevus
personaaltrenn,,,,✓,tegevus
pervepealne,✓,,,,omadus_koht
petik,✓,,,,esitus_kujutis
petiknišš,✓,,,,esitus_kujutis
petlikkus,,,✓,,omadus_psühh
petturi sündroom,,,✓,,nähtus_psühh
Phoenix,✓,,,,taim
pidal,✓,,✓,,
pidepunkt,✓,,,,abstr
pidevusetus,,,✓,,omadus_abstr
pidi,✓,,,,abstr
pidurüü,,,✓,,ese_riie
pidusöök,,,,✓,toit
pihajoon,✓,,,,esitus_kujutis
pihakoht,✓,,,,esitus_kujutis
pihta,,✓,,,abstr/konkr
piigivõitlus,,,,✓,tegevus
piiluauk,✓,,,,ese_instru
piimane,,,✓,,omadus
piimaplekk,✓,,,,ese_instru
piimatööstus,✓,,,,vald
piiratus,,,✓,,omadus_psühh
piirdekonstruktsioon,✓,,,,ese_instru
piirdetarind,✓,,,,ese_instru
piiriala,✓,,,,abstr
piirikonflikt,,,,✓,tegevus
piirikontroll,✓,,,,tegevus_tegu
piirilähedane,✓,,,,omadus_kval
piirimaa,✓,,,,abstr_asend/suund
piirivalve,✓,,,,in_elukutse
piirjuht,,,,✓,nähtus
piirjuhtum,,,,✓,nähtus
piirkond,✓,,,,kehaosa
piiskopitool,✓,,,,abstr
piit,✓,,,,ese_instru
pikeering,,,✓,,tegevus_tegu
pikendus,,✓,,,konkr
pikisein,✓,,,,osa
pikkus,✓,,,,esitus_mõõt
pikkuskraad,✓,,,,esitus_mõõt
pikne,,,✓,,nähtus_loodus
pilaster,✓,,,,ese_kunst
pilditu,,,✓,,omadus_füüs
pilgar,,,,✓,tegevus
pilge,,,✓,,tegevus_kõnetegu
pilkaspime,,,✓,,omadus_füüs
pilvemets,✓,,,,taim
pilvepiir,✓,,✓,,
pilvisus,,,✓,,nähtus_loodus
pilvitus,,,✓,,nähtus_loodus
pimeduseriik,✓,,,,abstr/konkr_omadus
pimekurt,,,✓,,in_omadus
pimestus,,,✓,,tegevus_tegu
pingusetus,,,✓,,omadus_füüs
pinnamood,✓,,,,esitus_kujutis
pinnareljeef,✓,,,,esitus_kujutis
pinss,,,✓,,ese_raha
pioneerilaager,,,,✓,tegevus
pisarakiskuja,,,,✓,ese_kunst
pisarane,,,✓,,omadus_psühh
plahvatusoht,,,✓,,abstr/konkr
plangupilet,,,,✓,tegevus
plantaaž,✓,,,,tegevus
platel,,,✓,,ADV_seisund
platele,,,✓,,ADV_seisund
plate peal,,,✓,,ADV_seisund
plate peale,,,✓,,ADV_seisund
platoo,✓,,,,abstr/konkr
platskaart,✓,,,,ese_semio
play-off,,,,✓,abstr/konkr
play-off-mäng,,,,✓,tegevus_tegu
pleiss,✓,,,,konkr
plenaar,,,,✓,omadus_kval
pliidiesine,✓,,,,omadus_koht
plikaohtu,,,✓,,omadus
PMS,,,✓,,esitus_tähis
poeriiul,,,✓,,ese_instru
pohm,,,✓,,nähtus_psühh
pohmakas,,,✓,,nähtus_psühh
pohmas,,,✓,,omadus_kval
pohmell,,,✓,,nähtus_psühh
pohmelus,,,✓,,nähtus_psühh
poisikeseohtu,,,✓,,omadus
poisiohtu,,,✓,,omadus
poissmehepõlv,,✓,✓,,
polaarekspeditsioon,,,,✓,tegevus
polaarsus,,,✓,,omadus
pole nali,,,✓,,omadus_kval
pole nalja,,,✓,,omadus_kval
poliitkool,✓,,,,tegevus
politsei,✓,,,,in_elukutse
politseijaoskond,✓,,,,inimene
politseinik,✓,,,,in_elukutse
politseiosakond,✓,,,,inimene
poltliide,✓,,,,ese_instru
poltühendus,✓,,,,ese_instru
polundra,,,✓,,esitus_keel_suhtlus
polügaamia,,,✓,,nähtus
polügoon,✓,,,,esitus_kujutis
polüüp,,,✓,,loom
pommilöök,,,,✓,tegevus_tegu
pommirünnak,,,,✓,tegevus_tegu
pood,✓,,,,esitus
poodlemine,,,,✓,tegevus
poolhämar,,,✓,,omadus_füüs
poolipesa,✓,,,,ese_instru
poolkaar,✓,,,,esitus_kujutis
poolkaitse,,,✓,,in_roll
poolpilves,,,✓,,ADV_seisund
poolsammas,✓,,,,esitus_kujutis
poose,,,✓,,omadus_kval
popsipäev,,✓,,,abstr/konkr
pop-up,✓,,,,omadus_kval
pordu,,,✓,,omadus_kval
porikuu,,✓,,,esitus
portfellihaldur,✓,,,,in_elukutse
positsioonisõda,,,✓,,tegevus
posituur,,,✓,,abstr_asend/suund
postiteenistus,✓,,,,tegevus
postivahe,✓,,,,esitus_mõõt
postivedaja,✓,,,,in_elukutse
potilaat,,,,✓,esitus_keel_suhtlus
praegune,,✓,,,omadus_aeg
prahtija,✓,,,,in_tegija
praktikatund,,✓,,✓,
Prantsuse park,✓,,,,abstr/konkr
predispositsioon,,,✓,,omadus_kval
preemiareis,,,,✓,tegevus
preestriseisus,,,✓,,in_elukutse
premenstruaalne sündroom,,,✓,,esitus_tähis
presbüteerium,✓,,,,in_elukutse
presbüterlik kirik,✓,,,,in_omadus
presentatsioon,,,,✓,tegevus
pressikas,,,,✓,ese_semio
pretsedent,,,,✓,abstr/konkr
prii,,,✓,,omadus
priilt,,,✓,,ADV_viis
priima,✓,,,,omadus_kval
prioriteet,,,✓,,abstr_asend/suund
privaatruum,✓,,,,nähtus_psühh
profaansus,,,✓,,omadus_kval
Prokrustese säng,,,✓,,abstr/konkr
proloog,,,,✓,ese_semio
promenaad,✓,,,,ese_kunst
promotsioon,,,,✓,tegevus
promoveerimine,,,,✓,tegevus
proovilapp,✓,,,,ese_riie
proovitund,,✓,,✓,
prostratsioon,,,✓,,tegevus_tegu
protektoraat,✓,,,,abstr
protestiavaldus,,,,✓,abstr/konkr
protestipartei,✓,,,,in_roll
protsessioon,,,,✓,tegevus
pruukost,,,,✓,toit
prääks,,,✓,,nähtus_füüs
prügimägi,✓,,,,materjal/aine
prügitus,✓,,,,materjal/aine
puberteet,,✓,,,in_omadus
publikuhuvi,,,✓,,nähtus_psühh
pueblo,✓,,,,in_rahvas
pugerik,✓,,,,omadus_füüs
puhetis,,,✓,,taim
puhevil,,,✓,,ADV_seisund
puhkemets,✓,,,,taim
puhkepaus,,✓,✓,,
puhkus,,✓,✓,,
puhkusaeg,,✓,✓,,
puhkuseaeg,,✓,✓,,
puhvet,✓,,,,ese_instru
puhvi,,,✓,,ADV_seisund
puhvis,,,✓,,ADV_seisund
puidutööstus,✓,,,,vald
puiestee,✓,,,,ese_semio
puistu,✓,,,,taim
puitkonstruktsioon,✓,,,,ese_instru
puittarind,✓,,,,ese_instru
pulma-aastapäev,,✓,,✓,
pulmaaeg,,✓,,,nähtus_loodus
pulmajooks,,✓,,,nähtus_loodus
pulmapidu,,,,✓,nähtus_loodus
pulmareis,,,,✓,tegevus
pulmasõit,,,,✓,tegevus
pulmatseremoonia,,,,✓,tegevus
pult,✓,,,,ese_instru
punavõim,,,✓,,in_roll
pundis,,,✓,,ADV_viis
punker,✓,,,,ese_anum
punktivahe,✓,,,,abstr/konkr
puntis,,,✓,,ADV_viis
purgatoorium,✓,,✓,,
purjetus,,,,✓,tegevus_tegu
purustus,,,✓,,tegevus_tegu
puskarivabrik,✓,,,,ese_instru
puuaed,✓,,,,ese_instru
puudujääk,,,✓,,omadus
puudulikkus,,,✓,,omadus_kval
puudus,,,✓,,omadus
puue,,,✓,,omadus
puuistandik,✓,,,,taim
puusajoon,✓,,,,esitus_kujutis
puutepunkt,✓,,,,abstr
puutumus,,,✓,,abstr
põgenemistuba,✓,,,,tegevus_mäng
põhituumik,✓,,,,in_roll
põhjalaius,✓,,,,esitus_mõõt
põhjanaaber,✓,,,,in_rahvas
põhjapoolus,✓,,,,esitus
põhjuslikkus,,,✓,,omadus_kval
põigiti,✓,,✓,,
põik,✓,,,,omadus_füüs
põiki,✓,,✓,,
põiksein,✓,,,,osa
põiktee,✓,,,,ese_semio
põimukuu,,✓,,,esitus
põkkliide,✓,,,,ese_instru
põld,✓,,,,vald
põlevkivimaardla,✓,,,,materjal/aine
põlislaas,✓,,,,taim
põlismets,✓,,,,taim
põllumajandusala,✓,,,,vald
põllumajandusloendus,,,,✓,tegevus
põllupind,✓,,,,esitus_mõõt
põllutöökool,✓,,,,ese_semio
põlvekoht,✓,,,,ese_riie
põnevus,,,✓,,omadus_psühh
põnt,✓,,,,kehaosa
põrand,✓,,,,objekt
põrandapind,✓,,,,esitus_mõõt
põrge,,,,✓,tegevus_tegu
põrgukatel,✓,,✓,,
põuakuiv,,,✓,,omadus_füüs
põud,,,✓,,nähtus_loodus
põõsastik,✓,,,,taim
põõsastu,✓,,,,taim
päeva lõpuks,,✓,,,abstr/konkr
päevavari,,,✓,,ese_instru
pähesaamine,,,✓,,nähtus_psühh
pähklimets,✓,,,,taim
päikesepool,✓,,,,omadus_kval
päikesereis,,,,✓,tegevus_tegu
päis,✓,,,,kehaosa_loom
pärastpoole,,✓,,,ADV_aeg
pärilussõda,,,,✓,tegevus
päriselu,,,✓,,nähtus
pärisorjus,,,✓,,nähtus
pärispõlv,,,✓,,nähtus
pärjapanek,,,,✓,tegevus_tegu
pärlikee,,,,✓,ese_kunst
pärnamets,✓,,,,taim
pärnik,✓,,,,taim
pärusmaa,✓,,,,abstr/konkr
