"word","semantic_types"
ajusurnud,SEISUND
ajuturse,SEISUND
ajuudu,SEISUND
ajuvamm,SEISUND
ajuvapustus,SEISUND
ajuverevalum,SEISUND
ajuvigastus,SEISUND
ajuvähk,SEISUND
akadeemia,KOHT
akadeemiline puhkus,AEG
akadeemiline veerand,AEG
akadeemiline veerandtund,AEG
Akarnaania,KOHT
Akkerman,KOHT
Akko,KOHT
Akmola,KOHT
Akmolinsk,KOHT
aknaauk,KOHT
aknaava,KOHT
aknalaud,KOHT
aknanišš,KOHT
aknaorv,KOHT
aknapool,KOHT
aknapragu,KOHT
aknavahe,KOHT
akne,SEISUND
akraania,SEISUND
akromegaalia,SEISUND
Akron,KOHT
akropol,KOHT
Aksi,KOHT
Akste,KOHT
Aktau,KOHT
aktinomükoos,SEISUND
aktsiaettevõte,KOHT
aktsioon,sündmus
aktus,sündmus
aktusesaal,KOHT
Aktöbe,KOHT
akvatoorium,KOHT
akvedukt,KOHT
Akvitaania,KOHT
Ala,KOHT
alaalia,SEISUND
Alaania,KOHT
alaareng,SEISUND
Alabama,KOHT
alaealisus,SEISUND
alagrupiturniir,sündmus
alahappesus,SEISUND
Alaja,KOHT
Alajõe,KOHT
Ala-Järvere,KOHT
alakoormatus,SEISUND
alakoormus,SEISUND
alakorrus,KOHT
Alaküla,KOHT
alakülg,KOHT
Alakülä,KOHT
alalhoidumine,SEISUND
Alam-Austria,KOHT
Alam-Baieri,KOHT
Alam-Frangimaa,KOHT
alamik,KOHT
alamjooks,KOHT
alamkoda,KOHT
alamkorrakohus,KOHT
alamlus,SEISUND
Alam-Normandia,KOHT
Alam-Saksi,KOHT
Alam-Sileesia,KOHT
Alamõisa,KOHT
alanduslehter,KOHT
Alansi,KOHT
alanurk,KOHT
Alaotsa,KOHT
Ala-Palo,KOHT
Alapõdra,KOHT
Alaska,KOHT
Alaska poolsaar,KOHT
Alasoo,KOHT
alastiolek,SEISUND
alastirand,KOHT
alastus,SEISUND
Alastvere,KOHT
Ala-Suhka,KOHT
alatalitlus,SEISUND
alatare,KOHT
Alatau,KOHT
Ala-Tilga,KOHT
alatoidetud,SEISUND
alatoitumus,SEISUND
alatoitunud,SEISUND
Alatskivi,KOHT
Ala-Tsumba,KOHT
alatund,AEG
alatäitmine,SEISUND
alavalgustatud,SEISUND
alavalgustus,SEISUND
Alavere,KOHT
alavorm,SEISUND
Alavus,KOHT
alaväärsuskompleks,SEISUND
Albaania,KOHT
Albany,KOHT
Alberta,KOHT
Alberti järv,KOHT
Albion,KOHT
Ålborg,KOHT
Alborz,KOHT
Albu,KOHT
albuminuuria,SEISUND
Albuquerque,KOHT
Alekere,KOHT
Aleksandria,KOHT
Aleksandrovsk,KOHT
Aleksejevka,KOHT
aleksia,SEISUND
Alekvere,KOHT
alemaa,KOHT
Aleppo,KOHT
alepõld,KOHT
Aletschhorn,KOHT
Aleuudid,KOHT
Aleuudi saared,KOHT
alev,KOHT
Alevi,KOHT
alevik,KOHT
Aleviku,KOHT
alfa-gal-sündroom,SEISUND
Alföld,KOHT
alg,AEG
algaasta,AEG
algaeg,AEG
alghetk,AEG
algkodu,KOHT
algkolle,KOHT
algkool,KOHT
algkümnend,AEG
algmine,AEG
algminut,AEG
algpeatus,KOHT
algpäev,AEG
algule,AEG
algupool,AEG
algupäevad,AEG
algusaasta,AEG
