"word","code"
absorptsioon,tegevus
absorptsioonispekter,esitus_kujutis
absorptsioonitorn,ese_instru
absorptsioonlainemõõtur,ese_instru
ABS-pidurid,ese_instru
abstinents,omadus_psühh
abstraheerima,VERB_abstr
abstraheerimine,tegevus
abstraheerimisvõime,abstr
abstraheering,tegevus
abstraheeruma,VERB_abstr
abstraktne kunst,vald
abstraktne kääne,esitus_keel
abstraktsionism,vald
abstraktsionist,in_omadus
abstraktsioonivõime,abstr
abstraktsõna,esitus_keel
abstsiss,esitus_kujutis
abstsisstelg,esitus_kujutis
absurdihõnguline,omadus
absurdimaiguline,omadus
absurdism,abstr/konkr
absurditeater,abstr
absurdne,omadus_psühh
absurdsus,abstr/konkr
abt,in_elukutse
abtiss,in_elukutse
abutment,ese_instru
abuurapuu,taim
abuutilon,taim
Ac,materjal/aine
a cappella,ADV_viis
accelerando,ADV_viis
Achilleus,in_müt
Achilleuse kand,omadus_kval
Achilleuse kõõlus,kehaosa
action-film,ese_kunst
adaa,esitus_keel_suhtlus
adaadžo,ese_kunst
adamsiit,materjal/aine
adapteerima,VERB_muutus
adapteering,ese_semio
adapter,ese_instru
adaptiivne,omadus
adaptiivne radiatsioon,abstr
adaptiivradiatsioon,abstr
adaptogeen,materjal/aine
adektiivne,omadus_füüs
adekvaatne,omadus_kval
adeniin,materjal/aine
adenoviirus,objekt_loodus
ader,ese_instru
adessiiv,esitus_keel
adhereeruma,VERB_muutus
adherentne,omadus_füüs
adhesiivne,omadus_füüs
adhesioon,nähtus_füüs
adhesioonijõud,nähtus_füüs
ad hoc,omadus_kval
adiabaat,abstr/konkr
adiabaatiline,omadus_füüs
adiafoorid,abstr/konkr
adiantum,taim
aditiiv,esitus_keel
aditiivne,omadus
aditiivsus,omadus_abstr
adiuretiin,materjal/aine
adjektiiv,esitus_keel
adjektiivatribuut,esitus_keel
adjektiivne,omadus
adjektivatsioon,tegevus_muutus
adjektiveeruma,VERB_muutus
adjektiveerumine,tegevus_muutus
adjunkt,in_omadus
adjunktprofessor,in_elukutse
adjutant,in_elukutse
adjuvant,materjal/aine
adjöö,esitus_keel_suhtlus
ad libitum,ADV_viis
administratiivabinõu,abstr/konkr
administratiivkorras,ADV_viis
administratiivkulud,ese_raha
administratiivmeede,abstr/konkr
administratiivvastutus,abstr/konkr
administratiivõigus,vald
administratsioon,in_roll
administreerima,VERB_tegevus
Adonai,in_müt
adoonis,taim
adoptsioon,tegevus_tegu
adpositsioon,esitus_keel
adrahõlm,ese_instru
adrakohtunik,in_elukutse
adrakurg,ese_instru
adralusikas,ese_instru
adramaa,esitus_mõõt
adramaarevisjon,abstr/konkr
adramadrus,in_omadus
adranina,ese_instru
adrapõllundus,vald
adraraha,ese_raha
adrasajandik,esitus_mõõt
adratald,ese_instru
adratalupoeg,in_roll
adratera,ese_instru
adravannas,ese_instru
adrekas,materjal/aine
adrenaliinilaks,nähtus_psühh
adrik,in_roll
adrune,omadus
adrupeenar,nähtus_loodus
adruvall,nähtus_loodus
adsorbaat,materjal/aine
adsorbeerima,VERB_abstr
adsorbeeruma,VERB_toimuma
adsorbent,materjal/aine
adsorber,ese_instru
adsorptsioon,nähtus_füüs
adstraat,nähtus
adžaar,in_rahvas
adžaarlanna,in_rahvas
adžika,toit
aduktor,kehaosa
adulaar,materjal/aine
A-duur,abstr
advektsioon,nähtus_loodus
advendiküünal,ese_instru
adventiiv,omadus_kval
adventiivne,omadus_kval
adventiivtaim,taim_liik
adventism,abstr/konkr
adventist,in_omadus
adverb,esitus_keel
adverbiaal,esitus_keel
adverbiaallause,esitus_keel
