"value","semantic_type_code"
konsulaaresindus,koht_asutus
pankrotiseadus,abstr/konkr
aeglusti,ese_instru
Van,koht_geogr
juudi keel,in_rahvas_keel
lõunamaailm,koht_geogr_maailmajagu
pärimisregister,ese_semio
arhiiv,ese_semio
arhiiv,ese_semio
arhiiv,koht_asutus
põhjamaailm,koht_geogr_maailmajagu
kinnistustoimik,ese_semio
vasarakujuline,omadus
kestvalt,ADV_aeg
otseside,seisund
liitmine,abstr/konkr
liitmine,tegevus
liitmine,abstr/konkr
šiiitlus,abstr
šopahoolik,in_omadus
taasesitus,tegevus_tegu
varustuma,VERB_tegevus
šoor,in_rahvas
arutelu,tegevus_kõnetegu
arutelu,ese_semio
arutelu,tegevus_kõnetegu
arutelu,tegevus
zoospoor,organism
kindlustamine,tegevus
kindlustamine,tegevus
kindlustamine,tegevus
kindlustamine,tegevus
taak,ese_instru
don-quijote'lik,omadus_psühh
taavet,ese_instru
suhkurtõbi,seisund_haigus
suhkurdiabeet,seisund_haigus
taevakeha,nähtus_loodus
varjundiline,omadus_abstr
don-quijote'lus,nähtus_psühh
varretu,omadus
varjuldane,omadus
relvastus,tegevus
relvastus,ese_instru
tadžiklanna,in_rahvas
turvateenistus,tegevus
turvateenistus,koht_asutus
küütud,ese_riie
taga,ADV_aste
taga,ADV_seisund
taga,ADV_tulemus
taga,ADV_tulemus
taga,ADV_põhjus
taga,ADV_seisund
taga,ADV_seisund
taga,ADV_seisund
taga,ADV_aeg
taga,ADV_seisund
taga,ADV_aeg
taga,ADV_koht
taga,ADV_koht
taga,ADV_seisund
taga,ADV_koht
taga,ADV_koht
aparatuur,ese_instru
lömitamine,tegevus
lömitamine,tegevus
evakuatsioon,seisund
evakuatsioon,tegevus
kuritegevus,tegevus_tegu
klaasipuhasti,materjal/aine
klaasipuhasti,ese_instru
klaasipuhasti,ese_instru
doseerija,ese_instru
julgeolekuteenistus,koht_asutus
nüüdismaailm,abstr
seoses,abstr
vastasel juhul,ADV_põhjus
tagaõu,koht_ala
veehaare,koht_hoone
taga õhkama,VERB_psühh
tageetes,taim
maastikupilt,ese_kunst
maastikupilt,nähtus_loodus
maastikupilt,abstr/konkr
ebateadlikkus,nähtus_psühh
tükelduma,VERB_muutus
vehverments,taim
ebatõelisus,nähtus_psühh
rentnik,koht_asutus
rentnik,in_roll
üleskirjutamine,tegevus
üleskirjutamine,tegevus
meditsiiniasutus,koht_asutus
raviasutus,koht_asutus
kanalisatsioon,konkr
kanalisatsioon,ese_instru
taktikaline,omadus_kval
taktikaline,omadus_füüs
taktikaline,tegevus
taktikaline,abstr/konkr
raadioside,tegevus
raadioside,abstr/konkr
suurlinlik,omadus_kval
istutamine,tegevus
talihoole,tegevus
suvisus,omadus
vesipüks,nähtus_loodus
eelarvestaja,in_elukutse
kaablikanalisatsioon,ese_instru
kataifi,toit
lühinumber,esitus_arv
talurahvarahutus,sündmus
taluarhitektuur,abstr/konkr
märgulamp,ese_instru
sõjardlik,omadus_kval
sõjardlik,omadus
sõjavastasus,abstr
kassivabrik,koht_asutus
sõiduõpe,tegevus
tapatalgud,tegevus_tegu
lömitus,tegevus
lömitus,tegevus
pehmerobot,ese_instru
laekuma,VERB_liikuma
laekuma,VERB_liikuma
laekuma,VERB_liikuma
perekonnaseisuakt,ese_semio
ribalaius,esitus_mõõt
eestkoste,tegevus
eestkoste,abstr/konkr
eestkoste,abstr
eestkoste,tegevus
eestkoste,abstr/konkr
taro,taim
tarkusejumalanna,in_müt
kehavigastus,nähtus_füüs
tasakaalukunst,vald
tasakaalukunst,abstr
pilvekülv,tegevus
taluhäärber,koht_hoone
kataloogikaubandus,tegevus
katartiline,omadus_psühh
arranžeerija,in_tegija
süüvima,VERB_psühh_mõistus
tasuv,omadus_kval
perekonnaseisuamet,koht_asutus
mobiilivõrk,ese_instru
mobiilivõrk,abstr/konkr
arusaadamatus,seisund
notariaaltoiming,tegevus_tegu
üht pidi,ADV_viis
üht pidi,ADV_viis
üht pidi,ADV_koht
üht pidi,ADV_viis
näilikkus,seisund
näilikkus,omadus_psühh
garantiileping,ese_semio
krediitkaart,ese_semio
krediitkaart,ese_instru
vedrustus,ese_instru
teatriarvustus,ese_semio
piirsumma,ese_raha
veermik,ese_instru
matusekulud,ese_raha
teenar,ese_raha
kämpuma,VERB_muutus
teerist,koht_ala
raadiosagedus,ese_semio
raadiosagedus,abstr/konkr
teeseen,organism
tegu,toit
tegu,nähtus
tegu,tegevus_tegu
tegu,tegevus
kesksagedus,nähtus_füüs
tehiskärg,ese
küsitav,in_omadus
küsitav,omadus_kval
lasuma,VERB_seisund
lasuma,VERB_seisund
lasuma,VERB_seisund
lasuma,VERB_psühh
näotult,ADV_viis
näotult,ADV_viis
diplomaatiline esindus,koht_asutus
tekstsõnum,ese_semio
informatsiooniline enesemääramine,abstr/konkr
saaja,in_tegija
saaja,in_tegija
tasuta,omadus
tasuta,seisund
tasuta,ADV_viis
telekeskus,koht_asutus
ostu-müügileping,ese_semio
tellimiskiri,ese_semio
paarissõitja,in_elukutse
täienema,VERB_muutus
kaubandusesindus,koht_asutus
teraleib,toit
adressaat,in_omadus
adressaat,koht_asutus
adressaat,in_omadus
lahti ühendama,VERB_tegevus
teorb,ese_instru
alltöövõtt,tegevus
alltöövõtt,abstr/konkr
terministandard,ese_semio
termofiilne,omadus_füüs
rohtkate,taim_liik
suss,ese_riie
salasõna,esitus_keel
salasõna,esitus_keel
nomenklatuur,abstr/konkr
nomenklatuur,in_roll
nomenklatuur,ese_semio
nomenklatuur,abstr/konkr
terroristlik,omadus
kriisiolukord,seisund
omandivorm,abstr
terrorivõrgustik,koht_asutus
terrorivõrgustik,inimene
kiirusmõõdik,ese_instru
toiduteravili,taim
ekspertkomisjon,in_roll
terviseuuring,tegevus_tegu
autobensiin,materjal/aine
tervislik,omadus
tervislik,omadus_kval
testikatse,tegevus_tegu
veondus,vald
tiidakile,omadus_füüs
tiigikalakasvatus,vald
tiivaulatus,esitus_mõõt
sisevalgustus,nähtus_füüs
tilksüda,seisund_haigus
mittetulunduslik,omadus
esiklaas,ese_instru
asjatundja,omadus_kval
asjatundja,in_roll
asjatundja,in_omadus
tirtsuke,in_omadus
tirtsuke,inimene
tituleerima,VERB_suhtlus
toatemperatuur,nähtus_füüs
toatemperatuur,nähtus_füüs
tissivest,ese_riie
toengiste,tegevus_tegu
toengseis,abstr_asend/suund
toitemask,materjal/aine
toiteadapter,ese_instru
kaltsakproletaarlane,in_omadus
helikunst,vald
kuiselt,ADV_aeg
kusjuures,esitus_keel
kusjuures,ADV_põhjus
tookord,ADV_aeg
veerandaasta,esitus
veerandaasta,aeg
käendaja,in_roll
kultuuriala,koht_ala
kultuuriala,abstr/konkr
sisemaalane,in_omadus
loomeliit,koht_asutus
loomeliit,in_omadus
näitekunst,vald
tapaloom,loom_omadus
teatrikunst,vald
tegevdirektor,in_elukutse
seltsielu,tegevus
seltsielu,nähtus
seltsielu,tegevus
tööjaotus,abstr
tööjaotus,abstr
vabaharidus,abstr
kannibaalsus,omadus_psühh
karikatuursus,omadus_kval
taasgaasistamine,tegevus
kanoniseeruma,VERB_abstr
kanoniseeruma,VERB_abstr
kujundujuja,in_tegija
rahasumma,ese_raha
tossike,in_omadus
tossike,omadus_kval
pükse pidi,ADV_viis
askeetlikkus,nähtus
longero,toit_jook
paastuja,in_tegija
testamenditäitja,in_roll
peel,ese_instru
transrasv,materjal/aine
treeninguplaan,ese_semio
transudaat,materjal/aine
transudatsioon,seisund_haigus
maaomand,abstr/konkr
trepitõstuk,ese_instru
raadioamatöör,in_elukutse
trillerdama,VERB_nähtus
trillerdama,VERB_nähtus
trikikas,ese_instru
trikikas,abstr/konkr
trikikas,omadus
pilkeliselt,ADV_viis
efektikus,omadus_kval
aiamaja,koht_hoone
aiamaja,koht_hoone
taluperemees,in_roll
lõuend,ese_semio
lõuend,ese_kunst
lõuend,materjal/aine
padjake,ese_instru
padjake,materjal/aine
padjake,ese_instru
trükitu,abstr/konkr
pikkmaja,koht_hoone
oivalisus,seisund
rahvapension,ese_raha
kaitserežiim,abstr/konkr
eksperimenteerija,in_omadus
ekspluateerija,in_omadus
MAMIL,in_roll
külm koht,koht_suund/asend
lääneloe,koht_suund/asend
kileviiner,toit
kileviiner,in_roll
suitsupoi,ese_instru
selguma,VERB_psühh_mõistus
selguma,VERB_nähtus
taevaluud,nähtus_loodus
padjakene,ese_instru
tugitaim,taim_liik
kohtuhaldus,abstr/konkr
üldisik,esitus_keel
kaas,ese
kaas,ese
kaas,nähtus_loodus
kaas,ese_instru
kaas,ese_anum
tuisutaat,nähtus_loodus
askeldama,VERB_liikuma/liigutama
askeldama,VERB_liikuma
süüdost,koht_suund/asend
süüdost,esitus
lõuna,aeg
lõuna,koht_suund/asend
lõuna,aeg
lõuna,toit
lõuna,tegevus
lõuna,sündmus
lõuna,koht
süüd,koht_suund/asend
edel,koht_suund/asend
edel,esitus_tähis
lõunalääs,koht_suund/asend
lõunalääs,esitus_tähis
lääs,koht_ala
lääs,koht_suund/asend
kõmmelduma,VERB_muutus
ida,koht_suund/asend
ida,koht
õhtu,toit
õhtu,tegevus
õhtu,sündmus
õhtu,sündmus
õhtu,aeg
õhtu,koht_suund/asend
põhjaõhtu,koht_suund/asend
tulikallis,omadus_kval
tulikallis,omadus_füüs
elektri- ja küttejaam,koht_asutus
vest,koht_suund/asend
paberitöö,tegevus_tegu
stressileevendaja,abstr/konkr
kontoritöö,tegevus
sõnnikut laotama,VERB_tegevus
niiskuskadu,nähtus
pankrotitoimkond,in_roll
okeanograafiline,omadus
okeanoloogiline,omadus
uppuma,VERB_seisund
uppuma,VERB_tegevus
uppuma,VERB_tegevus
uppuma,VERB_tegevus
tutt,kehaosa
tutt,ese
tutt,ese
tutt,konkr
tutt,ese_riie
tutt,tegevus
tutt,konkr
astmevahelduseta,omadus_kval
miinipilduja,ese_instru
miinipilduja,ese_instru
vesikaar,koht_suund/asend
tuubisõit,tegevus
ilmotsata,omadus_kval
ilmotsata,ADV_aste
imidž,abstr
tuultpidav,omadus
tuultolmlemine,tegevus
tuultolmlemine,nähtus_loodus
tuusik,ese_semio
eeltöötlus,tegevus_tegu
tõekspidamine,abstr/konkr
tõekspidamine,abstr
astmevahelduslik,omadus_abstr
ilmuke,nähtus_loodus
ilmukene,nähtus_loodus
uputama,abstr
uputama,VERB_tegevus
uputama,VERB_tegevus
uputama,VERB_tegevus
uputama,VERB_tegevus
uputama,VERB_seisund
uputama,VERB_nähtus
sõnavektor,abstr/konkr
harrastuskoor,inimene
täideviija,in_roll
e-rehkendus,sündmus
vangistus,tegevus
vangistus,seisund
vangistus,tegevus
vangistus,seisund
vangistus,tegevus
tõmmutiir,loom_lind
vabadusekaotus,abstr/konkr
vanglakaristus,tegevus
vanglakaristus,abstr/konkr
maha matma,VERB_tegevus
maha matma,VERB_psühh
maha matma,VERB_tegevus
kalapüügiõigus,abstr/konkr
Chattogram,koht_geogr
luteiin,materjal/aine
ksantofüll,materjal/aine
turvakontroll,tegevus_tegu
regress,abstr
regress,nähtus_loodus
regress,nähtus
tähtkarv,taim
regressiõigus,abstr
tagasinõudeõigus,abstr/konkr
kompromissettepanek,tegevus_kõnetegu
täipõrgu,koht_ala
täiskaliibriline,omadus_kval
abiellumisealine,omadus
abiellumisealine,aeg
