Column1,collection,morph,experiment,model,source,split,LAS
298,edt,am,2,malt,train,9,0.931
299,edt,am,2,malt,test,9,0.843
300,est_ud,am,2,malt,train,0,0.926
301,est_ud,am,2,malt,test,0,0.791
302,est_ud,am,2,malt,train,1,0.925
303,est_ud,am,2,malt,test,1,0.798
304,est_ud,am,2,malt,train,2,0.925
305,est_ud,am,2,malt,test,2,0.796
306,est_ud,am,2,malt,train,3,0.925
307,est_ud,am,2,malt,test,3,0.795
308,est_ud,am,2,malt,train,4,0.924
309,est_ud,am,2,malt,test,4,0.798
310,est_ud,am,2,malt,train,5,0.925
311,est_ud,am,2,malt,test,5,0.796
312,est_ud,am,2,malt,train,6,0.925
313,est_ud,am,2,malt,test,6,0.795
314,est_ud,am,2,malt,train,7,0.926
315,est_ud,am,2,malt,test,7,0.796
316,est_ud,am,2,malt,train,8,0.926
317,est_ud,am,2,malt,test,8,0.794
318,est_ud,am,2,malt,train,9,0.925
319,est_ud,am,2,malt,test,9,0.795
320,edt,gm,3,udpipe,train,0,0.907
321,edt,gm,3,udpipe,test,0,0.8498
322,edt,gm,3,udpipe,train,1,0.9118
323,edt,gm,3,udpipe,test,1,0.8545
324,edt,gm,3,udpipe,train,2,0.9092
325,edt,gm,3,udpipe,test,2,0.8377
326,edt,gm,3,udpipe,train,3,0.9112
327,edt,gm,3,udpipe,test,3,0.8614
328,edt,gm,3,udpipe,train,4,0.9111
329,edt,gm,3,udpipe,test,4,0.8496
330,edt,gm,3,udpipe,train,5,0.9064
331,edt,gm,3,udpipe,test,5,0.8541
332,edt,gm,3,udpipe,train,6,0.912
333,edt,gm,3,udpipe,test,6,0.8515
334,edt,gm,3,udpipe,train,7,0.9095
335,edt,gm,3,udpipe,test,7,0.8422
336,edt,gm,3,udpipe,train,8,0.9085
337,edt,gm,3,udpipe,test,8,0.8491
338,edt,gm,3,udpipe,train,9,0.9106
339,edt,gm,3,udpipe,test,9,0.8347
340,est_ud,gm,3,udpipe,train,0,0.9041
341,est_ud,gm,3,udpipe,test,0,0.8389
342,est_ud,gm,3,udpipe,train,1,0.9047
343,est_ud,gm,3,udpipe,test,1,0.8407
344,est_ud,gm,3,udpipe,train,2,0.9018
345,est_ud,gm,3,udpipe,test,2,0.8357
346,est_ud,gm,3,udpipe,train,3,0.9066
347,est_ud,gm,3,udpipe,test,3,0.842
348,est_ud,gm,3,udpipe,train,4,0.9051
349,est_ud,gm,3,udpipe,test,4,0.8392
350,est_ud,gm,3,udpipe,train,5,0.8986
351,est_ud,gm,3,udpipe,test,5,0.8376
352,est_ud,gm,3,udpipe,train,6,0.9069
353,est_ud,gm,3,udpipe,test,6,0.8401
354,est_ud,gm,3,udpipe,train,7,0.9037
355,est_ud,gm,3,udpipe,test,7,0.836
356,est_ud,gm,3,udpipe,train,8,0.9092
357,est_ud,gm,3,udpipe,test,8,0.8468
358,est_ud,gm,3,udpipe,train,9,0.9005
359,est_ud,gm,3,udpipe,test,9,0.8374
360,edt,gm,3,malt,train,0,0.929
361,edt,gm,3,malt,test,0,0.856
362,edt,gm,3,malt,train,1,0.929
363,edt,gm,3,malt,test,1,0.856
364,edt,gm,3,malt,train,2,0.93
365,edt,gm,3,malt,test,2,0.839
366,edt,gm,3,malt,train,3,0.929
367,edt,gm,3,malt,test,3,0.861
368,edt,gm,3,malt,train,4,0.929
369,edt,gm,3,malt,test,4,0.85
370,edt,gm,3,malt,train,5,0.929
371,edt,gm,3,malt,test,5,0.859
372,edt,gm,3,malt,train,6,0.929
373,edt,gm,3,malt,test,6,0.853
374,edt,gm,3,malt,train,7,0.93
375,edt,gm,3,malt,test,7,0.845
376,edt,gm,3,malt,train,8,0.93
377,edt,gm,3,malt,test,8,0.851
378,edt,gm,3,malt,train,9,0.931
379,edt,gm,3,malt,test,9,0.84
380,est_ud,gm,3,malt,train,0,0.938
381,est_ud,gm,3,malt,test,0,0.816
382,est_ud,gm,3,malt,train,1,0.937
383,est_ud,gm,3,malt,test,1,0.813
384,est_ud,gm,3,malt,train,2,0.938
385,est_ud,gm,3,malt,test,2,0.815
386,est_ud,gm,3,malt,train,3,0.937
387,est_ud,gm,3,malt,test,3,0.814
388,est_ud,gm,3,malt,train,4,0.937
389,est_ud,gm,3,malt,test,4,0.813
390,est_ud,gm,3,malt,train,5,0.938
391,est_ud,gm,3,malt,test,5,0.816
392,est_ud,gm,3,malt,train,6,0.938
393,est_ud,gm,3,malt,test,6,0.816
394,est_ud,gm,3,malt,train,7,0.937
395,est_ud,gm,3,malt,test,7,0.807
396,est_ud,gm,3,malt,train,8,0.938
397,est_ud,gm,3,malt,test,8,0.812
398,est_ud,gm,3,malt,train,9,0.938
399,est_ud,gm,3,malt,test,9,0.813
400,edt,am,3,udpipe,train,0,0.9068
401,edt,am,3,udpipe,test,0,0.8463
402,edt,am,3,udpipe,train,1,0.908
403,edt,am,3,udpipe,test,1,0.8408
404,edt,am,3,udpipe,train,2,0.9065
405,edt,am,3,udpipe,test,2,0.8508
406,edt,am,3,udpipe,train,3,0.9046
407,edt,am,3,udpipe,test,3,0.8421
408,edt,am,3,udpipe,train,4,0.9039
409,edt,am,3,udpipe,test,4,0.8445
410,edt,am,3,udpipe,train,5,0.906
411,edt,am,3,udpipe,test,5,0.8418
412,edt,am,3,udpipe,train,6,0.8989
413,edt,am,3,udpipe,test,6,0.8315
414,edt,am,3,udpipe,train,7,0.903
415,edt,am,3,udpipe,test,7,0.8348
416,edt,am,3,udpipe,train,8,0.9057
417,edt,am,3,udpipe,test,8,0.8376
418,edt,am,3,udpipe,train,9,0.9003
419,edt,am,3,udpipe,test,9,0.8406
420,est_ud,am,3,udpipe,train,0,0.8845
421,est_ud,am,3,udpipe,test,0,0.8187
422,est_ud,am,3,udpipe,train,1,0.8853
423,est_ud,am,3,udpipe,test,1,0.8183
424,est_ud,am,3,udpipe,train,2,0.8868
425,est_ud,am,3,udpipe,test,2,0.8192
426,est_ud,am,3,udpipe,train,3,0.8888
427,est_ud,am,3,udpipe,test,3,0.82
428,est_ud,am,3,udpipe,train,4,0.8861
429,est_ud,am,3,udpipe,test,4,0.8173
430,est_ud,am,3,udpipe,train,5,0.8886
431,est_ud,am,3,udpipe,test,5,0.8202
432,est_ud,am,3,udpipe,train,6,0.8891
433,est_ud,am,3,udpipe,test,6,0.8177
434,est_ud,am,3,udpipe,train,7,0.8858
435,est_ud,am,3,udpipe,test,7,0.8201
436,est_ud,am,3,udpipe,train,8,0.8886
437,est_ud,am,3,udpipe,test,8,0.8221
438,est_ud,am,3,udpipe,train,9,0.8819
439,est_ud,am,3,udpipe,test,9,0.8145
440,edt,am,3,malt,train,0,0.925
441,edt,am,3,malt,test,0,0.844
442,edt,am,3,malt,train,1,0.925
443,edt,am,3,malt,test,1,0.838
444,edt,am,3,malt,train,2,0.925
445,edt,am,3,malt,test,2,0.848
446,edt,am,3,malt,train,3,0.926
447,edt,am,3,malt,test,3,0.842
448,edt,am,3,malt,train,4,0.926
449,edt,am,3,malt,test,4,0.844
450,edt,am,3,malt,train,5,0.926
451,edt,am,3,malt,test,5,0.838
452,edt,am,3,malt,train,6,0.926
453,edt,am,3,malt,test,6,0.835
454,edt,am,3,malt,train,7,0.926
455,edt,am,3,malt,test,7,0.834
456,edt,am,3,malt,train,8,0.927
457,edt,am,3,malt,test,8,0.833
458,edt,am,3,malt,train,9,0.925
459,edt,am,3,malt,test,9,0.845
460,edt,gm,3.2,udpipe,train,0,0.9141
461,edt,gm,3.2,udpipe,test,0,0.8383
462,edt,gm,3.2,udpipe,train,1,0.9089
463,edt,gm,3.2,udpipe,test,1,0.8537
464,edt,gm,3.2,udpipe,train,2,0.9096
465,edt,gm,3.2,udpipe,test,2,0.8475
466,edt,gm,3.2,udpipe,train,3,0.9127
467,edt,gm,3.2,udpipe,test,3,0.8455
468,edt,gm,3.2,udpipe,train,4,0.9128
469,edt,gm,3.2,udpipe,test,4,0.857
470,edt,gm,3.2,udpipe,train,5,0.9137
471,edt,gm,3.2,udpipe,test,5,0.859
472,edt,gm,3.2,udpipe,train,6,0.9074
473,edt,gm,3.2,udpipe,test,6,0.8509
474,edt,gm,3.2,udpipe,train,7,0.9064
475,edt,gm,3.2,udpipe,test,7,0.8418
476,edt,gm,3.2,udpipe,train,8,0.9103
477,edt,gm,3.2,udpipe,test,8,0.85
478,edt,gm,3.2,udpipe,train,9,0.9138
479,edt,gm,3.2,udpipe,test,9,0.8477
480,est_ud,gm,3.2,udpipe,train,0,0.9001
481,est_ud,gm,3.2,udpipe,test,0,0.8343
482,est_ud,gm,3.2,udpipe,train,1,0.9049
483,est_ud,gm,3.2,udpipe,test,1,0.8418
484,est_ud,gm,3.2,udpipe,train,2,0.9034
485,est_ud,gm,3.2,udpipe,test,2,0.834
486,est_ud,gm,3.2,udpipe,train,3,0.906
487,est_ud,gm,3.2,udpipe,test,3,0.8361
