sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,tags,timex_tag,ekilex_tag,ner_tag
16941868,26039776,1,toonitama,,in,kihutuskõne,Kihutuskõnes,"Kihutuskõnes toonitas Soots liikmetega suhtlemise parandamist , mille ühe võimalusena nägi ta põllumeeste päeva pidamist , mis viimased kaks aastat ära on jäänud .",,,,
2587878,4153323,6,tabama,,abl,isik,isikutelt,"Septembris tabas toll Eestist saabunud isikutelt koguni üheksa kilo amfetamiini , mis oli peidetud väikebussidesse ehitatud peidikutesse .",,,,
11445834,18338463,4,lamama,,in,Haapsalu,Haapsalus,Goldy aga lamab Haapsalus neuroloogilises rehabilitatsiooni keskuses ja hoiab iseenda teadmata peos valget karukest .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
9792924,15712555,1,muutuma,,in,eraklus,Erakluses,"Erakluses muutuvad meeled ergemaks ja varem või hiljem saab ta vastuse , midagi ilmutatakse talle .",|S|AS|LS|ST|AST|LST|,,state,
14313817,22722880,5,harjuma,,in,pime,pimedas,"Kui Tallinnas olen harjunud pimedas jalutama , siis Moskvas ma seda ei taha .",,,,
10238958,16430207,4,lahkuma,,all,kõhuvalu,kõhuvalule,” Vaatamata ootamatule kõhuvalule lahkus Alsgaard Eestist meeldivate mälestustega .,|S|AS|LS|ST|AST|LST|,,state,
4322362,6953408,7,arvama,,in,Poola,Poolas,"Peatreener Jüri Lepp arvas pärast treeningkohtumisi Poolas , et parimal juhul õnnestub Eestil ühes mängus Slovakkiat võita .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
8675587,13919468,9,sõitma,,el,bensiinijaam,bensiinijaamast,Kaks päeva enne ärasõitu olid kolm meest Tartu bensiinijaamast koos Trommeliga Tallinna poole sõitnud ja maantee lähedal metsas spordikottides olnud asjad autosse peitnud .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,organisation,
11728624,18769009,17,leppima,kokku,in,Kremli,Kremlis,""" 1914 . aasta piiride taastamises "" leppisid Stalini Venemaa ja Hitleri Saksamaa kokku 23 . augustil 1939 Kremlis .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,,ORG
2678214,4296484,14,puhastama,,ad,nikerdus,nikerdusel,""" Kõige ilusamad hetked olid need , kui puhastad ja puhastad mingit detaili nikerdusel , oled juba päris kindel , et see võib olla mingi liigne mustus või värvilaik , mis niikuinii kohe küljest pudeneb ja siis lõpuks tuleb saasta alt päris ehe säilinud kuldornament välja , "" kirjeldab restauraator protsessi .",,,,
1346144,2140210,8,sattuma,,ill,hüsteerika,hüsteerikasse,""" Kuke väitel läheb eraldusruumi vaja ka hüsteerikasse sattunud kasvandike eraldamiseks - kooli tulevad lapsed on asotsiaalsetest peredest , kus laste närvisüsteem on häiritud .",|S|AS|LS|ST|AST|LST|,,state,
5931812,9522520,14,rikkuma,,ad,pärastlõuna,pärastlõunal,"HELSINGI , 6. august ( EPLO ) - Võõra riigi lennuk rikkus reede pärastlõunal Porvoo lähistel Soome õhupiiri , lennuk käis Soome õhuruumis umbes kilomeetri jagu .",|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,TIME,time,
11846093,18958228,2,lahvatama,,in,ajalugu,ajaloos,Paraolümpiate ajaloos lahvatas eile esimene dopingujuhtum : Saksamaa laskesuusataja Thomas Ölsneri proovist leiti anaboolse steroidi metenolooni jälgi .,,,,
3677736,5922608,24,vallanduma,,ad,põlemine,põlemisel,"Neist kõige tõsisema mõjuga on süsihappegaas ( CO2 ) , mis vallandub fossiilsete kütuste - kivisüsi , kütteõli , nafta , gaas - põlemisel .",,,,
3137786,5038670,3,lindistama,,ad,andmed,andmeil,"Eesti Päevalehe andmeil lindistas kapo telefonikõne , mille Ventsel võttis arestimajast oma advokaadile Lea Piirisalule pärast kahtlustatava esimest ülekuulamist , kus viibis juures ka Piirisalu .",,,,
17035938,26182662,1,vallandama,,in,Austraalia,Austraalias,"Austraalias vallandas suure pahameele juhtum 2004. aasta jaanuaris , kui mees võttis krokodillipuuri kaasa oma ühe kuu vanuse poja .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
2193537,3506070,2,keelduma,,in,esinemine,esinemises,"Eilses esinemises duuma ees ta lausa keeldus vastamast poliitilistele küsimustele , esitades selle asemel peaaegu et masendava täpsusega pildi Vene masendavast majandusseisust , puudutades nii naftahindasid ja erastamist kui ka pensione ja palgavõlgnevusi .",,,,
11275838,18070557,14,häirima,,in,küla,külas,"See koer oli juba pikemat aega häirinud elanikke Kerala osariigi Kollami piirkonna Pakakkadavu külas , kus nagu igal pool Indias on palju hulkuvaid koeri .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,,LOC
17552397,26903169,8,olema,koha,ad,külapäev,külapäeval,"Haeskas elab alaliselt umbes 75 inimest , külapäeval olid kohal ka nende sugulased ja tuttavad .",,,,
15302535,23889800,12,taanduma,,ad,võtmine,võtmisel,"Kui kogu asi taandub nende hiitega vaid juriidikale hiite looduskaitse alla võtmisel , siis palgake enesele esindaja ja las ta lahendab teie nimel need juriidilised paberlikud probleemid - maausu sisu need paberid ju ei puuduta .",,,,
6216099,9983579,13,sõitma,,in,Mosul,Mosulis,"MOSUL , 26. juuni ( Reuters-EPLO ) - Enesetaputerrorist sõitis autoga Põhja-Iraagis Mosulis pühapäeval politsei peakorteri juurde ja lasi end õhku , purustades osa hoonest ja tappes vähemalt neli inimest .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
18063798,27482992,17,andma,,ill,kordon,kordonisse,"Mahu rahvas mäletab veel hästi , kuidas 1950ndatel piiras rannariba nähtamatu signaaltraat , mis andis liikujatest kordonisse märku .",,,,
1916904,3054148,3,ihkama,,in,Rooma,Roomas,"Tiidemann ihkas Roomas esikolmikusse pääseda , kuid tundis , et pole väga heaks esinemiseks valmis .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
6671391,10734018,8,esietenduma,,in,hoog,hoos,"Selle aasta 4. mail oli "" Nunnad hoos 2 "" esietendus , milles lõid kaasa ka Valga gümnaasiumi noored .",,,,
4826433,7749428,16,laiuma,,in,kese,keskmes,"Matemaatikud ning Kasparov eitavad , nagu seisaksid nende teooria taga natsionalistlikud motiivid - ehkki õpetuse keskmes laiub just Vene hiidimpeerium .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
6295502,10114693,2,kommenteerima,,in,alphagi,Alphagis,kommenteeris Alphagis ?,,,,
8219706,13190231,16,liikuma,,el,andmekogu,andmekogust,"Tänapäevane tehnoloogia võimaldab palju asju "" iseenesest "" ära teha – info liigub turvaliselt ühest andmekogust teise ja inimene ei pea igas riigi- ega omavalitsusasutuses sama küsimust uuesti kuulma .",,,,
3511512,5654407,5,sobima,,ill,jook,jookidesse,"Sobib suurepäraselt ka kuumadesse jookidesse , andes mõnusa maitse ja kaneeliaroomi .",,,,
1401537,2228926,14,määrama,,in,jaanuar,jaanuaris,"Kasuisa teadmisel kuritarvitas tüdrukuid seksuaalselt ka tema sõber , kellele Pärnu kohus määras jaanuaris nelja-aastase vabaduskaotuse .",|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,DATE,time,
2383896,3820016,8,paranema,,ad,tali,talvel,"Adlase sõnul paranes kiirabi jaoks olukord mullu talvel nõupidamiste tulemusena , kui määrati kindlaks kohad kuhu kodutuid majutada ja haiglad , mis on kohustatud kodutuid vastu võtma .",|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,DATE,,
8954990,14395928,22,avaldama,,in,Helsingi,Helsingis,"“ Selgelt paistab , et igas traditsioonilises maanurgas ei ole tulevikus asustust , ” kinnitab Tuulikki Petäjäniemi , kes avaldas eile Helsingis uurimuse “ Soome uus jaotus .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
8353849,13386234,7,tulema,välja,ad,määr,määral,Parteis ei tule välja see täiel määral .,,,,
7337244,11771992,15,tõstma,,el,vari,varjust,"Nähes mind veidi narmendavas kunstnahas kenitleva juraka sõrmede vahel , tõstis mu isand lauajala varjust ühe viina , aga väikese viina , ja ulatas "" kuningale "" .",,,,
2783382,4463498,14,planeerima,,ill,ettevõte,ettevõtetesse,"Liit planeerib tihedamat koostööd nii valitsusasutuste kui ka koolidega uute töötajate leidmiseks liidu ettevõtetesse , kavandatakse ka erialakoolide õpilastele stipendiumite andmist liidu liikmete poolt , erialasid propageerivaid tegevusi meedias , erialakonkursse , ümberõppe korraldamist jms.",,,,
17397077,26684002,4,kaduma,,el,kirjand,kirjandist,"Suht jah , kirjandist kaovad punktid , jutt eriti ei lipanud täna  .",,,,
14414944,22830243,6,leppima,kokku,in,lähteandmed,lähteandmetes,"Lepime esmalt veel kokku olulistes lähteandmetes : see on tõlge , raamat jõuab lugeja kätte kõvas köites , 1000-lises tiraažis ja lehekülgi on 320.",,,,
3540166,5700741,15,rakenduma,,el,sügis,sügisest,"Riigi kulul majanduse ja õigusteaduse õppijate arvu vähendamine on esimene märk sellest , et sügisest rakendub vähemalt osaliselt riikliku koolitustellimuse põhimõte .",|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,DATE,time,
12748535,20392870,8,kukkuma,,abl,rull,rullidelt,"Rehemaa tunnistas , et polnud neli aastat rullidelt kukkunud ega ka luid murdnud .",,,,
9162056,14728864,3,joonistama,,in,ajaloomuuseum,ajaloomuuseumis,"Tartu Ülikooli ajaloomuuseumis joonistasid lapsed kolme päeva jooksul oma kodulinna , nende töid saab näha samas avatud pliiatsinäitusel .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,organisation,
11887035,19021741,4,kiirustama,,adit,garderoob,garderoobi,"Juba kiirustavad nad garderoobi , kus neid ootavad saatjad ja väljas autod .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
8224435,13197330,11,pressima,välja,ad,tänav,tänaval,"27. oktoobril kell 16.10 teatati politseile , et Valgas Roosi tänaval pressisid kaks poissi ( snd 1992 , 1994 ) kolmelt nooremalt poisilt ( snd 1996 , 1997 , 1998 ) raha välja .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
1213186,1929664,27,kajastama,,in,paik,paigas,"Septembri lõpust 13 nädalat järjest TV3 ekraanil vändatav seriaal kajastab Eesti , Läti ja Leedu viisiku elu karmides saaretingimustes seni korraldajate ja ajakirjanike poolt saladusse jäetud paigas Läänemeres .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
13008603,20813646,7,kutsuma,,all,Iisrael,Iisraelile,"Islamiäärmusrühmituse Hamas sõjaline tiib kutsus võitlejaid Iisraelile kätte maksma kahe relvavenna tapmise eest eile Läänekaldal toimunud haarangus , mis kõigutas kuu aega kestnud vaherahu .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,,LOC
9985511,16017321,22,kujutama,,in,videopilt,videopildis,"Antud projekt on edasiarendus eelmisel aastal Sorose aastanäitusel “ Eesti kui märk ” auhinnatud tööst “ Ekspress ” , mis kujutas videopildis rongisõitu läbi suvise Eesti mere äärde .",,,,
12188113,19514222,5,väljuma,,ill,klubi,klubisse,"Õhtul väljub kontsertsaade Tartu klubisse Tallinn , kus toimub « R2 Live Extra » , esinevad Röövel Ööbik ja Ans .",,,,
8478389,13589826,12,kulgema,,in,enamus,enamuses,"Suur erinevus on aga see , et meie maratoni rada kulgeb enamuses mägedes , ” rääkis Eugen Peter , kes osaleb ka ise igal aastal oma maratonil .",,,,
948669,1510826,3,ütlema,üles,in,lõpp,lõpus,11 ringi lõpus ütles küll Minardi mootor üles ...,,,,
7111355,11437615,6,sattuma,,all,kaldpind,kaldpinnale,Ettevaatamatult kalpsates satub konn libedale kaldpinnale ja tuhiseb mäest käkaskaela alla .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
18037068,27442819,5,vaatama,tagasi,all,otsus,otsustele,"Kui ma vaatan nendele otsustele tagasi , siis ma seda loogikat sealt , lähtudes omaaegse ministeeriumi seisukohtadest , välja ei saa lugeda .",,,,
2284459,3657469,13,tabama,,in,juuni,juunis,"2001. aasta mais kadus maamunalt mitu Leena jõe äärset linna , tänavu juunis tabasid Põhja-Kaukaasiat ülitugevad paduvihmad , mägedel sulas igilumi .",|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,DATE,time,
9479844,15218927,12,juhtuma,,el,vahelejätmine,vahelejätmisest,"Aga kui raamat on huvitav , siis ei juhtu mõne peatüki vahelejätmisest midagi hullu .",,,,
403606,627926,6,kaikuma,,ad,tänav,tänaval,Pool viis õhtupoolikul kaiguvad Suur-Karja tänaval shoti rahvaviisid .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
1387933,2207470,10,köitma,,in,USA,USA-s,"Inimesele meeldib ka mäng ja seetõttu pole imestada kui USA-s köidab viimasel ajal miljonite vaatajate tähelepanu telesaade "" Who Wants to Be a Millionaire ? "" .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
7582840,12169681,7,ulatuma,,adit,hen,heni,Veinide puhul su rahakott Mont rac heni ei ulatu ja nii oled harju nud meie poodides levitatavate re servidega .,,,,
2796558,4484547,22,mõjutama,,ad,tegevusala,tegevusalal,"Majanduskasvu mõjutas finantsvahenduse kõrval kõige enam jätkuvalt kiire kasv töötleva tööstuse , hulgi- ja jaekaubanduse ning transpordi , laonduse ja side tegevusalal .",,,,
15339295,23956626,11,magama,,in,nari,naris,"Miks on nii , et kõik on kunagi väiksena maganud naris ?",,,,
2168959,3464856,19,teadma,,ad,liitumine,liitumisel,""" Ta küsis , mitu peatükki meil enne Kopenhaageni tippkohtumist veel sulgeda tuleb , ta teadis meie edusammudest liitumisel NATO-ga .",,,,
764252,1218350,18,kostma,,in,telefon,telefonis,"Natuke krõbedalt see kirja sai , aga nii on olnud , "" kostab ta paar päeva hiljem telefonis .",,,,
4266395,6864583,6,püstitama,,ill,Mustla,Mustlasse,Lippuse sõnul püstitab firma GSM-telefonimastid Mustlasse ja Viljandisse .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
1132870,1801245,2,õnnitlema,,ad,hommik,hommikul,Pühapäeva hommikul õnnitleme abikaasaga Anttit sünnipäeva puhul ja viime ta sadamasse .,|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,TIME,,
28281,48612,4,hakkama,,el,auto,autost,“ Nõrga mootoriga autost hakkab vahel lausa kahju . ”,,,,
9791703,15710543,2,peetama,,ad,kuju,kujul,"Klassikalisel kujul loenguid firmas ei peeta - õppejõud lihtsalt viivad läbi treeninguid , kuna see on osutunud efektiivsemaks .",,,,
14426473,22849543,3,kütma,,ad,nõva,Nõval,"Enim küttis Nõval emotsioone uudis , et maja hakatakse lammutama , üleeile , st samal päeval , kui vallavalitsus alles arutas lammutusloa kooskõlastamist .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
9721496,15598222,5,näima,,ad,laskejoon,laskejoonel,"“ Tulevast olümpiavõitjat ma laskejoonel küll ei näinud , aga see ei tähenda veel , nagu meil ei osataks ega tahetaks vibu lasta , ” poetab Kivilo tagasihoidlikult .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
9782765,15696056,5,teadma,,in,Helsingi,Helsingis,"Arvatavasti teavad paljud eestlased Helsingis Stockmanni kaubamaja vastas asuvat õllebaari , kus on võimalik osta üle 200 sordi erinevat õlut .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
16259691,25183000,36,tooma,tagasi,ill,riigieelarve,riigieelarvesse,"Kas komisjonis tuli ka jutuks selline temaatika , et kui mina saan tasulise arstiabi kasutamisel maksusoodustust , siis arsti sissetulek suureneb ja tema maksab minu raha pealt jällegi tulumaksu , mis toob tulumaksu jälle uuesti riigieelarvesse tagasi , aga selle tulemusel ei ole minu n-ö tulumaksuga maksustatav raha kulutatud mitte hilpude peale , vaid õilsal eesmärgil , tervise parandamiseks ?",,,,
2154293,3440879,5,kavandama,,in,projekt,projektis,"Siseministeeriumile kavandab valitsus lisaeelarve projektis 33 miljonit krooni , millest 11 miljonit eraldatakse Narva Piirivalvekordoni remondiks .",,,,
15974516,24841535,10,kurtma,,in,linuxi,linuxis,nüüd elab ta linuxi peal ja ta ei kurda  linuxis selle lahendamiseks oleks olnud vaja lihtsalt konfifailides mõne livecd distroga natuke surada .,,,,
8176541,13124720,1,pühitsema,,in,lõppkokkuvõte,Lõppkokkuvõttes,Lõppkokkuvõttes pühitseb abinõu aateline eesmärk .,,,,
16534584,25497516,20,kartma,,ad,jaaniöö,jaaniöölgi,"Elu lõpusirgel , Soomest poeetpagulasena Tjörnis , nüüd juba rikka kaasa Mia Berneri armutürmis , kartnud mustlase välimusega Pentti jaaniöölgi õlleund värskes õhus nautida , et ärkad aia ääres , aga vahepeal on riik sind ära kohitsenud ! ?",|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,,time,
377221,585722,29,pidama,,ill,TV,TVsse,""" Teadagi , et on halvemaid ja paremaid päevi , kuid mulle väga meeldib see , mis ma päevalehes teen , "" ei pea ta enda lõplikku siirdumist TVsse võimalikuks .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,,ORG
4987416,8007969,22,sukelduma,,ad,allveealune,allveealusel,"Nad sukelduvad 89 aastat tagasi uppunud ja 1523 reisijat ning meeskonnaliiget märga hauda viinud laevavraki pardale väikesel kolme inimest mahutavas Mir-tüüpi allveealusel , mille transpordib sündmuskohale vene uurimislaev Akadeemik Keldõš .",,,,
98551,166505,22,juhtuma,,el,õnnetus,õnnetustest,"Hellat Rumvolti arvates ei tohiks busside kõrgest vanusest siiski ennatlikke järeldusi teha , sest suisa tehnilistel põhjustel juhtub siiski ainult 4% õnnetustest .",|E|AE|EL|ET|AET|ELT|,,event,
15159923,23704077,20,teadma,,in,eakas,eakas,"Pole see norralanna Kristin Steiragi teab mis vana , kuid verinoorte kaasmaalaste Astrid Jacobseni ja Therese Johaugi kõrval siiski eakas .",,,,
4434222,7130687,4,vajuma,,in,kurv,kurvis,Vanker vajus kruusatee kurvis kraavi ja rammis parema küljega puud .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
6149804,9871392,8,püüdma,,in,hapnikunälg,hapnikunäljas,"Kolme viimase päevaga püüdsid Läänemaa kalamehed tonne hapnikunäljas kalu , kes trügisid Haapsalu tagalahest ja Saunja lahest kitsukesse Taebla jõkke .",|S|AS|LS|ST|AST|LST|,,state,
703282,1119286,2,lisanduma,,el,nädal,nädalast,"Järgmisest nädalast lisanduvad olemasolevatele jõulukaupadele jõuluteemalised kulinaartooted , mis valmivad Maksimarketi enda köögis .",|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,DATE,,
4473386,7193291,24,lisanduma,,ill,lahter,lahtrisse,"Noorte küllalt ükskõikne suhtumine võib aga viia selleni , et järgmise kuu üüriteatisel on korteri küttekulu jälle 30 krooni võrra suurem ning hoolduskulude lahtrisse on lisandunud näiteks renoveerimiskulud .",,,,
476246,747715,14,piinama,,ad,mis,millel,"Föderatsiooninõukogu üksmeelse poolehoiu võitmiseks alustas valitsus eilseid ettekandeid luurelt saadud videolõikude näitamisega , millel tshetsheeni bandiidid piinavad , alandavad ja tapavad venelastest pantvange .",,,,
5796708,9301028,14,hulkuma,,ad,reede,reedel,"KURESSAARE , 25. oktoober ( EPLO ) - Saaremaa veterinaarkeskuse andmeil olid üle-eelmisel reedel ning möödunud nädala teisipäeval Kuressaares hulkunud rebased marutaudis , kirjutab Meie Maa .",|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,DATE,time,
10413071,16704132,4,keelduma,,in,Rostov,Rostovis,"Ta keeldus Doni-äärses Rostovis telekaamera ees rääkima , nagu oleks kaitsepolitsei saatnud ta paigaldama pealtkuulamisseadmeid Venemaa kõrgete ametiisikute tööruumidesse ja suvilatesse .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
12565669,20109194,5,sulgema,,adit,tagaruum,tagaruumi,Seejärel sulgesid kurjategijad tanklatöötajad tagaruumi .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
10313894,16550830,3,vastama,,in,jõuluvanakontor,jõuluvanakontoris,"Päkapikk Pepe jõuluvanakontoris vastab telefonile Pepe ise , kes tegelikus elus kannab nime Helin ja veedab ülejäänud aja lapsega kodus .",,,,
