,word,government,verb_word,compound_prt1,compound_prt2,compound_prt3,government_with_case,case,adp,verb,other
2207,vastu vaidlema,kellele,vaidlema,vastu,,,all,all,,,
2208,vastu väitma,kellele/millele,väitma,vastu,,,all,all,,,
2209,vastukarva silitama,keda*,silitama,vastukarva,,,part,part,,,
2210,vastutama,kelle/mille eest,vastutama,,,,gen eest,gen,eest,,
2211,vati sees hoidma,keda*,hoidma,vati,sees,,part,part,,,
2212,vatti andma,kellele,andma,vatti,,,all,all,,,
2213,vedama,millega,vedama,,,,kom,kom,,,
2214,vedama,kellel,vedama,,,,ad,ad,,,
2215,veenduma,milles,veenduma,,,,in,in,,,
2216,veenduma,et,veenduma,,,,et,,,,et
2217,veenma,mida tegema,veenma,,,,part tegema,part,,tegema,
2218,veenma,milles,veenma,,,,in,in,,,
2219,veenma,keda*,veenma,,,,part,part,,,
2220,vehkima,millega,vehkima,,,,kom,kom,,,
2221,vehkima,mida teha,vehkima,,,,part teha,part,,teha,
2222,vehklema,millega,vehklema,,,,kom,kom,,,
2223,venitama,mida*,venitama,,,,part,part,,,
2224,venitama,millega,venitama,,,,kom,kom,,,
2225,verest välja lööma,keda,lööma,verest,välja,,part,part,,,
2226,vestlema,kellega,vestlema,,,,kom,kom,,,
2227,vestlema,millest,vestlema,,,,el,el,,,
2228,vett peale tõmbama,millele,tõmbama,vett,peale,,all,all,,,
2229,viga tegema,millele,tegema,viga,,,all,all,,,
2230,vigastama,mida,vigastama,,,,part,part,,,
2231,vihastama,keda*,vihastama,,,,part,part,,,
2232,vihastama,kelle/mille peale,vihastama,,,,gen peale,gen,peale,,
2233,vihastama,mille pärast,vihastama,,,,gen pärast,gen,pärast,,
2234,vihastuma,mille pärast,vihastuma,,,,gen pärast,gen,pärast,,
2235,vihastuma,kelle/mille peale,vihastuma,,,,gen peale,gen,peale,,
2236,vihjama,kellele/millele,vihjama,,,,all,all,,,
2237,vihjama,et,vihjama,,,,et,,,,et
2238,vihkama,keda/mida*,vihkama,,,,part,part,,,
2239,vihtuma,mida teha,vihtuma,,,,part teha,part,,teha,
2240,viibima,kus,viibima,,,,ad,ad,,,
2241,viima,kuhu,viima,,,,all,all,,,
2242,viima,keda/mida,viima,,,,part,part,,,
2243,viimast lihvi andma,millele,andma,viimast,lihvi,,all,all,,,
2244,viimsele teekonnale saatma,keda,saatma,viimsele,teekonnale,,part,part,,,
2245,viimsele teele saatma,keda,saatma,viimsele,teele,,part,part,,,
2246,viipama,millega,viipama,,,,kom,kom,,,
2247,viitama,millele,viitama,,,,all,all,,,
2248,viitsima,mida teha,viitsima,,,,part teha,part,,teha,
2249,viivitama,millega,viivitama,,,,kom,kom,,,
2250,vilistama,mille peale,vilistama,,,,gen peale,gen,peale,,
2251,vilistama,millele,vilistama,,,,all,all,,,
2252,villand olema,kellel,olema,villand,,,ad,ad,,,
2253,villand olema,millest,olema,villand,,,el,el,,,
2254,villand saama,millest,saama,villand,,,el,el,,,
2255,villand saama,kellel,saama,villand,,,ad,ad,,,
2256,viltu vaatama,kelle/mille peale,vaatama,viltu,,,gen peale,gen,peale,,
2257,viltu vaatama,kellele/millele,vaatama,viltu,,,all,all,,,
2258,vinguma,kelle/mille üle,vinguma,,,,gen üle,gen,üle,,
2259,vinguma,mille pärast,vinguma,,,,gen pärast,gen,pärast,,
2260,vinguma,kelle/mille kallal,vinguma,,,,gen kallal,gen,kallal,,
2261,virgutama,mida tegema,virgutama,,,,part tegema,part,,tegema,
2262,virgutama,keda/mida*,virgutama,,,,part,part,,,
2263,virisema,mille pärast,virisema,,,,gen pärast,gen,pärast,,
2264,virisema,kelle/mille kallal,virisema,,,,gen kallal,gen,kallal,,
2265,virisema,kelle/mille üle,virisema,,,,gen üle,gen,üle,,
2266,viskama,mida,viskama,,,,part,part,,,
2267,viskama,kuhu,viskama,,,,all,all,,,
2268,voli andma,kellele,andma,voli,,,all,all,,,
2269,volitama,keda,volitama,,,,part,part,,,
2270,volitama,mida tegema,volitama,,,,part tegema,part,,tegema,
2271,vormuma,milleks,vormuma,,,,tr,tr,,,
2272,vuntsi kargama,kellele,kargama,vuntsi,,,all,all,,,
2273,vähendama,mida*,vähendama,,,,part,part,,,
2274,väitlema,mille üle,väitlema,,,,gen üle,gen,üle,,
2275,väitma,et,väitma,,,,et,,,,et
2276,välja aitama,millest,aitama,välja,,,el,el,,,
2277,välja ajama,keda/mida,ajama,välja,,,part,part,,,
2278,välja ajama,kellele,ajama,välja,,,all,all,,,
2279,välja astuma,millest,astuma,välja,,,el,el,,,
2280,välja heitma,millest,heitma,välja,,,el,el,,,
2281,välja helistama,millest,helistama,välja,,,el,el,,,
2282,välja hääletama,millest,hääletama,välja,,,el,el,,,
2283,välja hüppama,millest,hüppama,välja,,,el,el,,,
2284,välja jooksma,millest,jooksma,välja,,,el,el,,,
2285,välja jooksma,mida,jooksma,välja,,,part,part,,,
2286,välja jooksma,millelt,jooksma,välja,,,abl,abl,,,
2287,välja juhatama,millest,juhatama,välja,,,el,el,,,
2288,välja jätma,millest,jätma,välja,,,el,el,,,
2289,välja jätma,kust,jätma,välja,,,abl,abl,,,
2290,välja jääma,millest,jääma,välja,,,el,el,,,
2291,välja jõudma,kuhu,jõudma,välja,,,all,all,,,
2292,välja jõudma,milleni,jõudma,välja,,,term,term,,,
2293,välja jõudma,kust,jõudma,välja,,,abl,abl,,,
2294,välja jõudma,millest,jõudma,välja,,,el,el,,,
2295,välja kallama,mida,kallama,välja,,,part,part,,,
2296,välja kallama,millest,kallama,välja,,,el,el,,,
2297,välja kantima,millest,kantima,välja,,,el,el,,,
2298,välja kasvama,millest,kasvama,välja,,,el,el,,,
2299,välja kooruma,millest,kooruma,välja,,,el,el,,,
2300,välja langema,kust,langema,välja,,,abl,abl,,,
2301,välja lõikama,millest,lõikama,välja,,,el,el,,,
2302,välja meelitama,kellelt,meelitama,välja,,,abl,abl,,,
2303,välja minema,mille peale,minema,välja,,,gen peale,gen,peale,,
2304,välja minema,millest,minema,välja,,,el,el,,,
2305,välja nägema,milline,nägema,välja,,,nom,nom,,,
2306,välja otsima,kust,otsima,välja,,,abl,abl,,,
2307,välja päästma,millest,päästma,välja,,,el,el,,,
2308,välja saagima,millest,saagima,välja,,,el,el,,,
2309,välja sööma,kust,sööma,välja,,,abl,abl,,,
2310,välja sööma,keda/mida,sööma,välja,,,part,part,,,
2311,välja tegema,kellest/millest,tegema,välja,,,el,el,,,
2312,välja tegema,kellele,tegema,välja,,,all,all,,,
2313,välja tooma,millest,tooma,välja,,,el,el,,,
2314,välja tulema,millega/kellega,tulema,välja,,,kom,kom,,,
2315,välja tulema,millest,tulema,välja,,,el,el,,,
2316,välja vabandama,keda,vabandama,välja,,,part,part,,,
2317,välja vahetama,mida/keda,vahetama,välja,,,part,part,,,
2318,välja valama,mida,valama,välja,,,part,part,,,
2319,välja valama,millest,valama,välja,,,el,el,,,
2320,välja valetama,keda,valetama,välja,,,part,part,,,
2321,välja vedama,milleni,vedama,välja,,,term,term,,,
2322,välja vihastama,keda,vihastama,välja,,,part,part,,,
2323,välja viskama,mida,viskama,välja,,,part,part,,,
2324,välja õpetama,keda,õpetama,välja,,,part,part,,,
2325,väljendama,mida*,väljendama,,,,part,part,,,
2326,väljuma,kust,väljuma,,,,abl,abl,,,
2327,vältima,mida*,vältima,,,,part,part,,,
2328,värisema,millest,värisema,,,,el,el,,,
2329,värvima,milliseks,värvima,,,,tr,tr,,,
2330,väsima,mida tegemast,väsima,,,,part tegemast,part,,tegemast,
2331,väsima,millest,väsima,,,,el,el,,,
2332,väsitama,keda*,väsitama,,,,part,part,,,
2333,väärima,mida/keda*,väärima,,,,part,part,,,
2334,võbistama,mida*,võbistama,,,,part,part,,,
2335,võima,mida teha,võima,,,,part teha,part,,teha,
2336,võimendama,mida*,võimendama,,,,part,part,,,
2337,võistlema,milles,võistlema,,,,in,in,,,
2338,võistlema,kus,võistlema,,,,ad,ad,,,
2339,võistlema,kellega,võistlema,,,,kom,kom,,,
2340,võistlema,kelle/mille pärast,võistlema,,,,gen pärast,gen,pärast,,
2341,võitlema,kellega / kelle vastu,võitlema,,,,gen vastu,gen,vastu,,
2342,võitlema,millega,võitlema,,,,kom,kom,,,
2343,võitlema,mille eest,võitlema,,,,gen eest,gen,eest,,
2344,võitma,milles,võitma,,,,in,in,,,
2345,võitu saama,kellest/millest,saama,võitu,,,el,el,,,
2346,võlgnema,kellele,võlgnema,,,,all,all,,,
2347,võlgu jääma,kellele,jääma,võlgu,,,all,all,,,
2348,võlgu olema,kellele,olema,võlgu,,,all,all,,,
2349,võlgu olema,mille eest,olema,võlgu,,,gen eest,gen,eest,,
2350,võrdlema,kellega/millega,võrdlema,,,,kom,kom,,,
2351,võrdlema,keda/mida*,võrdlema,,,,part,part,,,
2352,võrdsustama,keda/mida,võrdsustama,,,,part,part,,,
2353,võrdsustama,kellega/millega,võrdsustama,,,,kom,kom,,,
2354,võrdsustuma,kellega/millega,võrdsustuma,,,,kom,kom,,,
2355,võrduma,millega,võrduma,,,,kom,kom,,,
2356,võrdusmärki panema,mille/kelle vahele,panema,võrdusmärki,,,gen vahele,gen,vahele,,
2357,võrdusmärki tõmbama,mille/kelle vahele,tõmbama,võrdusmärki,,,gen vahele,gen,vahele,,
2358,võrku kuduma,kelle ümber,kuduma,võrku,,,gen ümber,gen,ümber,,
2359,võrku langema,kelle/mille,langema,võrku,,,gen,gen,,,
2360,võtma,keda/mida,võtma,,,,part,part,,,
2361,võtma,kuidas,võtma,,,,kuidas,,,,kuidas
2362,võõrandama,mida,võõrandama,,,,part,part,,,
2363,võõrandama,kellele,võõrandama,,,,all,all,,,
2364,võõrandama,kellelt,võõrandama,,,,abl,abl,,,
2365,võõrandama,kellest,võõrandama,,,,el,el,,,
2366,võõrduma,kellest/millest,võõrduma,,,,el,el,,,
2367,võõrutama,keda,võõrutama,,,,part,part,,,
2368,võõrutama,millest,võõrutama,,,,el,el,,,
2369,ägestuma,mille pärast,ägestuma,,,,gen pärast,gen,pärast,,
2370,ähvardama,mida teha,ähvardama,,,,part teha,part,,teha,
2371,ähvardama,mida*,ähvardama,,,,part,part,,,
2372,ähvardama,millega,ähvardama,,,,kom,kom,,,
2373,ära armuma,kellesse/millesse,armuma,ära,,,ill,ill,,,
2374,ära blokkima,что,blokkima,ära,,,что,,,,что
2375,ära eksima,kuhu,eksima,ära,,,all,all,,,
2376,ära eksima,kus,eksima,ära,,,ad,ad,,,
2377,ära elama,millest,elama,ära,,,el,el,,,
2378,ära elama,millega,elama,ära,,,kom,kom,,,
2379,ära elatuma,millest,elatuma,ära,,,el,el,,,
2380,ära harjuma,kellega/millega,harjuma,ära,,,kom,kom,,,
2381,ära hiilima,kust,hiilima,ära,,,abl,abl,,,
2382,ära hiilima,millest,hiilima,ära,,,el,el,,,
2383,ära hirmutama,keda,hirmutama,ära,,,part,part,,,
2384,ära katkestama,millega,katkestama,ära,,,kom,kom,,,
2385,ära keelama,mida,keelama,ära,,,part,part,,,
2386,ära kirjeldama,mida,kirjeldama,ära,,,part,part,,,
2387,ära kohkuma,millest,kohkuma,ära,,,el,el,,,
2388,ära kolima,kust,kolima,ära,,,abl,abl,,,
2389,ära kolima,kuhu,kolima,ära,,,all,all,,,
2390,ära kuluma,kellele,kuluma,ära,,,all,all,,,
2391,ära leppima,kellega,leppima,ära,,,kom,kom,,,
2392,ära lõpetama,mida,lõpetama,ära,,,part,part,,,
2393,ära minema,kust,minema,ära,,,abl,abl,,,
2394,ära nihverdama,kust,nihverdama,ära,,,abl,abl,,,
2395,ära nihverdama,millest,nihverdama,ära,,,el,el,,,
2396,ära panema,mida,panema,ära,,,part,part,,,
2397,ära panema,kellele,panema,ära,,,all,all,,,
2398,ära põgenema,kust,põgenema,ära,,,abl,abl,,,
2399,ära põgenema,kelle/mille eest,põgenema,ära,,,gen eest,gen,eest,,
2400,ära rääkima,keda,rääkima,ära,,,part,part,,,
2401,ära viilima,millest,viilima,ära,,,el,el,,,
2402,ära väsitama,keda,väsitama,ära,,,part,part,,,
2403,ära väänama,mida,väänama,ära,,,part,part,,,
2404,ära väänama,kellele,väänama,ära,,,all,all,,,
2405,ära ütlema,millest,ütlema,ära,,,el,el,,,
2406,ära ütlema,kellele,ütlema,ära,,,all,all,,,
2407,ärgitama,mida tegema,ärgitama,,,,part tegema,part,,tegema,
2408,ärgitama,keda*,ärgitama,,,,part,part,,,
2409,ärkama,mille peale,ärkama,,,,gen peale,gen,peale,,
2410,ärritama,mida*,ärritama,,,,part,part,,,
2411,õhtule laskma,keda,laskma,õhtule,,,part,part,,,
2412,õhutama,millele,õhutama,,,,all,all,,,
2413,õhutama,mida tegema,õhutama,,,,part tegema,part,,tegema,
2414,õiendama,kelle kallal,õiendama,,,,gen kallal,gen,kallal,,
2415,õiendama,mille pärast,õiendama,,,,gen pärast,gen,pärast,,
2416,õigust mõistma,kelle üle,mõistma,õigust,,,gen üle,gen,üle,,
2417,õigustama,keda/mida*,õigustama,,,,part,part,,,
2418,õlga alla panema,millele,panema,õlga,alla,,all,all,,,
2419,õnge tõmbama,keda,tõmbama,õnge,,,part,part,,,
2420,õnne soovima,mille puhul,soovima,õnne,,,gen puhul,gen,puhul,,
2421,õnne soovima,kellele,soovima,õnne,,,all,all,,,
2422,õnnestuma,kellel,õnnestuma,,,,ad,ad,,,
2423,õnnestuma,mida teha,õnnestuma,,,,part teha,part,,teha,
2424,õnnistama,millega,õnnistama,,,,kom,kom,,,
2425,õnnistama,keda*,õnnistama,,,,part,part,,,
2426,õnnistama,millesse,õnnistama,,,,ill,ill,,,
2427,õnnitlema,keda*,õnnitlema,,,,part,part,,,
2428,õnnitlema,mille puhul,õnnitlema,,,,gen puhul,gen,puhul,,
2429,õpetama,mida tegema,õpetama,,,,part tegema,part,,tegema,
2430,õpetama,keda/mida*,õpetama,,,,part,part,,,
2431,õppima,mida*,õppima,,,,part,part,,,
2432,õppima,mida tegema,õppima,,,,part tegema,part,,tegema,
2433,õppima,kelleks,õppima,,,,tr,tr,,,
2434,õppust võtma,millest,võtma,õppust,,,el,el,,,
2435,ööbima,kus / kelle juures,ööbima,,,,gen juures,gen,juures,,
2436,ööbima,kus / kelle juures,ööbima,,,,ad,ad,,,
2437,ööd veetma,kellega,veetma,ööd,,,kom,kom,,,
2438,ühele poole saama,millega,saama,ühele,poole,,kom,kom,,,
2439,ühendama,millega,ühendama,,,,kom,kom,,,
2440,ühenduma,millega,ühenduma,,,,kom,kom,,,
2441,ühendust saama,kellega,saama,ühendust,,,kom,kom,,,
2442,ühendust võtma,kellega,võtma,ühendust,,,kom,kom,,,
2443,ühes minema,kellegagi,minema,ühes,,,kellegagi,,,,kellegagi
2444,ühilduma,millega,ühilduma,,,,kom,kom,,,
2445,ühinema,kellega/millega,ühinema,,,,kom,kom,,,
2446,ühtima,millega,ühtima,,,,kom,kom,,,
2447,ühtlustama,millega,ühtlustama,,,,kom,kom,,,
2448,ühtlustama,mida,ühtlustama,,,,part,part,,,
2449,ülal pidama,keda*,pidama,ülal,,,part,part,,,
2450,ülalt alla vaatama,kellele,vaatama,ülalt,alla,,all,all,,,
2451,ülalt alla vaatama,kelle peale,vaatama,ülalt,alla,,gen peale,gen,peale,,
2452,üle aitama,millest,aitama,üle,,,el,el,,,
2453,üle andma,kellele,andma,üle,,,all,all,,,
2454,üle astuma,millest,astuma,üle,,,el,el,,,
2455,üle helistama,keda/mida,helistama,üle,,,part,part,,,
2456,üle hindama,keda/mida*,hindama,üle,,,part,part,,,
2457,üle hüppama,millest,hüppama,üle,,,el,el,,,
2458,üle hüppama,mille,hüppama,üle,,,gen,gen,,,
2459,üle jooksma,millest,jooksma,üle,,,el,el,,,
2460,üle jooksma,keda/mida,jooksma,üle,,,part,part,,,
2461,üle jääma,mida teha,jääma,üle,,,part teha,part,,teha,
2462,üle kallama,keda/mida,kallama,üle,,,part,part,,,
2463,üle kallama,millega,kallama,üle,,,kom,kom,,,
2464,üle kanduma,millesse,kanduma,üle,,,ill,ill,,,
2465,üle kanduma,kellele/millele,kanduma,üle,,,all,all,,,
2466,üle kasvama,milleks,kasvama,üle,,,tr,tr,,,
2467,üle kuhjama,millega,kuhjama,üle,,,kom,kom,,,
2468,üle käima,millega,käima,üle,,,kom,kom,,,
2469,üle külvama,millega,külvama,üle,,,kom,kom,,,
2470,üle libisema,millest,libisema,üle,,,el,el,,,
2471,üle minema,milleks,minema,üle,,,tr,tr,,,
2472,üle minema,millele,minema,üle,,,all,all,,,
2473,üle minema,millest,minema,üle,,,el,el,,,
2474,üle nuusutama,keda/mida,nuusutama,üle,,,part,part,,,
2475,üle olema,millest,olema,üle,,,el,el,,,
2476,üle ostma,keda,ostma,üle,,,part,part,,,
2477,üle pakkuma,millega,pakkuma,üle,,,kom,kom,,,
2478,üle pakkuma,keda,pakkuma,üle,,,part,part,,,
2479,üle pingutama,millega,pingutama,üle,,,kom,kom,,,
2480,üle puistama,millega,puistama,üle,,,kom,kom,,,
2481,üle saama,millest,saama,üle,,,el,el,,,
2482,üle soolama,millega,soolama,üle,,,kom,kom,,,
2483,üle sõitma,kellest/millest,sõitma,üle,,,el,el,,,
2484,üle vaatama,millest,vaatama,üle,,,el,el,,,
2485,üle valama,millega,valama,üle,,,kom,kom,,,
2486,üle vedama,mida/keda,vedama,üle,,,part,part,,,
2487,üle viima,kuhu,viima,üle,,,all,all,,,
2488,üle võtma,millega,võtma,üle,,,kom,kom,,,
2489,üle võtma,kellelt/millelt,võtma,üle,,,abl,abl,,,
2490,ülehindama,keda/mida*,ülehindama,,,,part,part,,,
2491,üles astuma,kelle/mille vastu,astuma,üles,,,gen vastu,gen,vastu,,
2492,üles keerama,keda,keerama,üles,,,part,part,,,
2493,üles keerama,kelle vastu,keerama,üles,,,gen vastu,gen,vastu,,
2494,üles kihutama,keda,kihutama,üles,,,part,part,,,
2495,üles kloppima,mida,kloppima,üles,,,part,part,,,
2496,üles kutsuma,mida tegema,kutsuma,üles,,,part tegema,part,,tegema,
2497,üles laulma,keda,laulma,üles,,,part,part,,,
2498,üles ostma,keda/mida,ostma,üles,,,part,part,,,
2499,üles tegema,mida,tegema,üles,,,part,part,,,
2500,üles töötama,mida,töötama,üles,,,part,part,,,
2501,üles vaatama,kelle poole,vaatama,üles,,,gen poole,gen,poole,,
2502,üleval hoidma,mida,hoidma,üleval,,,part,part,,,
2503,üleval pidama,keda*,pidama,üleval,,,part,part,,,
2504,ülevalt alla vaatama,kelle peale,vaatama,ülevalt,alla,,gen peale,gen,peale,,
2505,ülevalt alla vaatama,kellele,vaatama,ülevalt,alla,,all,all,,,
2506,üllatama,millega,üllatama,,,,kom,kom,,,
2507,üllatama,keda*,üllatama,,,,part,part,,,
2508,üllatuma,millest,üllatuma,,,,el,el,,,
2509,ümber arvutama,millesse,arvutama,ümber,,,ill,ill,,,
2510,ümber formeerima,milleks,formeerima,ümber,,,tr,tr,,,
2511,ümber kehastuma,kelleks/milleks,kehastuma,ümber,,,tr,tr,,,
2512,ümber kehastuma,millesse,kehastuma,ümber,,,ill,ill,,,
2513,ümber kvalifitseerima,milleks,kvalifitseerima,ümber,,,tr,tr,,,
2514,ümber käima,kellega/millega,käima,ümber,,,kom,kom,,,
2515,ümber panema,millesse,panema,ümber,,,ill,ill,,,
2516,ümber panema,millest,panema,ümber,,,el,el,,,
2517,ümber ristima,milleks/kelleks,ristima,ümber,,,tr,tr,,,
2518,ümber vaatama,kelle/mille järele,vaatama,ümber,,,gen järele,gen,järele,,
2519,ümber valima,keda,valima,ümber,,,part,part,,,
2520,ümbritsema,millega,ümbritsema,,,,kom,kom,,,
2521,ümmardama,keda*,ümmardama,,,,part,part,,,
2522,üritama,mida teha,üritama,,,,part teha,part,,teha,
2523,ütlema,kellele,ütlema,,,,all,all,,,
2524,ütlema,kelle/mille kohta,ütlema,,,,gen kohta,gen,kohta,,
2525,žongleerima,millega,žongleerima,,,,kom,kom,,,
