cnt,lemma
41,naabrinaine
41,mängur
41,metsaomanik
41,merejalaväelane
41,mammi
41,koolidirektor
41,kollektsionäär
41,kahtleja
41,juuksur
41,hambaarst
41,doktor
41,diiler
41,bandiit
41,assistent
41,armastaja
40,tulnukas
40,tulija
40,teoreetik
40,sarimõrvar
40,sakslanna
40,saatja
40,rüütel
40,oponent
40,mööduja
40,majandusminister
40,maapoiss
40,kohtutäitur
40,kiskja
40,juhtfiguur
40,brigaad
39,võtmeisik
39,võlglane
39,veoautojuht
39,vanglaametnik
39,peaministrikandidaat
39,klassikaaslane
39,kirjamees
39,kannataja
39,isane
39,investeerija
39,hoidja
39,eelkäija
39,dissident
39,brasiillane
38,tollitöötaja
38,tagamees
38,šotlane
38,sõjaveteran
38,sõdalane
38,reservväelane
38,puhkaja
38,mesinik
38,lõvi
38,lambakoer
38,kokkuostja
38,klassijuhataja
38,hoiustaja
38,annetaja
38,amatöör
37,ühiskonnategelane
37,vanatädi
37,vanapaar
37,tsaar
37,spordisõber
37,politseijuht
37,petis
37,mehaanik
37,literaat
37,lektor
37,lauljanna
37,lapsehoidja
37,kõrv
37,kontrolör
37,kihutaja
37,filmimees
37,eraomanik
37,eestkostja
37,autovaras
37,astronaut
37,abipolitseinik
37,aadlik
36,väliskülaline
36,veokijuht
36,vedurijuht
36,tegevdirektor
36,sipelgas
36,rahvamass
36,orb
36,kaupleja
36,haldjas
36,beib
36,autotootja
36,armeenlane
36,abimees
35,suurmeister
35,setu
35,selg
35,rändur
35,poissmees
35,mängujuht
35,misjonär
35,liblikas
35,lastekodulaps
35,krokodill
35,koduloom
35,kanadalane
35,kaameramees
35,kaadrikaitseväelane
35,füüsik
35,ehitusmees
35,detektiiv
35,asendaja
35,allakirjutanu
34,üksiküritaja
34,üksikvanem
34,vaene
34,töövõtja
34,tuvi
34,tipp-poliitik
34,taim
34,sangar
34,politseitöötaja
34,papagoi
34,nooreminspektor
34,lapsuke
34,langevarjur
34,kuraator
34,jõnglane
34,jõmm
34,hundikoer
34,dispetšer
34,asendusliige
34,allohvitser
34,aafriklane
33,vargajõuk
33,uljaspea
33,tsiviilelanik
33,taskuvaras
33,süüdimõistetu
33,surnu
33,resident
33,postiljon
33,pedofiil
33,part
33,organism
33,metssiga
33,metsloom
33,klassiõde
33,kitarrist
33,kavaler
33,kauplus
33,intelligent
33,inimrühm
33,filmitegija
33,emme
33,edasimüüja
33,arheoloog
33,afgaan
32,vehkleja
32,vaimuhaige
32,tshetsheen
32,tibi
32,suurärimees
32,sulane
32,suhtleja
32,suguvõsa
32,rikkur
32,reformierakondlane
32,pealik
32,orav
32,mets
32,madrus
32,lõbutüdruk
32,loomake
32,kärbes
32,kuller
32,koolinoor
32,kalastaja
32,jünger
32,jutustaja
32,julgeolekutöötaja
32,imelaps
32,ilves
32,enesetaputerrorist
32,ehitustööline
32,bussifirma
32,bakter
32,arvutikasutaja
32,alpinist
32,aednik
32,abistaja
31,võlur
31,traktorist
31,teadur
31,sääsk
31,suvitaja
31,snaiper
31,siil
31,sanitar
31,parasiit
31,näitekirjanik
31,maksukohustuslane
31,kõneleja
31,kursusekaaslane
31,koordinaator
31,kontaktisik
31,kobras
31,kloun
31,kaastööline
31,haldur
31,erastaja
31,delfiin
31,allilmategelane
30,ämblik
30,õpetlane
30,väljavalitu
30,välisturist
30,väejuht
30,valitsusametnik
30,töönarkomaan
30,stsenarist
30,stjuardess
30,sepp
30,saatusekaaslane
30,rätsep
30,rivaal
30,põhjanaaber
30,pisivaras
30,peigmees
30,noorik
30,neidis
30,mägironija
30,loomapidaja
30,lemmikloom
30,kultuuriminister
30,kilpkonn
30,erak
30,belglane
30,baleriin
30,asekantsler
29,vanaeit
29,valgevenelane
29,tädike
29,tibu
29,teisik
29,tehnik
29,surmamõistetu
29,sohver
29,sensitiiv
29,rahvuskaaslane
29,pärismaalane
29,prantslanna
29,praktikant
29,pealinlane
29,peaarst
29,marokolane
29,maalikunstnik
29,looduskaitsja
29,linnamees
29,kümnevõistleja
29,kodulind
29,kapitalist
29,jõmpsikas
29,inimgrupp
29,hulgimüüja
29,funktsionäär
29,aju
28,visionäär
28,variisik
28,vandaal
28,valitsusliige
28,töötegija
28,trummar
28,tippspetsialist
28,taluperemees
28,seadusandja
28,riigiteenistuja
28,päästeametnik
28,prefekt
28,popstaar
28,piduline
28,noortekamp
28,mullikas
28,metsamees
28,mereväelane
28,lüpsja
28,läänlane
28,küsitletu
28,koolivend
28,keskkonnaminister
28,jänki
28,hobuslane
28,feminist
28,erakonnakaaslane
28,deemon
28,ametivend
28,akadeemik
27,üritaja
27,välikomandör
27,vaatajaskond
27,vaal
27,tenor
27,tegelinski
27,süüdistatav
27,riigikontrolör
27,reetur
27,pervert
27,patuoinas
27,pangatöötaja
27,möödakäija
27,mutt
27,metsavaht
27,laskesuusataja
27,käitleja
27,kukk
27,koolilõpetaja
27,kohusetäitja
27,kinnipeetu
27,kingsepp
27,kiisu
27,keiser
27,keemik
27,kaassõitja
27,kaabakas
27,jalgpallifänn
27,iseasi
27,ideoloog
27,idee
27,härg
27,ekspertkomisjon
27,diiva
27,astronoom
27,asepeaminister
27,arvutispetsialist
27,arvamusliider
27,algataja
26,ääremängija
26,võõramaalane
26,vilistlane
26,türann
26,tiib
26,teller
26,teenija
26,suurmees
26,shotlane
26,ravitseja
26,rahvuskangelane
26,preili
26,poliitika
26,pinginaaber
26,parteisõdur
26,noorhärra
26,monarh
26,majandusmees
26,lüpsilehm
26,kütt
26,kosmonaut
26,koolitaja
26,kindlustusvõtja
26,keskkooliõpilane
26,kauplusevaras
26,kauboi
26,katsealune
26,kangelanna
26,hädaline
26,dispetsher
26,diskor
26,abielunaine
25,ämmaemand
25,võrkpallur
25,viiking
25,tööstur
25,tarkpea
25,tallinlanna
25,revolutsionäär
25,retsidivist
25,purjetaja
25,punkar
25,pioneer
25,nolk
25,neitsi
25,naljamees
25,naisajakirjanik
25,mudilane
25,käsitööline
25,käsilane
25,korrakaitsja
25,koolikaaslane
25,kajakas
25,jalgpallisõber
25,imetaja
25,homo
25,haldaja
25,habemik
25,emis
25,baltisakslane
24,äriinimene
24,väljapressija
24,võimukandja
24,vutimees
24,vangivalvur
24,teleajakirjanik
24,suurinvestor
24,spordimees
24,rahvamees
24,põliselanik
24,pragmaatik
24,paaria
24,oskustööline
24,natsionalist
24,muslim
24,monstrum
24,majanduspolitsei
24,maakasutaja
24,maaelanik
24,lugejaskond
24,leegionär
24,leedi
24,küülik
24,küsija
24,informaator
24,iisraellane
24,hüljes
24,heidik
24,gümnaasiumiõpilane
24,friik
24,filmitäht
24,filmistaar
24,erainvestor
24,ellujäänu
24,bulgaarlane
24,automüüja
24,asutaja
23,ärijuht
23,vähihaige
23,ullike
23,tütarettevõtja
23,tüdrukutirts
23,toonekurg
23,tipptegija
23,tehnokraat
23,šveitslane
23,suurtarbija
23,sotsioloog
23,soosik
23,salakaubavedaja
23,rajaja
23,päästemeeskond
23,polkovnik
23,organisaator
23,opositsioonipoliitik
23,ooperilaulja
23,muusikaõpetaja
23,mitteresident
23,metslane
23,maksuametnik
23,linnarahvas
23,leitnant
23,kujundaja
23,kojamees
23,keskmängija
23,keskkonnakaitsja
23,kaubitseja
23,kaotaja
23,kallim
23,gümnasist
23,emasloom
23,ekstremist
23,egiptlane
23,eesel
23,demineerija
23,baaridaam
23,armastus
23,apteeker
22,ümberasuja
22,ühiskonnaliige
22,õmbleja
22,väimees
22,veterinaararst
22,vetelpäästja
22,uudistaja
22,teisitimõtleja
22,sõjapõgenik
22,sukelduja
22,soldat
22,sissetungija
22,rauk
22,pürgija
22,programmeerija
22,piiririkkuja
22,omavalitsusüksus
22,oinas
22,noormängija
22,nats
22,naistuttav
22,naisnäitleja
22,nahkhiir
22,mustkunstnik
22,miljardär
22,metskits
22,meeskonnakaaslane
22,mafiooso
22,linnaisa
22,lihtliige
22,lihtinimene
22,leiutaja
22,laevaomanik
22,kährik
22,kõuts
22,kotkas
22,korealane
22,koomik
22,kontoritöötaja
22,keevitaja
22,järgija
22,islamist
22,hulkur
22,haavatu
22,haapsallane
22,geoloog
22,enesetapja
22,eit
22,doktorant
22,dinosaurus
22,dalai-laama
22,boheemlane
22,baarmen
22,aristokraat
21,üliinimene
21,õnneseen
21,võõrtööline
21,vastanu
21,varblane
21,vaneminspektor
21,vanamammi
21,valgekrae
21,tervishoiutöötaja
21,separatist
21,raudtee-ettevõtja
21,põhjapõder
21,põhjamaalane
21,protestant
21,naistöötaja
21,müüjanna
21,märter
21,mäesuusataja
21,matkaja
21,marionett
21,maksimalist
21,maatüdruk
21,loomeinimene
21,loomakasvataja
21,liivlane
21,liituja
21,liikluspolitsei
21,laulik
21,kurat
21,kunstikriitik
21,kunstiinimene
21,kavalpea
21,katsejänes
21,kaitsepolitseinik
21,kahevõistleja
21,jobu
21,itaallanna
21,heategija
21,halduskogu
21,favoriit
21,eriüksuslane
21,emigrant
21,aferist
20,õpetajanna
20,õigusjärglane
20,väiketarbija
20,vanapapi
20,vanameister
20,vanaduspensionär
20,tudengineiu
20,sünnitaja
20,stilist
20,rahutagaja
20,puu
20,poliitvang
20,poemüüja
20,plikatirts
20,piraat
20,pessimist
20,peaprokurör
20,patrullpolitseinik
20,pangaröövel
20,oliivikasvataja
20,noorsõdur
20,narvalane
20,naissuusataja
20,messias
20,mehi-naine
20,mehepoeg
20,linnasekretär
20,liiklushuligaan
20,lepingupartner
20,lastearst
20,kunstiteadlane
20,kostja
20,korterivaras
20,koduklient
20,klienditeenindaja
20,kinnisvaraärimees
20,keskkonnainspektsioon
20,kassapidaja
20,kaasomanik
20,jumalanna
20,islamiäärmuslane
20,isamaaliitlane
20,isamaalane
20,inglanna
20,idaeurooplane
20,hulgus
20,hiidlane
20,hani
20,guru
20,gurmaan
20,grusiin
20,finantsinvestor
20,elektrik
20,anarhist
19,välisekspert
19,väikemees
19,vargapoiss
19,vahekohtunik
19,uss
19,tõukoer
19,tundja
19,tont
19,toitlustusettevõtja
19,tegutseja
19,tantsijanna
19,sõltlane
19,sisalik
19,selgeltnägija
19,seenior
19,saabumine
19,rändlind
19,rullnokk
19,represseeritu
19,ratsanik
19,radikaal
19,pääsenu
19,politseiprefektuur
19,poiss-sõber
19,piletikontrolör
19,pereinimene
19,osalenu
19,näriline
19,nimekaim
19,neegrinaine
19,miilitsatöötaja
19,matemaatik
19,magistrant
19,maanaine
19,linnavolinik
19,lihunik
19,lehelugeja
19,kurg
19,koostaja
19,kiirabiarst
19,keha
19,karjapoiss
19,kaaperdaja
19,jõhkard
19,inimolend
19,homoseksuaal
