,lemma,form,naitelause
0,Marko,Markole,tüdrukud on isa sõnul Markole hoogsalt amokki jooksnud
1,poliitika,poliitikast,Lahkusin poliitikast aastal
2,ilme,ilmel,Nüüd käib kass ilmel aias ringi
3,Kelam,Kelamitel,raske käib Kelamitel abiks vanadaam
4,aastavahetus,aastavahetusel,Olen aastavahetusel koolides mängimas käinud
5,tippaja,tippajal,Lahkusin ajakirjandusest ju tippajal pärast saamist
6,Kohila,Kohilas,Käisin Kohilas üritusel
7,üritus,üritusel,Käisin Kohilas üritusel
8,laulutund,laulutunnis,Käime Karliga laupäeviti Musamaris laulutunnis
9,Ateena,Ateenas,Helen istub Ateenas ühisköögis
10,kleidiproov,kleidiproovis,käis Barbra teadmata kleidiproovis
11,aprill,aprillis,Viimati liikus teineteise käevangus juubelipeol aprillis
12,eliitülikool,eliitülikoolides,põlvkond on koolis käinud eliitülikoolides
13,autokool,autokoolis,käis siis nüüd autokoolis ära
14,talu,talus,saada käis Tiina koos perega suvel talus abiks
15,iseenese,iseendast,disainer astus pärast showd lavale iseendast numbrit väiksemana
17,Vilsandi,Vilsandil,suvel käib ta treti Vilsandil
18,kelder,keldris,siis on keldris käinud varas
19,Bronx,Bronxist,poleks ma Bronxist kunagi lahkunud
20,finaalvõistlus,finaalvõistlusel,Koos käisid nad finaalvõistlusel
21,telepurk,telepurgist,kes telepurgist läbi käis
23,vastassugupool,vastassugupoolest,lõpuks istud iga vastassugupoolest hirmus teeb
24,Venemaa,Venemaal,Nad käisid meiega sageli Venemaal kaasas
25,kord,korras,aastat tagasi käis koolitüdruk korras Eestis
26,maakodu,maakodus,hiljuti käis maakodus
27,naer,naerul,Põõsast jookseb välja naerul poiss
28,Verona,Veronas,filmigrupp Veronas ringi liigub
33,talveöö,talveööl,talveööl käis metsavend meil
34,korvtool,korvtoolidel,mina tüdruk istume korvtoolidel
35,üksteise,üksteisest,inimesed käivad üksteisest läbi mühakad
36,kangamess,kangamessidel,Käisid hiljuti kangamessidel suundub
37,maraton,maratonidel,olen käinud maratonidel
38,ida,itta,Ta lahkus pärast võitlust vennaga itta lubades
39,hoiak,hoiakule,Vaatamata hoiakule astus valitsus siiski aastal samme tulla
40,kuu,Kuul,detsembrini käis Kuul kokku meest
41,valitsus,valitsuses,Pidevalt valitsuses istunud
42,Narva,Narvas,Narvas ei käinud koolis
49,maosein,maoseinast,Leidmata eest pisikuid ei lahku immuunrakud ometi maoseinast
50,otsing,otsinguil,läks lahkus siitkandist otsinguil inimesi
52,üldjuht,üldjuhul,mis üldjuhul rahulikult liiguvad
55,pesula,pesulas,Korra käid pesulas liitrit
58,iminokk,iminokas,Teisalt liigub veri iminokas suunas
59,positsioon,positsioonilt,me astume tagasi positsioonilt
61,tulemus,tulemusel,tulemusel peaminister astus tagasi
62,tualett,tualetis,Käisin tualetis puuderdamas
66,ehituskomitee,ehituskomitees,me käisime Peterburis ehituskomitees
71,ajama,Ajas,Ajas astus pihtimusega üles retsidivist
74,Inglismaa,Inglismaal,armastatakse siis Inglismaal käib suhtlemine kutsete abil
76,kirjandus,kirjanduses,kirjanduses liiguvad väited
77,missioon,missioonil,nad käivad aeg missioonil
81,seitsmekümnes,seitsmekümnendatel,originaalitsemine käis juba seitsmekümnendatel
85,komsomol,komsomoli,mees astus komsomoli
87,Võrumaa,Võrumaal,kes käis Taaliga koos koolis Võrumaal
90,puhkepäev,puhkepäeval,meremehel jookseb palk puhkepäeval
92,rühm,rühmas,rühmas käib lapsi üle Tallinna
93,semester,semestril,kes Amicusse astus semestril
94,vajadus,vajadusele,käis koos vastavalt vajadusele
95,tapp,Tapalt,üldse käib inimest Tapalt väljaspool tööl
97,väljamaa,väljamaal,Leo käiski väljamaal hööveldamas
102,kesklinlane,kesklinlastest,Pendeldajaid liigub kesklinlastest rohkem tööpäevadel
103,võrgustik,võrgustikesse,kes on liikunud kiiremini võrgustikesse
104,juhutöö,juhutöödel,eestlased ookeani taga juhutöödel käivad
105,ühiskond,ühiskonnas,raha ühiskonnas liigub
106,kehtivus,kehtivusest,Nii käib siin jutt käitumisnormi kehtivusest läbi prisma
108,üleminekuriik,üleminekuriikides,sissesöömine käib üleminekuriikides
110,kasutusala,kasutusaladel,Samuti kasutusaladel käib haldusmenetluses testimine
112,tagajärg,tagajärjel,kes on ametist lahkunud tagajärjel
114,kvantmaailm,kvantmaailmas,aga kvantmaailmas liiguvad osakesed
118,Madalmaad,Madalmaile,Sittow on lahkunud poisina Tallinnast Madalmaile
119,paiste,paistel,lauajuppidel istub paistel meest
121,doktoriõpe,doktoriõppesse,aastal astus R. Kangro doktoriõppesse suundus
122,lävi,lävele,Astunud topoloogiaks lävele
124,jõud,jõule,käsi istus enne jõule vahi all
125,suvelõpupäev,suvelõpupäeval,suvelõpupäeval istuvad meest tänaval autosse
127,koolitustellimus,koolitustellimustest,jutt käib koolitustellimustest erialadele
128,multimeediastuudio,multimeediastuudios,multimeediastuudios istus
129,varundusseade,varundusseadmesse,andmed liiguvad kettasüsteemist läbi serveri varundusseadmesse
130,MM-eriala,MM-erialale,Pärast klassi astusin MM-erialale
132,Taaveti,Taavetist,jutt käib Taavetist
134,teispoolsus,teispoolsusesse,teispoolsusesse lahkunud
135,MM,MM-il,Viimati astus suursoosikuna võistlustulle sõudja MM-il teda
136,rüseleja,rüselejal,rüselejal käisid sussid
137,rivistus,rivistuses,liider astub juunil Tallinnas Eesti vastu rivistuses
138,õpireis,õpireisidel,Käis õpireisidel Soomes
139,tsenter,tsentrist,tipus liigub õhk tsentrist eemale
140,tasandik,Tasandikul,liiguvad tornaadod Tasandikul
141,Niva,Nivas,haiglasse Nivas kõrvalistmel istunud
142,kõrvaliste,kõrvalistmel,haiglasse Nivas kõrvalistmel istunud
146,töökoht,töökohalt,töötut oli eelmiselt töökohalt lahkunud soovil
149,vaateplatvorm,vaateplatvormile,mööda treppe kõrgele vaateplatvormile astunud
153,võim,Võimult,Võimult lahkunud
154,paber,paberil,paberil dokumente liigub vähem
156,võitlustuli,võitlustulle,enne seda astuvad võitlustulle veel truppi
157,korpus,korpuses,Päästearmee korpuses käis
158,NBA-ahvatlus,NBA-ahvatlusele,Vaatamata NBA-ahvatlusele käis ta ülikoolitee lõpuni
163,protsess,protsessil,protsessil käis kuulamas juhataja
167,Vormsi,Vormsil,kolleeg pole käinud Vormsil saarel
168,loom,loomale,astub perenaine mesimagusalt loomale ligi
182,kaksik,kaksikutel,kaksikutel poegadel jookseb elusuvi
191,rahakott,rahakotile,Nädalavahetustel käin vastavalt rahakotile keskturul
192,sadul,sadulasse,lähe istun laupäeval sadulasse
193,hommikupimedus,hommikupimeduses,Istus hommikupimeduses Otepääl autosse
195,põlengupaik,põlengupaigal,Öösel põlengupaigal käinud
201,muusikal,muusikalis,Esmakordselt astus püünele inimene muusikalis aastal
206,pilv,pilvel,pilvel istuvat
210,operatsioon,operatsioonil,käis operatsioonil ära
211,iimi,iimist,iimist power lahkub auto kohe lülitab
212,meriväli,Meriväljal,Aleksandr istusid teisipäeval kodumajas Meriväljal tee tuli
213,korsten,korstnale,haigur istus puhkama korstnale Inglismaal Northamptonis
219,teelõik,teelõigul,mis liikus teelõigul eksikombel vastassuunas
220,draamateater,draamateatris,Lisaks jooksevad filmid tänavu draamateatris
221,maarjamaa,Maarjamaalt,kes nädala pärast lahkub Maarjamaalt
222,kuku-klubi,Kuku-klubis,lapsepõlves käis ta Kuku-klubis söömas
227,lähedus,läheduses,nad hommikuti ikka läheduses liiguksid
234,latt,latile,jooksis latile liialt sisse
238,äärelinn,äärelinnades,äärelinnades käivat lahingud
245,Elvi,Elvis,südamesse astus Elvis aastal nägi
270,kriis,kriisile,kriisile otsimine jookseb täistuuridel
278,rakk,rakku,lugemisajaks jooksevad emmed-issid leidmiseks mööda linna jalad rakku
279,luu,luust,see käib luust läbi
301,varjupaik,varjupaigas,Inge käivad varjupaigas abiks mees
303,nüüdismaailm,nüüdismaailmas,nüüdismaailmas liigub tehnoloogia kiiresti käest kätte
317,nisupõld,nisupõllul,nisupõllul käib kuud ehitustegevus tahetakse
318,turbiinisaal,turbiinisaalis,tudengid astuvad täna publiku ette vanal Kalmuneiuga turbiinisaalis puiesteel
321,trajektoor,trajektooril,Võrumaal trajektooril liikunud
327,sügishooaeg,Sügishooajal,Sügishooajal käin ilmselt korda perega Rootsis pidamas
337,kuub,kuuel,jookseb kuuel
340,vabaõhulava,vabaõhulaval,Eile Londonis vabaõhulaval üles astunud
350,Alatskivi,Alatskivil,lapsed käivad Alatskivil keskkoolis
360,kehastus,kehastuses,lavale astub ta kehastuses
366,toetus,toetusel,tõe-näoliselt astus Kvashnin järsult kaitseministri vastu välja toetusel
369,käsi-käsi,käsi-käes,Arusaamine käib käsi-käes küpsusega
378,kultuurikolledõi,kultuurikolledõisse,astusin kultuurikolledõisse õppima
382,delta,deltas,deltas provintsis käisin linnas
389,üliõpilane,üliõpilasest,aastal käis ta seal korda külas üliõpilasest vennal
391,pluss,plussis,börsid liikusid reedel plussis
392,rahaauto,rahaautos,rahaautos istunud
393,kapitaalremont,kapitaalremondis,kilomeetrit buss on korra käinud kapitaalremondis
408,RBH,RBHsse,alusel liikusid varad Nordikast RBHsse
413,ootus,ootuses,ootuses käisin aeg massaažis
414,rockmuusikal,rockmuusikalis,Kõrvuti astuvad rockmuusikalis lavale lauljad
421,vormelimaailm,vormelimaailmas,Muidugi liigub vormelimaailmas raha
426,aju-uuring,aju-uuringul,diktaator käis korda päeva jooksul aju-uuringul
427,ettekirjutus,ettekirjutusest,pole ettekirjutusest hoolimata siit seni ka lahkunud
432,judotatami,judotatamile,president astus eile korda kuu jooksul Jaapanis judotatamile heideti
433,võimuliit,võimuliidust,Koonderakond lahkus reedel võimuliidust
437,trollima,trollis,mina aga istusin trollis
438,võrgumaailm,võrgumaailmas,võrgumaailmas käib elanike vahel suhtlemine
447,siselist,siselistidel,väitlus käib juba siselistidel
462,trollipeatus,trollipeatusse,kaaslane jooksis pärast õnnetust trollipeatusse
464,mõisamaja,mõisamajast,päev käib ta mõisamajast läbi
470,jõulud,jõuludele,mobiilitootjad astuvad jõuludele vastu noortetelefonidega
475,maakonnakeskus,maakonnakeskuses,maakonnakeskuses käib otsimas inimest
476,lauspommitamine,lauspommitamisest,Järelikult käib jutt lauspommitamisest
482,värbamine,värbamisel,värbamisel käib konkurents
483,rahvariie,rahvariideis,kõnnivad rahvariideis
484,olemasolu,olemasolul,mäng jookseb ilusti protsessori olemasolul
494,Paksa,Paksas,Pärast tagasiastumist lahkus Paksas parteist
498,põhjapoolus,põhjapoolusel,kes käisid mais ekspeditsioonil põhjapoolusel
503,Bem,Bemis,Bemis nüüd välja käib
506,isamaaliit,Isamaaliidust,astus välja Isamaaliidust
526,tööreis,tööreisidel,Olen käinud Eestis tööreisidel
527,kaldapealne,kaldapealsel,Kõnnime kaldapealsel
536,vaegnägija,vaegnägijatele,käis vaegnägijatele esinemas
544,valitseja,valitsejale,valitsejale astub vastu number
562,Peipsi,Peipsil,Peipsil kalal käinud
584,Kaukaasia,Kaukaasias,Kaukaasias käisid piigad ujumas
586,dokument,dokumendist,jutt käib dokumendist
616,hokitrenn,hokitrennis,poeg käib hokitrennis uisutamas
622,pääsküla,Pääskülast,Tuttavad jooksevad Pääskülast kohale
637,mahitus,mahitusel,Ma olen mahitusel käinud aastal
641,linnapea,Linnapeadest,Linnapeadest käisid peale platsil linnapea
646,sakstekamber,sakstekambris,sakstekambris istusid laua taga mehed
651,palliväli,palliväljadel,liikusid palliväljadel vallutuseni
655,ülekäiguraja,ülekäigurajale,pärastlõunal kell astus Raivo ülekäigurajale
656,noorim,noorimal,siis noorimal käisid päkapikud
658,toidumüügiturg,toidumüügiturule,Kalda astub toidumüügiturule viimase peal tehnika
662,jaemüüja,jaemüüjatele,kaup liiguks töötlejalt jaemüüjatele hindadega
663,Warriorss,Warriorsist,jõud käis võõrsil 118 üle Golden Warriorsist
676,istekoht,istekohal,Istun istekohal
679,80.,80ndatel,kes käisid seal 80ndatel
689,koduõu,koduõuele,koduõuele astunud
694,tervis,tervisest,Sestsaadik tehti liiguvad pidevalt kuuldused tervisest
697,Pihva,Pihvas,käisime korra ettevalmistustel Pihvas diviisis
705,viht,vihast,aastat tagasi põrkasid jooksis viimane vihast näoga boksi juurde
723,Pitcairn,Pitcairnilt,Lennuk lahkus Pitcairnilt
725,Delfi,Delfis,Delfis käib tihti andmine omade vahel põrkuvad
731,asukoht,asukohale,ilmselt tänu asukohale käis näitusel külastajaid
747,doonoripäev,doonoripäeval,doonoripäeval käis andmas inimest
756,mootorpaat,mootorpaadis,mootorpaadis istus tuukrit
763,liikumisrada,liikumisrajal,Viimati käisid Andrus liikumisrajal teisipäeval
768,kvaliteet,kvaliteedis,erakonnad astuvad valijate ette kvaliteedis
771,väikeettevõtja,väikeettevõtjale,mis väikeettevõtjale käib üle jõu
774,Sardiinia,Sardiiniast,Ta lahkus Sardiiniast korra saanud
775,mitmepäevasõit,mitmepäevasõidul,profid astusid mitmepäevasõidul leeri
779,ummiktee,ummikteel,aastat liikus Venemaa ummikteel
783,riigikirjand,riigikirjandites,sõnul jooksis mullu riigikirjandites tekst
788,arvutifirma,arvutifirmas,Firenzes käisime arvutifirmas
797,Aivar,Aivarilt,aastat olen Aivarilt käinud küsimas
799,arvutitelk,arvutitelgis,arvutitelgis käis eile huvilist
804,vastukülaskäik,vastukülaskäigul,Virumaal vastukülaskäigul käinud
806,sihtasutus,sihtasutuses,Sergejeva käis sihtasutuses novembris
810,rätt,rättides,aedades istusid rättides naised
812,mini,minis,Talvel minis hästi ei käi
817,ebaõnnestumine,ebaõnnestumisest,ebaõnnestumisest hoolimata lahkun Eestist muljetega
818,korvpallikool,Korvpallikoolis,Korvpallikoolis käinud
823,plaju,plajudele,hankimine käib plajudele mehhiklastele üle jõu
829,jõudmine,jõudmisest,ei lahku abilinnapea kohalt enne jõudmisest ette novembril
834,telefonirežiim,telefonirežiimis,menüüd ei liiguks telefonirežiimis aeglaselt
836,äss,ässadele,hooaegadel on ta ässadele valusalt kannale astunud
846,uusrajoon,uusrajoonis,kes käis uusrajoonis hääletamas
850,Amasoonia,Amasoonias,mis ju Amasoonias edukalt käib
860,Tallina,Tallinas,hiljuti Tallinas käinud
870,avariihetk,Avariihetkel,Avariihetkel juhi kõrval istunud
877,esinemispaik,esinemispaigas,ajal astuvad esinemispaigas õllesõprade ette lauljad
879,Sigulda,Siguldas,Nädalavahetusel Siguldas MKetapil käinud
884,imik,imikutest,väitel käib Jõulumäel rahvast alates kõhul imikutest kuni pensionärideni välja
893,kangisaal,kangisaalis,Nüüd käisin päeva enne võistlust kangisaalis
900,veinipidu,veinipeol,Korra käis Ööbik Rakverest väljaspool veinipeol
908,McLaren,McLarenisse,McLarenisse lahkunud
910,tualetipott,Tualetipotist,Tualetipotist mööda istunud
917,sinine,sinisesse,Marika istus eemal sinisesse Fordi
927,juveeliäri,juveeliärisse,Astuvad sisse juveeliärisse
932,naiskodukaitse,naiskodukaitsesse,naiskodukaitsesse astuvad
950,Ikaru,Ikarust,Praegu liigub liinidel sõnul päev kaks Ikarust
961,festivalivõitja,festivalivõitjast,Eestist astub seekord lavale rohkearvuliselt lauljaid alates festivalivõitjast
963,külapidu,külapidudel,aeg-ajalt käib ta külapidudel mängimas
965,parandusmasin,parandusmasinale,remont käib tänu parandusmasinale kiiremini
970,neljasilmavestlus,neljasilmavestlusel,korda käisin neljasilmavestlusel
973,seisus,seisusest,oleks astuksin ma seisusest otsekohe välja
981,taaspühitsemine,taaspühitsemisest,Piiskop-emeeritus on käinud olavipäeval aastal alates taaspühitsemisest
988,lennundus,lennundusele,Estonian liigub lennundusele suunas aastal
992,kinnipeetav,kinnipeetavast,kinnipeetavast astus eile esimesena kabinetti Eenmaa
1003,kuru,kurus,lennukid pole kurus käinud
1004,tagaots,tagaotsas,Ustimenko istus tagaotsas pannud
1015,Amsterdam,Amsterdamis,Esmaspäevani istus ta Amsterdamis trellide taga
1018,lahkumine,lahkumisest,käis dislussioon lahkumisest
1027,ühinemisläbirääkimised,Ühinemisläbirääkimistesse,Ühinemisläbirääkimistesse on astunud Eesti
1029,luide,luidetelt,luidetelt liigub liiv hoovuste mõjul veel muulide vahele laevakanalisse sonni
1036,valimiskomisjon,valimiskomisjonis,ma esmaspäeval end valimiskomisjonis registreerimas käisin
1038,aura,Auras,palju käib Auras lätlasi
1040,eramu,eramutes,ajal käivad vargad eramutes sees päeva ajal toimetavad
1043,töökorraldus,töökorralduses,juurutamisega astub linn töökorralduses sammu edasi
1055,ujula,ujulas,Nad käisid siin ujulas ujumas
1058,vangistus,vangistuses,laureaat istus protestidest hoolimata vangistuses
1071,eetika,eetikasse,Ühelt jookseb ta sisse eetikasse
1082,põhiväärtus,põhiväärtustest,Jutt käib põhiväärtustest
1084,õhuruum,õhuruumis,Nüüd kõnnivad õhuruumis laevamudelite vahel muuseumikülalised
1087,sügissuplem,sügissuplemas,käib hoidmiseks koos setteri veerel sügissuplemas
1103,sõjaväeterritoorium,sõjaväeterritooriumil,konvoi käis linnast sõjaväeterritooriumil
1126,konjakireis,konjakireisil,klubi käib korra Prantsusmaal konjakireisil
1133,uulits,uulitsal,Seega on karud uulitsal käinud
1136,Bal-neomi,Bal-neomis,Bal-neomis käib traumadega inimest
1138,majaelanik,majaelanikest,Tänaval peal käib majaelanikest kolmandik
1142,orienteerumisvõistlus,orienteerumisvõistlusel,ilmselt käin üle aja taas orienteerumisvõistlusel
1143,kultuurifestival,Kultuurifestivalil,Kultuurifestivalil Kopenhaagenis astuvad üles muusikud
1145,diivaninurk,diivaninurgal,Helene istub diivaninurgal nii istuvad
1157,taksondus,taksonduses,Alates päevast tekkisid käib taksonduses kammajaa
1166,tööpataljon,Tööpataljonis,Tööpataljonis käisime üle metsatöödel
1180,Petseri,Petseris,kutsel Petseris käisin
1183,proovilava,proovilaval,Vahetult enne Gerlit proovilaval käinud
1187,euroaju,euroajudes,euroajudes liigub mõte
1189,orhideevorm,orhideevormidele,Näiteks Floridas käib orhideevormidele jaht
1198,foon,foonil,Reklaamplakatil istub Gorbatšov tagaistmel foonil
1200,rentsel,rentslisse,astu rentslisse
1211,humanitaarala,Humanitaaraladel,Humanitaaraladel on tegelastest lahkunud Berk
1212,uni,unes,sõnul kõnnib vend sageli unes
1222,tarbekunstigalerii,tarbekunstigaleriis,jalas käisid nad tarbekunstigaleriis jäädes
1223,hävitamine,hävitamisel,likvideerimine käib hävitamisel stsenaariumi järgi
1226,sotsiaalkeskus,sotsiaalkeskuses,sotsiaalkeskuses tegemas käivad
1231,hommikukuub,hommikukuues,kes istub hommikukuues kiiktoolis
1247,headus,headuses,Polkovniku astuvad Madis headuses
1252,energiafirma,energiafirmast,Jutt käib energiafirmast
1274,1960.,1960-ndatel,kirjamees astus kirjandusellu 1960-ndatel oli
1278,Kajakas,Kajakast,Jutt käib Kajakast aastast
1292,äriringkond,äriringkondades,kes istuvad äriringkondades
1296,La,Las,Näiteks käib Las Vegases esinemas Elton
1298,MM-etapp,MM-etapil,MM-etapil poodiumile astunud
1299,prostitutsiooniprotsess,prostitutsiooniprotsessis,pidajad astuvad nädala pärast prostitutsiooniprotsessis süüdistatavatena kohtu ette
1306,sunniit,sunniidist,mis valitsusajal astus vastu sunniidist režiimile
1308,digitaalplatvorm,digitaalplatvormile,nähtav siis alates eilsest liikus kanal digitaalplatvormile
1313,toomemägi,Toomemäele,mis koos rongkäigulistega Toomemäele liigub
1316,Show,Show'l,Show'l astub ülesse poeg
1322,list,listides,debatt on listides käinud
1331,Mäo,Mäolt,kes alates Mäolt Sõmerpalu poole astus abistada
1342,rongivagun,rongivagunis,plahvatus käis kell hommikul rongivagunis
1351,talumees,talumeestest,mis liiguvad küll talumeestest kiiremini
1356,hasart,hasardist,paljud käivad sisseastumiskatsetel lihtsalt hasardist
1360,arvutimess,arvutimessil,Peeter käis Saksamaal arvutimessil
1387,sessioon,sessioonil,sessioonil istus seltskond arutama
1396,traal,traalidel,Puhkuse ajal käis Mart kuulmisega traalidel
1404,muusikamaastik,muusikamaastikust,Jutt käib muusikamaastikust
1409,väikeplokk,väikeplokkidest,Külas käis väikeplokkidest ehitamine saama
1424,Taanimaa,Taanimaalt,Taanimaalt noruspäi lahkuvad
1429,reaktor,reaktorist,Soojusenergia lahkub reaktorist hoopis heeliumi abil
1448,Kazimirez,Kazimirezis,ta pole käinud Kazimirezis
1454,olümpia-mäng,olümpia-mängudel,olümpia-mängudel käis kultuuriminister
1464,seganeljane,seganeljases,seganeljases istusid veel Silver
1465,õhtuhämar,õhtuhämaras,kuuseäri ees käis eile õhtuhämaras riietumine
1475,eksamikeskus,eksamikeskuses,Eile käisid eksamikeskuses küsimas abituriendid
1485,huvialaring,huvialaringides,Erinevalt käib ta sagedamini huvialaringides
1491,türklane,türklastest,Tihtipeale astusid nad türklastest mööda
1495,Martha,Martha's,Martha's on Russo käinud perega aastaid
1506,massaažikool,massaažikoolis,kes käivad massaažikoolis lihtsalt huvist
1518,videvik,Videvikus,Videvikus liiguvad loomad kanapimedus
1522,töömaht,töömahust,komisjonid ei käi töömahust üle
1524,europarlament,europarlamendis,õnneks ei käi poliitika europarlamendis riigiti
1525,suurendamine,suurendamisest,jutt käib suurendamisest
1542,välibassein,välibasseinis,Noormehed käisid välibasseinis
1547,Tammsaare-lavastus,Tammsaare-lavastuses,kes Tammsaare-lavastuses astub üles Indrekuna
1551,müügitehing,müügitehingul,kelm käis ise müügitehingul võtmas kannatanud
1553,kõrvalejäämine,kõrvalejäämisele,hinnanguil käis vaatamata kõrvalejäämisele hääletamas protsendi erandina
1554,Reaalkool,Reaalkoolist,Reaalkoolist pole jookul lahkunud õpetaja
1559,naisteosakond,naisteosakonnas,käis naisteosakonnas
1560,golfiraja,golfirajal,Tulles käime golfirajal
1564,Schäuble,Schäublel,Käed liiguvad Schäublel aga tänu imele
1567,laadaplats,Laadaplatsil,Laadaplatsil käib elu
