,lemma,form,naitelause
4467,poliitkool,poliitkooli,nooruk astus poliitkooli
4476,taasvalimine,taasvalimisest,Parlamendis käivad jutud taasvalimisest saladus
4485,bluusifestival,bluusifestivalil,käin bluusifestivalil
4500,riigikaitseakadeemia,Riigikaitseakadeemias,Kaitseminister käis laupäeval pidamas Riigikaitseakadeemias
4503,mahakandmine,mahakandmisest,Jutt käib mahakandmisest
4517,lõpuetapp,lõpuetapil,lõpuetapil astus Lasse eile lähemale sarja üldvõidu poole edestades
4538,kivimaja,kivimajas,kivimajas on käinud varas
4541,restruktureerimine,restruktureerimisel,Ukraina on restruktureerimisel kaugemale astunud Eesti
4584,GSM-mobiilivõrk,GSM-mobiilivõrgus,edastamine käib GSM-mobiilivõrgus
4599,tantsureivi,tantsureividel,kes korral käis tantsureividel keerutamas
4601,kirgas,kirkal,kirkal talvepäeval astus ta sõber
4617,rahasüst,rahasüstile,Venemaa liigub rahasüstile vaatamata allamäge
4630,Burjaatia,Burjaatias,kunagi käisin Burjaatias
4637,raudpingike,raudpingikesele,Istu korraks raudpingikesele
4638,tipptasand,tipptasandil,mismoodi elu tipptasandil käib
4642,vaal-galerii,Vaal-galeriis,Leonhard näituse aastal Tallinnas Vaal-galeriis avalikkuse ette astus
4644,ööriie,ööriietes,hiigelfotol istus rühm ööriietes tüdrukuid
4663,ruutmeeter,ruutmeetrilt,praegu käib piirmäär ruutmeetrilt veel üle jõu
4664,mineja,minejast,aastal käis klassi minejast kolmandik valmistumas
4677,rahvalikkus,rahvalikkuselt,Festivaliprogrammis oli päevaks rõhuasetus sujuvalt liikunud rahvalikkuselt elitaarsuse poole
4715,naaberrada,naaberradadel,on intuitiivselt liikunud naaberradadel
4734,tudengiaeg,tudengiajal,tudengiajal käis ta otsimas
4738,rocklaager,Rocklaagril,sõnul on ta käinud Rocklaagril
4739,rockmuusika,rockmuusikast,33selt lahkub ta rockmuusikast tegelema
4748,lukustamisasend,lukustamisasendisse,laadimisel ei liikunud lukustamisasendisse pealesõidusild
